模拟值,模拟类型,源
0.1347684400682318,combining,4U 1543-475
0.26280332905948567,combining,4U 1543-475
0.18035405135282506,combining,4U 1543-475
0.28478110803359846,combining,4U 1543-475
0.37325016766153496,combining,4U 1543-475
0.6518459388778168,combining,4U 1543-475
0.3448928547429888,combining,4U 1543-475
0.009809187706057931,combining,4U 1543-475
0.7321179793212176,combining,4U 1543-475
0.20817111459201448,combining,4U 1543-475
0.41443908681727337,combining,4U 1543-475
0.5483321743392886,combining,4U 1543-475
0.48289676087673744,combining,4U 1543-475
0.719957580093191,combining,4U 1543-475
0.5569358329990811,combining,4U 1543-475
0.20175296138026638,combining,4U 1543-475
1.0,combining,4U 1543-475
0.4814983677846318,combining,4U 1543-475
0.39095483994530084,combining,4U 1543-475
0.6854402371097263,combining,4U 1543-475
0.49610450067146916,combining,4U 1543-475
0.5357954711289217,combining,4U 1543-475
1.0,combining,4U 1543-475
0.3570928215124126,combining,4U 1543-475
0.3457933630853901,combining,4U 1543-475
0.4608933056833029,combining,4U 1543-475
0.7139517229289752,combining,4U 1543-475
0.030768481999544184,combining,4U 1543-475
-0.09087231124127387,combining,4U 1543-475
0.2744144532856609,combining,4U 1543-475
-0.0029895841507111554,combining,4U 1543-475
0.3174196929057058,combining,4U 1543-475
0.5631624194742619,combining,4U 1543-475
0.19395155115865015,combining,4U 1543-475
0.05189095715294423,combining,4U 1543-475
0.4483743478545672,combining,4U 1543-475
0.6585740234230202,combining,4U 1543-475
-0.019167961206902395,combining,4U 1543-475
0.6473615855510858,combining,4U 1543-475
0.6465861439906564,combining,4U 1543-475
0.6828325520715064,combining,4U 1543-475
0.7528972569409969,combining,4U 1543-475
1.0,combining,4U 1543-475
0.33563560711595036,combining,4U 1543-475
0.4590364687206324,combining,4U 1543-475
0.3196438151892732,combining,4U 1543-475
0.43052386386028985,combining,4U 1543-475
0.8362114392436226,combining,4U 1543-475
0.07357116175837275,combining,4U 1543-475
0.20182183687612248,combining,4U 1543-475
0.7949529481737088,combining,4U 1543-475
0.7003096743290538,combining,4U 1543-475
0.3337701135934743,combining,4U 1543-475
0.6564165302969908,combining,4U 1543-475
0.5204221982603888,combining,4U 1543-475
0.8275727713852619,combining,4U 1543-475
0.44974504236409474,combining,4U 1543-475
0.7017925101762343,combining,4U 1543-475
1.0,combining,4U 1543-475
0.5884962760875786,combining,4U 1543-475
0.44307196393563353,combining,4U 1543-475
0.6214484510835595,combining,4U 1543-475
0.33320057257597047,combining,4U 1543-475
1.0,combining,4U 1543-475
0.4777188249894351,combining,4U 1543-475
0.35767267014023907,combining,4U 1543-475
0.2085424136696904,combining,4U 1543-475
0.7207633507757062,combining,4U 1543-475
0.6598046643993508,combining,4U 1543-475
0.2982010915752653,combining,4U 1543-475
0.5827596064574421,combining,4U 1543-475
0.030232668423593012,combining,4U 1543-475
0.4790172023943864,combining,4U 1543-475
0.5499804333003241,combining,4U 1543-475
0.882442399533194,combining,4U 1543-475
