模拟值,模拟类型,源
0.5694856604156864,continuum-fitting,4U 1543-475
0.5638513194070678,continuum-fitting,4U 1543-475
0.3088277972002972,continuum-fitting,4U 1543-475
0.587282863576727,continuum-fitting,4U 1543-475
0.7892375255461316,continuum-fitting,4U 1543-475
0.40789589737540893,continuum-fitting,4U 1543-475
0.8492117036996126,continuum-fitting,4U 1543-475
0.7426772160060243,continuum-fitting,4U 1543-475
0.5104956688255028,continuum-fitting,4U 1543-475
0.623109368905809,continuum-fitting,4U 1543-475
0.9536811434517963,continuum-fitting,4U 1543-475
0.7893740845661146,continuum-fitting,4U 1543-475
0.6516688944306481,continuum-fitting,4U 1543-475
0.6048401697774131,continuum-fitting,4U 1543-475
0.6645557233858154,continuum-fitting,4U 1543-475
0.5527649239909623,continuum-fitting,4U 1543-475
0.25009759391338726,continuum-fitting,4U 1543-475
1.0,continuum-fitting,4U 1543-475
0.6795117498478863,continuum-fitting,4U 1543-475
0.725647980373282,continuum-fitting,4U 1543-475
0.6389975275233873,continuum-fitting,4U 1543-475
0.5103278078623283,continuum-fitting,4U 1543-475
0.6146743486197336,continuum-fitting,4U 1543-475
0.34611499518308086,continuum-fitting,4U 1543-475
1.0,continuum-fitting,4U 1543-475
0.41544272029974477,continuum-fitting,4U 1543-475
0.4539264060690359,continuum-fitting,4U 1543-475
0.566350751166584,continuum-fitting,4U 1543-475
0.8947343877219518,continuum-fitting,4U 1543-475
0.6527567098599043,continuum-fitting,4U 1543-475
0.41513419875421215,continuum-fitting,4U 1543-475
0.8883242885438946,continuum-fitting,4U 1543-475
0.7888901190892414,continuum-fitting,4U 1543-475
0.7523026418711259,continuum-fitting,4U 1543-475
0.7859895058224597,continuum-fitting,4U 1543-475
1.0,continuum-fitting,4U 1543-475
1.0,continuum-fitting,4U 1543-475
0.519524084829374,continuum-fitting,4U 1543-475
0.9585381486341189,continuum-fitting,4U 1543-475
0.7228019560541911,continuum-fitting,4U 1543-475
0.7448282050661724,continuum-fitting,4U 1543-475
0.3284685419877676,continuum-fitting,4U 1543-475
0.6176267045762428,continuum-fitting,4U 1543-475
0.4955635178360527,continuum-fitting,4U 1543-475
0.8073311748297287,continuum-fitting,4U 1543-475
0.8535052950765329,continuum-fitting,4U 1543-475
0.2558475933069009,continuum-fitting,4U 1543-475
0.6458133758391886,continuum-fitting,4U 1543-475
0.8631536859109079,continuum-fitting,4U 1543-475
0.6145309971604455,continuum-fitting,4U 1543-475
0.7885220925504492,continuum-fitting,4U 1543-475
0.716721438849146,continuum-fitting,4U 1543-475
0.714915444070999,continuum-fitting,4U 1543-475
0.5984501541670235,continuum-fitting,4U 1543-475
0.4188496472142152,continuum-fitting,4U 1543-475
0.4369092719892448,continuum-fitting,4U 1543-475
0.7847769777465103,continuum-fitting,4U 1543-475
0.6536970685485878,continuum-fitting,4U 1543-475
0.6236826735246274,continuum-fitting,4U 1543-475
0.569460891958753,continuum-fitting,4U 1543-475
0.5920141193586572,continuum-fitting,4U 1543-475
0.8489132409527465,continuum-fitting,4U 1543-475
0.586303624445075,continuum-fitting,4U 1543-475
0.39519770447270197,continuum-fitting,4U 1543-475
0.7912938373526329,continuum-fitting,4U 1543-475
0.6110734338657038,continuum-fitting,4U 1543-475
0.6559652144512276,continuum-fitting,4U 1543-475
0.955439878215907,continuum-fitting,4U 1543-475
0.6460934941034037,continuum-fitting,4U 1543-475
0.7049448978925579,continuum-fitting,4U 1543-475
0.4260045366533182,continuum-fitting,4U 1543-475
0.6082628040533176,continuum-fitting,4U 1543-475
0.7658099485896342,continuum-fitting,4U 1543-475
0.35447899057016397,continuum-fitting,4U 1543-475
0.6881605676919849,continuum-fitting,4U 1543-475
0.6691503038025132,continuum-fitting,4U 1543-475
0.6578446165616135,continuum-fitting,4U 1543-475
0.8470601907450662,continuum-fitting,4U 1543-475
0.7135433178212192,continuum-fitting,4U 1543-475
0.9308336606877243,continuum-fitting,4U 1543-475
0.46121799203713315,continuum-fitting,4U 1543-475
0.6758256677714861,continuum-fitting,4U 1543-475
0.66604868941409,continuum-fitting,4U 1543-475
0.44684164618653477,continuum-fitting,4U 1543-475
0.8316960503973558,continuum-fitting,4U 1543-475
1.0,continuum-fitting,4U 1543-475
0.6467688458480721,continuum-fitting,4U 1543-475
0.7459540067720157,continuum-fitting,4U 1543-475
0.6660585104049122,continuum-fitting,4U 1543-475
0.5144189127176366,continuum-fitting,4U 1543-475
0.30405554721761696,continuum-fitting,4U 1543-475
0.5159030382118807,continuum-fitting,4U 1543-475
0.38552790761917105,continuum-fitting,4U 1543-475
0.9737793948312324,continuum-fitting,4U 1543-475
0.6281291581545846,continuum-fitting,4U 1543-475
0.5842753274810376,continuum-fitting,4U 1543-475
0.8189392267096831,continuum-fitting,4U 1543-475
0.4368672904573813,continuum-fitting,4U 1543-475
0.504295832779135,continuum-fitting,4U 1543-475
0.662933731157238,continuum-fitting,4U 1543-475
0.8454661083704613,continuum-fitting,4U 1543-475
0.7453201585820698,continuum-fitting,4U 1543-475
0.6971817770780177,continuum-fitting,4U 1543-475
0.6648423696948431,continuum-fitting,4U 1543-475
0.7260448125500873,continuum-fitting,4U 1543-475
0.6883140519745584,continuum-fitting,4U 1543-475
0.45430526779238223,continuum-fitting,4U 1543-475
0.6587550521102987,continuum-fitting,4U 1543-475
0.445999154805627,continuum-fitting,4U 1543-475
0.6654056831511566,continuum-fitting,4U 1543-475
0.5586768911172342,continuum-fitting,4U 1543-475
1.0,continuum-fitting,4U 1543-475
0.6424200670871748,continuum-fitting,4U 1543-475
0.38319448241029813,continuum-fitting,4U 1543-475
0.6245057599713844,continuum-fitting,4U 1543-475
0.7486781616711987,continuum-fitting,4U 1543-475
0.9679391497689795,continuum-fitting,4U 1543-475
0.5380040440116435,continuum-fitting,4U 1543-475
0.3493386849355084,continuum-fitting,4U 1543-475
0.8051990321718865,continuum-fitting,4U 1543-475
