模拟值,模拟类型,源
0.855803092134376,reflection,4U 1543-475
0.900330613341759,reflection,4U 1543-475
0.9029639026543779,reflection,4U 1543-475
0.9272857235026222,reflection,4U 1543-475
0.8288730775644758,reflection,4U 1543-475
0.9337023491508322,reflection,4U 1543-475
0.7573150477092516,reflection,4U 1543-475
0.8683011764485362,reflection,4U 1543-475
0.8758773494288424,reflection,4U 1543-475
0.9358829851948113,reflection,4U 1543-475
0.9032107506182125,reflection,4U 1543-475
0.8268023766186887,reflection,4U 1543-475
0.8493028677687897,reflection,4U 1543-475
0.9126293805107863,reflection,4U 1543-475
0.8977698972102462,reflection,4U 1543-475
0.8710168601344875,reflection,4U 1543-475
0.8762753922611092,reflection,4U 1543-475
0.939244987848022,reflection,4U 1543-475
0.874303447351497,reflection,4U 1543-475
0.8972871184444446,reflection,4U 1543-475
1.0,reflection,4U 1543-475
0.8258329789267101,reflection,4U 1543-475
0.8029264138607558,reflection,4U 1543-475
0.9439220470667254,reflection,4U 1543-475
0.8656925962207656,reflection,4U 1543-475
0.8849742922657698,reflection,4U 1543-475
0.8602081337699854,reflection,4U 1543-475
0.8881006924689381,reflection,4U 1543-475
0.9875217889971543,reflection,4U 1543-475
0.9449138725360694,reflection,4U 1543-475
0.9481289578859533,reflection,4U 1543-475
0.8262318525150935,reflection,4U 1543-475
0.8404132750944215,reflection,4U 1543-475
0.7501092917175297,reflection,4U 1543-475
0.8586981260720727,reflection,4U 1543-475
0.9531836204716327,reflection,4U 1543-475
0.9296566385925379,reflection,4U 1543-475
0.8901490404320614,reflection,4U 1543-475
0.9008069348210842,reflection,4U 1543-475
0.8651446234722158,reflection,4U 1543-475
0.9129546002084955,reflection,4U 1543-475
0.942974487952213,reflection,4U 1543-475
0.8155500568735398,reflection,4U 1543-475
0.9180311512992981,reflection,4U 1543-475
0.9518852655960747,reflection,4U 1543-475
0.8797921345404598,reflection,4U 1543-475
0.9394874827484513,reflection,4U 1543-475
1.0,reflection,4U 1543-475
0.8964176605752013,reflection,4U 1543-475
0.9230419271752849,reflection,4U 1543-475
0.8625139460241156,reflection,4U 1543-475
0.9116969371992097,reflection,4U 1543-475
0.9266245319365533,reflection,4U 1543-475
0.9124240652044524,reflection,4U 1543-475
0.8474463003955762,reflection,4U 1543-475
0.9130403547659116,reflection,4U 1543-475
0.9802274827213936,reflection,4U 1543-475
0.9260020134015272,reflection,4U 1543-475
0.9534663146153435,reflection,4U 1543-475
0.8893198596043245,reflection,4U 1543-475
0.9421196628091686,reflection,4U 1543-475
0.9169408293445842,reflection,4U 1543-475
0.8511262759617331,reflection,4U 1543-475
0.9190408737567398,reflection,4U 1543-475
0.8489442285059434,reflection,4U 1543-475
0.8681409052936636,reflection,4U 1543-475
0.9121290644401421,reflection,4U 1543-475
0.9179025686258366,reflection,4U 1543-475
