模拟值,模拟类型,源
0.8239539981421572,all,4U 1630-472
0.8150642997836034,all,4U 1630-472
0.8260676395334097,all,4U 1630-472
0.8383224179897123,all,4U 1630-472
0.8137218527538732,all,4U 1630-472
0.8137220826027114,all,4U 1630-472
0.8391089794171034,all,4U 1630-472
0.8277440862081407,all,4U 1630-472
0.8104273585969106,all,4U 1630-472
0.8245958406102034,all,4U 1630-472
0.8105121523006255,all,4U 1630-472
0.8104797834500164,all,4U 1630-472
0.8203874718019244,all,4U 1630-472
0.7902140765747908,all,4U 1630-472
0.7928511503448175,all,4U 1630-472
0.8091279745906264,all,4U 1630-472
0.802820364315318,all,4U 1630-472
0.8213994626563338,all,4U 1630-472
0.804287662942703,all,4U 1630-472
0.7972277481813058,all,4U 1630-472
0.8375190827649017,all,4U 1630-472
0.8138391317931885,all,4U 1630-472
0.8179453948656309,all,4U 1630-472
0.7970535253930116,all,4U 1630-472
0.8093786418566474,all,4U 1630-472
0.8185529162559381,all,4U 1630-472
0.8008860899160877,all,4U 1630-472
0.8222597722568393,all,4U 1630-472
0.8085910583411366,all,4U 1630-472
0.812916287502894,all,4U 1630-472
0.8085761074287884,all,4U 1630-472
0.8429318945831251,all,4U 1630-472
0.8168110388536689,all,4U 1630-472
0.8021920469946173,all,4U 1630-472
0.8285156287694446,all,4U 1630-472
0.7999081889004056,all,4U 1630-472
0.8199240903300665,all,4U 1630-472
0.7895646182656831,all,4U 1630-472
0.7984053953154219,all,4U 1630-472
0.8197560573021677,all,4U 1630-472
0.8273385321199357,all,4U 1630-472
0.8193991559366596,all,4U 1630-472
0.8153809240465646,all,4U 1630-472
0.81278454826175,all,4U 1630-472
0.796300692134856,all,4U 1630-472
0.806922181082474,all,4U 1630-472
0.810551057206563,all,4U 1630-472
0.8317997111670647,all,4U 1630-472
0.8218106560539584,all,4U 1630-472
0.7923174378249217,all,4U 1630-472
0.8215371755715271,all,4U 1630-472
0.8116088480741716,all,4U 1630-472
0.8075230919957165,all,4U 1630-472
