模拟值,模拟类型,源
0.8668440528704275,continuum-fitting,GRS 1915+105
0.8563224103931609,continuum-fitting,GRS 1915+105
0.8580962926037542,continuum-fitting,GRS 1915+105
0.8546476350280883,continuum-fitting,GRS 1915+105
0.890800263250309,continuum-fitting,GRS 1915+105
0.8842265613995277,continuum-fitting,GRS 1915+105
0.8710517657551974,continuum-fitting,GRS 1915+105
0.8822169804603822,continuum-fitting,GRS 1915+105
0.8745776894151793,continuum-fitting,GRS 1915+105
0.8656284318129538,continuum-fitting,GRS 1915+105
0.8411692155552146,continuum-fitting,GRS 1915+105
0.8591986231581854,continuum-fitting,GRS 1915+105
0.8581419505657338,continuum-fitting,GRS 1915+105
0.8465704099901638,continuum-fitting,GRS 1915+105
0.841450647018204,continuum-fitting,GRS 1915+105
0.8701444305252218,continuum-fitting,GRS 1915+105
0.8677053126743768,continuum-fitting,GRS 1915+105
0.8460727437890196,continuum-fitting,GRS 1915+105
0.8521847616566752,continuum-fitting,GRS 1915+105
0.8798377229607354,continuum-fitting,GRS 1915+105
0.8502734005540099,continuum-fitting,GRS 1915+105
0.8654765841070401,continuum-fitting,GRS 1915+105
0.8602482146562642,continuum-fitting,GRS 1915+105
0.8703422703303999,continuum-fitting,GRS 1915+105
0.8505864390364818,continuum-fitting,GRS 1915+105
0.8643062104243315,continuum-fitting,GRS 1915+105
0.8654464773715153,continuum-fitting,GRS 1915+105
0.8663376216903237,continuum-fitting,GRS 1915+105
0.8641465709404579,continuum-fitting,GRS 1915+105
0.8679968351486146,continuum-fitting,GRS 1915+105
0.8947806698147367,continuum-fitting,GRS 1915+105
0.900138817763181,continuum-fitting,GRS 1915+105
0.8537313659585926,continuum-fitting,GRS 1915+105
0.8293854767848887,continuum-fitting,GRS 1915+105
0.8716346818604686,continuum-fitting,GRS 1915+105
0.8657006606685683,continuum-fitting,GRS 1915+105
0.8783851069581619,continuum-fitting,GRS 1915+105
0.867130845545872,continuum-fitting,GRS 1915+105
0.863849757123123,continuum-fitting,GRS 1915+105
0.8793691456402197,continuum-fitting,GRS 1915+105
0.8813973185320007,continuum-fitting,GRS 1915+105
0.8428948791476755,continuum-fitting,GRS 1915+105
0.851159210286476,continuum-fitting,GRS 1915+105
0.8614689020903141,continuum-fitting,GRS 1915+105
0.8644273455469065,continuum-fitting,GRS 1915+105
0.8597232435513924,continuum-fitting,GRS 1915+105
0.8692960040789973,continuum-fitting,GRS 1915+105
0.8774435194450979,continuum-fitting,GRS 1915+105
0.8879792908054506,continuum-fitting,GRS 1915+105
0.871394238844707,continuum-fitting,GRS 1915+105
0.8506411616624299,continuum-fitting,GRS 1915+105
0.8608630447346316,continuum-fitting,GRS 1915+105
0.8619073925017364,continuum-fitting,GRS 1915+105
0.8704622834797268,continuum-fitting,GRS 1915+105
0.8686284364847922,continuum-fitting,GRS 1915+105
0.8927307514411169,continuum-fitting,GRS 1915+105
0.8563080595388038,continuum-fitting,GRS 1915+105
0.8685788827396186,continuum-fitting,GRS 1915+105
0.8971433152672893,continuum-fitting,GRS 1915+105
0.8545144999948978,continuum-fitting,GRS 1915+105
0.8651046560944702,continuum-fitting,GRS 1915+105
0.8492992327337018,continuum-fitting,GRS 1915+105
0.8641902600445978,continuum-fitting,GRS 1915+105
0.8516868513520042,continuum-fitting,GRS 1915+105
0.8781786131006245,continuum-fitting,GRS 1915+105
0.8651361234559553,continuum-fitting,GRS 1915+105
0.8494367397302567,continuum-fitting,GRS 1915+105
0.8751882316179792,continuum-fitting,GRS 1915+105
0.865605157563638,continuum-fitting,GRS 1915+105
0.8768158722697401,continuum-fitting,GRS 1915+105
0.8463588918947577,continuum-fitting,GRS 1915+105
0.8683479539776056,continuum-fitting,GRS 1915+105
0.8742134545723482,continuum-fitting,GRS 1915+105
0.8568610263915818,continuum-fitting,GRS 1915+105
0.8447444604589618,continuum-fitting,GRS 1915+105
0.8623966913171293,continuum-fitting,GRS 1915+105
0.8808076717598234,continuum-fitting,GRS 1915+105
0.8793259897941939,continuum-fitting,GRS 1915+105
0.8567877876960441,continuum-fitting,GRS 1915+105
0.8443952611725416,continuum-fitting,GRS 1915+105
0.8567478940549312,continuum-fitting,GRS 1915+105
0.8562070740643872,continuum-fitting,GRS 1915+105
0.8694734783579192,continuum-fitting,GRS 1915+105
0.8614774782078902,continuum-fitting,GRS 1915+105
0.8520776689298114,continuum-fitting,GRS 1915+105
0.8790118144752797,continuum-fitting,GRS 1915+105
0.86503617507795,continuum-fitting,GRS 1915+105
0.8693135269645986,continuum-fitting,GRS 1915+105
0.8379877112050966,continuum-fitting,GRS 1915+105
0.8278481593748893,continuum-fitting,GRS 1915+105
0.8421555861690561,continuum-fitting,GRS 1915+105
0.8560321203287018,continuum-fitting,GRS 1915+105
0.8713571622554002,continuum-fitting,GRS 1915+105
0.8290374203790942,continuum-fitting,GRS 1915+105
0.8860963549333938,continuum-fitting,GRS 1915+105
0.8654732073881668,continuum-fitting,GRS 1915+105
0.8827242773977737,continuum-fitting,GRS 1915+105
0.8501534338041251,continuum-fitting,GRS 1915+105
0.8703059690455011,continuum-fitting,GRS 1915+105
0.8642353409845764,continuum-fitting,GRS 1915+105
0.874856451539291,continuum-fitting,GRS 1915+105
0.8596100251698041,continuum-fitting,GRS 1915+105
0.86986162053061,continuum-fitting,GRS 1915+105
0.8789818321221824,continuum-fitting,GRS 1915+105
0.8535579437385692,continuum-fitting,GRS 1915+105
0.8665125413710999,continuum-fitting,GRS 1915+105
0.8356259975602759,continuum-fitting,GRS 1915+105
0.8731862937764187,continuum-fitting,GRS 1915+105
0.8913426068802061,continuum-fitting,GRS 1915+105
0.8449556773076439,continuum-fitting,GRS 1915+105
0.8616749717237948,continuum-fitting,GRS 1915+105
0.8757669788632546,continuum-fitting,GRS 1915+105
0.8634555533652649,continuum-fitting,GRS 1915+105
0.8653939434966518,continuum-fitting,GRS 1915+105
0.8573305080979072,continuum-fitting,GRS 1915+105
0.8567917923302252,continuum-fitting,GRS 1915+105
0.861742934773012,continuum-fitting,GRS 1915+105
0.8636042356210206,continuum-fitting,GRS 1915+105
0.845869101707129,continuum-fitting,GRS 1915+105
0.8620426812037826,continuum-fitting,GRS 1915+105
0.8857437421112853,continuum-fitting,GRS 1915+105
0.8569225599929609,continuum-fitting,GRS 1915+105
0.8450598027483179,continuum-fitting,GRS 1915+105
0.8608044670141968,continuum-fitting,GRS 1915+105
0.8526381142241977,continuum-fitting,GRS 1915+105
0.8435940435328318,continuum-fitting,GRS 1915+105
0.865017942695123,continuum-fitting,GRS 1915+105
0.8527009104613094,continuum-fitting,GRS 1915+105
0.8539416445806275,continuum-fitting,GRS 1915+105
0.8652246970155881,continuum-fitting,GRS 1915+105
0.8407689683672461,continuum-fitting,GRS 1915+105
0.8377472400713587,continuum-fitting,GRS 1915+105
0.872727646820278,continuum-fitting,GRS 1915+105
0.8350029127895008,continuum-fitting,GRS 1915+105
0.8488381734180434,continuum-fitting,GRS 1915+105
0.8369023267368676,continuum-fitting,GRS 1915+105
0.8559510212306919,continuum-fitting,GRS 1915+105
0.8692068518409419,continuum-fitting,GRS 1915+105
0.8646289002566194,continuum-fitting,GRS 1915+105
0.8976821641471306,continuum-fitting,GRS 1915+105
0.8787602764579405,continuum-fitting,GRS 1915+105
0.8494982111727293,continuum-fitting,GRS 1915+105
0.845642702430017,continuum-fitting,GRS 1915+105
0.9022469751441448,continuum-fitting,GRS 1915+105
0.8784072940831338,continuum-fitting,GRS 1915+105
0.8715458593054087,continuum-fitting,GRS 1915+105
