模拟值,模拟类型,源
0.9832183519002277,reflection,GRS 1915+105
0.9721864230438305,reflection,GRS 1915+105
0.9869135638108052,reflection,GRS 1915+105
0.9740963830819467,reflection,GRS 1915+105
0.9874955503744512,reflection,GRS 1915+105
0.9772588852461928,reflection,GRS 1915+105
0.9627895287437034,reflection,GRS 1915+105
0.9701758375951907,reflection,GRS 1915+105
0.9756958529131271,reflection,GRS 1915+105
0.9936818902374858,reflection,GRS 1915+105
0.9890114363052922,reflection,GRS 1915+105
0.9962386141232215,reflection,GRS 1915+105
0.9965363521602986,reflection,GRS 1915+105
0.9746524919540909,reflection,GRS 1915+105
0.9781151314024117,reflection,GRS 1915+105
0.9758872007566946,reflection,GRS 1915+105
0.9732848939469892,reflection,GRS 1915+105
0.9615850529066354,reflection,GRS 1915+105
0.9798525228198316,reflection,GRS 1915+105
0.9671443440628888,reflection,GRS 1915+105
0.9796582811846567,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9749065490366929,reflection,GRS 1915+105
0.9819477400562806,reflection,GRS 1915+105
0.9890664838580928,reflection,GRS 1915+105
0.982802912919659,reflection,GRS 1915+105
0.982924841879423,reflection,GRS 1915+105
0.9763759756631192,reflection,GRS 1915+105
0.9776812202493876,reflection,GRS 1915+105
0.9703998947781217,reflection,GRS 1915+105
0.988460450088894,reflection,GRS 1915+105
0.9625850834338591,reflection,GRS 1915+105
0.989710883383822,reflection,GRS 1915+105
0.9659630161525475,reflection,GRS 1915+105
0.9896260727407665,reflection,GRS 1915+105
0.9764618247378781,reflection,GRS 1915+105
0.9676813131186692,reflection,GRS 1915+105
0.9857929864507964,reflection,GRS 1915+105
0.9892876753507577,reflection,GRS 1915+105
0.9756192135189646,reflection,GRS 1915+105
0.9872061054867893,reflection,GRS 1915+105
0.9571491550533064,reflection,GRS 1915+105
0.966794037102534,reflection,GRS 1915+105
0.9929240893046872,reflection,GRS 1915+105
0.9777633072580209,reflection,GRS 1915+105
0.9613778667355115,reflection,GRS 1915+105
0.9730113381955801,reflection,GRS 1915+105
0.9707659952747492,reflection,GRS 1915+105
0.9783403826852707,reflection,GRS 1915+105
0.9762924901619235,reflection,GRS 1915+105
0.9817893172893816,reflection,GRS 1915+105
0.9793053394838742,reflection,GRS 1915+105
0.9935973925503702,reflection,GRS 1915+105
0.9842454859971966,reflection,GRS 1915+105
0.9845767161119359,reflection,GRS 1915+105
0.9916515712389452,reflection,GRS 1915+105
0.9761123124957042,reflection,GRS 1915+105
0.9673812255664151,reflection,GRS 1915+105
0.9920697032463225,reflection,GRS 1915+105
0.9813584174810811,reflection,GRS 1915+105
0.9813935120789893,reflection,GRS 1915+105
0.9736667007846976,reflection,GRS 1915+105
0.9738314466689643,reflection,GRS 1915+105
0.9884672233877084,reflection,GRS 1915+105
0.9898465579813761,reflection,GRS 1915+105
0.9878382340574665,reflection,GRS 1915+105
0.9879296160544547,reflection,GRS 1915+105
0.9856902953725976,reflection,GRS 1915+105
0.9813152273007816,reflection,GRS 1915+105
0.9782462031567902,reflection,GRS 1915+105
0.9921032384994155,reflection,GRS 1915+105
0.9762627912950956,reflection,GRS 1915+105
0.9836997921388074,reflection,GRS 1915+105
0.9719598700204575,reflection,GRS 1915+105
0.9734070096314955,reflection,GRS 1915+105
0.9776384543214277,reflection,GRS 1915+105
0.9719606162327283,reflection,GRS 1915+105
0.987978518254783,reflection,GRS 1915+105
0.9665196574845497,reflection,GRS 1915+105
0.9809922962338107,reflection,GRS 1915+105
0.9813250809684217,reflection,GRS 1915+105
0.9618920042168032,reflection,GRS 1915+105
0.9755897617947639,reflection,GRS 1915+105
0.9825569953804814,reflection,GRS 1915+105
0.9842872799329406,reflection,GRS 1915+105
0.9779569279139984,reflection,GRS 1915+105
0.9867688820448072,reflection,GRS 1915+105
0.9789068374276396,reflection,GRS 1915+105
0.9801365291207506,reflection,GRS 1915+105
0.9825165386898655,reflection,GRS 1915+105
0.9892699962873417,reflection,GRS 1915+105
0.9732428199758446,reflection,GRS 1915+105
0.975131781274817,reflection,GRS 1915+105
0.9733110350827079,reflection,GRS 1915+105
0.9766780228385806,reflection,GRS 1915+105
0.9942623425807976,reflection,GRS 1915+105
0.9857272531932982,reflection,GRS 1915+105
0.9686891025483115,reflection,GRS 1915+105
0.9739955303441132,reflection,GRS 1915+105
0.983727672242764,reflection,GRS 1915+105
0.9709349221906722,reflection,GRS 1915+105
0.9727465995918524,reflection,GRS 1915+105
0.9934495966617415,reflection,GRS 1915+105
0.9738662437152681,reflection,GRS 1915+105
0.9895466681602938,reflection,GRS 1915+105
0.9925532318953094,reflection,GRS 1915+105
0.9726653790883103,reflection,GRS 1915+105
0.9711003744344285,reflection,GRS 1915+105
0.9772386791351884,reflection,GRS 1915+105
0.9691137227932637,reflection,GRS 1915+105
0.9812103387850274,reflection,GRS 1915+105
0.9779434808814661,reflection,GRS 1915+105
0.983605800158863,reflection,GRS 1915+105
0.9939694345623282,reflection,GRS 1915+105
0.9881748498077032,reflection,GRS 1915+105
0.9848923977541235,reflection,GRS 1915+105
0.9603395158703208,reflection,GRS 1915+105
0.9844337598210238,reflection,GRS 1915+105
0.9972262766070454,reflection,GRS 1915+105
0.9498947748368648,reflection,GRS 1915+105
0.9868938254297562,reflection,GRS 1915+105
0.9784064142524354,reflection,GRS 1915+105
0.9715020499697705,reflection,GRS 1915+105
0.9880112858391196,reflection,GRS 1915+105
0.9970970590060733,reflection,GRS 1915+105
0.9877523072883775,reflection,GRS 1915+105
0.9762880804873847,reflection,GRS 1915+105
0.9705653017559184,reflection,GRS 1915+105
0.9814462763378954,reflection,GRS 1915+105
0.9887316929238159,reflection,GRS 1915+105
0.9761294697376627,reflection,GRS 1915+105
0.977096170083492,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9907865194595973,reflection,GRS 1915+105
0.9915012867839363,reflection,GRS 1915+105
0.9653971409394119,reflection,GRS 1915+105
0.9729281132070654,reflection,GRS 1915+105
0.9807468163945424,reflection,GRS 1915+105
0.9699886244211485,reflection,GRS 1915+105
0.9960039729888929,reflection,GRS 1915+105
0.9941031230659064,reflection,GRS 1915+105
0.9746645466261594,reflection,GRS 1915+105
0.9978391860660748,reflection,GRS 1915+105
0.9799574790328006,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9814468613052504,reflection,GRS 1915+105
0.9857619275032842,reflection,GRS 1915+105
0.9939990344116956,reflection,GRS 1915+105
0.992776333498078,reflection,GRS 1915+105
0.9851073206613589,reflection,GRS 1915+105
0.9785885968055617,reflection,GRS 1915+105
0.9851413269999312,reflection,GRS 1915+105
0.9718381582812389,reflection,GRS 1915+105
0.9815213371886411,reflection,GRS 1915+105
0.96890692467502,reflection,GRS 1915+105
0.962191183599197,reflection,GRS 1915+105
0.9805042676413944,reflection,GRS 1915+105
0.9926227789067167,reflection,GRS 1915+105
0.9892580464159606,reflection,GRS 1915+105
0.9791808770427439,reflection,GRS 1915+105
0.9974698969817549,reflection,GRS 1915+105
0.9743093860915343,reflection,GRS 1915+105
0.9608216733820197,reflection,GRS 1915+105
0.9581789870579903,reflection,GRS 1915+105
0.9681880905940428,reflection,GRS 1915+105
0.9881662474326223,reflection,GRS 1915+105
0.9736519731653261,reflection,GRS 1915+105
0.984609586418573,reflection,GRS 1915+105
0.9964628338358398,reflection,GRS 1915+105
0.968999030374222,reflection,GRS 1915+105
0.9847849973179589,reflection,GRS 1915+105
0.9853896307265572,reflection,GRS 1915+105
0.971392620115269,reflection,GRS 1915+105
0.9935421092524508,reflection,GRS 1915+105
0.9771229294445052,reflection,GRS 1915+105
0.9761624701908699,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9852276674236672,reflection,GRS 1915+105
0.989252905496855,reflection,GRS 1915+105
0.9935489293152183,reflection,GRS 1915+105
0.9734952600054078,reflection,GRS 1915+105
0.9924982109705368,reflection,GRS 1915+105
0.9749810588500233,reflection,GRS 1915+105
0.974553766106617,reflection,GRS 1915+105
0.9772800002769186,reflection,GRS 1915+105
0.9737793516505504,reflection,GRS 1915+105
0.9882215643265716,reflection,GRS 1915+105
0.9826721065514505,reflection,GRS 1915+105
0.9750877558538289,reflection,GRS 1915+105
0.9867450503315482,reflection,GRS 1915+105
0.9772481756261365,reflection,GRS 1915+105
0.9767192962963532,reflection,GRS 1915+105
0.9804868388490154,reflection,GRS 1915+105
0.9846346035566621,reflection,GRS 1915+105
0.9838984764937742,reflection,GRS 1915+105
0.9763675081774716,reflection,GRS 1915+105
0.988471112074394,reflection,GRS 1915+105
0.9777760584892035,reflection,GRS 1915+105
0.9734501551139128,reflection,GRS 1915+105
0.9653197835123265,reflection,GRS 1915+105
0.9898317848099902,reflection,GRS 1915+105
0.98012390076194,reflection,GRS 1915+105
0.9821087235851051,reflection,GRS 1915+105
0.9904580291569951,reflection,GRS 1915+105
0.9752259376840218,reflection,GRS 1915+105
0.9662560075152586,reflection,GRS 1915+105
0.9806978070221521,reflection,GRS 1915+105
0.9830796155208029,reflection,GRS 1915+105
0.9773715093383962,reflection,GRS 1915+105
0.9947373757807617,reflection,GRS 1915+105
0.9551383343227864,reflection,GRS 1915+105
0.9912005663789978,reflection,GRS 1915+105
0.9879115365036423,reflection,GRS 1915+105
0.9845677077770045,reflection,GRS 1915+105
0.946640984505309,reflection,GRS 1915+105
0.9928388878327027,reflection,GRS 1915+105
0.9697356588936411,reflection,GRS 1915+105
0.9749230802161661,reflection,GRS 1915+105
0.9782940733520993,reflection,GRS 1915+105
0.9840741803465197,reflection,GRS 1915+105
0.9863942804219255,reflection,GRS 1915+105
0.988928405543193,reflection,GRS 1915+105
0.9881585351007851,reflection,GRS 1915+105
0.9825292720421313,reflection,GRS 1915+105
0.9841592265905759,reflection,GRS 1915+105
0.9690924628417775,reflection,GRS 1915+105
0.9724897319318098,reflection,GRS 1915+105
0.9889546022367484,reflection,GRS 1915+105
0.9883720948672868,reflection,GRS 1915+105
0.9872379941644442,reflection,GRS 1915+105
0.9748558323834348,reflection,GRS 1915+105
0.989104921319437,reflection,GRS 1915+105
0.9683875554751964,reflection,GRS 1915+105
0.9907735980986228,reflection,GRS 1915+105
0.977391291987541,reflection,GRS 1915+105
0.9968417040634063,reflection,GRS 1915+105
0.9647855790793451,reflection,GRS 1915+105
0.9976340404591852,reflection,GRS 1915+105
0.9763853567083653,reflection,GRS 1915+105
0.9762052074398826,reflection,GRS 1915+105
0.981948388189856,reflection,GRS 1915+105
0.973029210871993,reflection,GRS 1915+105
0.9792767099869769,reflection,GRS 1915+105
0.9726237373472915,reflection,GRS 1915+105
0.9729893646902081,reflection,GRS 1915+105
0.9848688595030057,reflection,GRS 1915+105
0.9709843450469648,reflection,GRS 1915+105
0.9723180576499452,reflection,GRS 1915+105
0.9662720875025359,reflection,GRS 1915+105
0.9749606932003866,reflection,GRS 1915+105
0.9931160202972392,reflection,GRS 1915+105
0.9715406635989703,reflection,GRS 1915+105
0.9726836673481276,reflection,GRS 1915+105
0.9819392194648153,reflection,GRS 1915+105
0.9762920356620047,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9783747203532375,reflection,GRS 1915+105
0.9833521834621737,reflection,GRS 1915+105
0.9894376878479932,reflection,GRS 1915+105
0.9892457786586285,reflection,GRS 1915+105
0.9823328758155738,reflection,GRS 1915+105
0.97838872513314,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9790023972468573,reflection,GRS 1915+105
0.9755830989557152,reflection,GRS 1915+105
0.9735415101170598,reflection,GRS 1915+105
0.9627319679729325,reflection,GRS 1915+105
0.9882161575223716,reflection,GRS 1915+105
0.9565193160289918,reflection,GRS 1915+105
0.9799427715909508,reflection,GRS 1915+105
0.9779513936572861,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9616834877128637,reflection,GRS 1915+105
0.9709889671301564,reflection,GRS 1915+105
0.9786390354131835,reflection,GRS 1915+105
0.9780247066253083,reflection,GRS 1915+105
0.9745045540918995,reflection,GRS 1915+105
0.9791901209059783,reflection,GRS 1915+105
0.9674043727113025,reflection,GRS 1915+105
0.9835719287899494,reflection,GRS 1915+105
0.9567851465792242,reflection,GRS 1915+105
0.9797423064412274,reflection,GRS 1915+105
0.9739964330573643,reflection,GRS 1915+105
0.9901628794275663,reflection,GRS 1915+105
0.997553110706333,reflection,GRS 1915+105
0.9766894783124964,reflection,GRS 1915+105
0.9939072592914143,reflection,GRS 1915+105
0.9768388371936959,reflection,GRS 1915+105
0.9703387347687091,reflection,GRS 1915+105
0.9974590363218562,reflection,GRS 1915+105
0.98520776444734,reflection,GRS 1915+105
0.9800443852260982,reflection,GRS 1915+105
0.9868717747509864,reflection,GRS 1915+105
0.9827421503513016,reflection,GRS 1915+105
0.9793078059205848,reflection,GRS 1915+105
0.96673565172692,reflection,GRS 1915+105
0.9772946326283873,reflection,GRS 1915+105
0.9862325542345847,reflection,GRS 1915+105
0.9787722857431319,reflection,GRS 1915+105
0.9890232576113038,reflection,GRS 1915+105
0.9838365502386679,reflection,GRS 1915+105
0.9712186368191459,reflection,GRS 1915+105
0.9668082804216788,reflection,GRS 1915+105
0.9784282150006983,reflection,GRS 1915+105
0.9747577155189541,reflection,GRS 1915+105
0.9833632180962169,reflection,GRS 1915+105
0.9728186234123727,reflection,GRS 1915+105
0.9738460767424512,reflection,GRS 1915+105
0.9905306971759491,reflection,GRS 1915+105
0.981482029686279,reflection,GRS 1915+105
0.9729727293457271,reflection,GRS 1915+105
0.9801764180873502,reflection,GRS 1915+105
0.9937891124300168,reflection,GRS 1915+105
0.9829378668827472,reflection,GRS 1915+105
0.9859295080942513,reflection,GRS 1915+105
0.9724776546347256,reflection,GRS 1915+105
0.990264193771346,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9720853235748714,reflection,GRS 1915+105
0.96818106025628,reflection,GRS 1915+105
0.9817554224383515,reflection,GRS 1915+105
0.988755050498444,reflection,GRS 1915+105
0.9790861032794974,reflection,GRS 1915+105
0.9694679360395734,reflection,GRS 1915+105
0.9789141583821961,reflection,GRS 1915+105
0.9859809227277745,reflection,GRS 1915+105
0.9759296817305394,reflection,GRS 1915+105
0.9860725501775492,reflection,GRS 1915+105
0.9916471078523991,reflection,GRS 1915+105
0.9824023062577044,reflection,GRS 1915+105
0.9797205222872171,reflection,GRS 1915+105
0.9882934392522628,reflection,GRS 1915+105
0.9714389917256276,reflection,GRS 1915+105
0.9704529016630707,reflection,GRS 1915+105
0.9773342771507101,reflection,GRS 1915+105
0.9750812054518553,reflection,GRS 1915+105
0.9719665802470953,reflection,GRS 1915+105
0.9983046847499877,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9764629495774442,reflection,GRS 1915+105
0.9809171894974836,reflection,GRS 1915+105
0.9781215717993621,reflection,GRS 1915+105
0.9910749924011816,reflection,GRS 1915+105
0.9930564556184005,reflection,GRS 1915+105
0.9622273620131035,reflection,GRS 1915+105
0.9847601080006563,reflection,GRS 1915+105
0.9669317865883885,reflection,GRS 1915+105
0.9975827215787527,reflection,GRS 1915+105
0.984402480302104,reflection,GRS 1915+105
0.9717665046163736,reflection,GRS 1915+105
0.9775867861206214,reflection,GRS 1915+105
0.9771102274173384,reflection,GRS 1915+105
0.9852511294288582,reflection,GRS 1915+105
0.9904191260417747,reflection,GRS 1915+105
0.9685179270802828,reflection,GRS 1915+105
0.9983875450091211,reflection,GRS 1915+105
0.9960569010782084,reflection,GRS 1915+105
0.9712467643240895,reflection,GRS 1915+105
0.9807280179436231,reflection,GRS 1915+105
0.9971080854411432,reflection,GRS 1915+105
0.9923291858667748,reflection,GRS 1915+105
0.9766325696995211,reflection,GRS 1915+105
0.9881433981456788,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9810515998185121,reflection,GRS 1915+105
0.9736735174855998,reflection,GRS 1915+105
0.981724198520914,reflection,GRS 1915+105
0.9824655209549732,reflection,GRS 1915+105
0.974754632609999,reflection,GRS 1915+105
0.9844162506781422,reflection,GRS 1915+105
0.9674559894027249,reflection,GRS 1915+105
0.9733446613299132,reflection,GRS 1915+105
0.9875824477615479,reflection,GRS 1915+105
0.9624512914845774,reflection,GRS 1915+105
0.9890316759199478,reflection,GRS 1915+105
0.9598801863429429,reflection,GRS 1915+105
0.9626867542112368,reflection,GRS 1915+105
0.9750102125694411,reflection,GRS 1915+105
0.9828686384281935,reflection,GRS 1915+105
0.9932526360312739,reflection,GRS 1915+105
0.9805762276315959,reflection,GRS 1915+105
0.97753446392424,reflection,GRS 1915+105
0.985795812479848,reflection,GRS 1915+105
0.9712910117953206,reflection,GRS 1915+105
0.981394151593464,reflection,GRS 1915+105
0.9680055374204464,reflection,GRS 1915+105
0.9808259051687541,reflection,GRS 1915+105
0.9787016367415059,reflection,GRS 1915+105
0.9719573207855058,reflection,GRS 1915+105
0.9816504063653774,reflection,GRS 1915+105
0.9815854965315964,reflection,GRS 1915+105
0.9917545401233914,reflection,GRS 1915+105
0.9639436659693721,reflection,GRS 1915+105
0.9792395109230295,reflection,GRS 1915+105
0.9723973760029652,reflection,GRS 1915+105
0.9886976205817629,reflection,GRS 1915+105
0.9875391206519213,reflection,GRS 1915+105
0.9850787984506862,reflection,GRS 1915+105
0.9729616674193053,reflection,GRS 1915+105
0.9888547058294009,reflection,GRS 1915+105
0.9646986907125666,reflection,GRS 1915+105
0.9626468929640722,reflection,GRS 1915+105
0.9672412900009807,reflection,GRS 1915+105
0.9796652518967309,reflection,GRS 1915+105
0.9867516440098829,reflection,GRS 1915+105
0.9502396752599047,reflection,GRS 1915+105
0.9932274283187978,reflection,GRS 1915+105
0.9813111219617843,reflection,GRS 1915+105
0.9643222765241022,reflection,GRS 1915+105
0.9810094697028958,reflection,GRS 1915+105
0.9909252541467842,reflection,GRS 1915+105
0.9859944101530626,reflection,GRS 1915+105
0.9909907306255397,reflection,GRS 1915+105
0.9663375337060289,reflection,GRS 1915+105
0.9758599476486159,reflection,GRS 1915+105
0.9707530776947647,reflection,GRS 1915+105
0.9971758020504432,reflection,GRS 1915+105
0.9863936284348663,reflection,GRS 1915+105
1.0,reflection,GRS 1915+105
0.9753239046658277,reflection,GRS 1915+105
0.9727532578831769,reflection,GRS 1915+105
0.9785717336140485,reflection,GRS 1915+105
0.9937835722142254,reflection,GRS 1915+105
0.9763388031062465,reflection,GRS 1915+105
0.9812443759790694,reflection,GRS 1915+105
0.9809669070288681,reflection,GRS 1915+105
0.9803949676120218,reflection,GRS 1915+105
0.9734760153953752,reflection,GRS 1915+105
