模拟值,模拟类型,源
0.7444430970206007,all,GX 339-4 
0.75830357160847,all,GX 339-4 
0.7324410460460995,all,GX 339-4 
0.6225876039067203,all,GX 339-4 
0.7030059905362508,all,GX 339-4 
0.6579931591287388,all,GX 339-4 
0.7008827402186867,all,GX 339-4 
0.7541001906260252,all,GX 339-4 
0.7237317876143737,all,GX 339-4 
0.7616640889878844,all,GX 339-4 
0.7253789264321092,all,GX 339-4 
0.6515753327148993,all,GX 339-4 
0.5965618847042269,all,GX 339-4 
0.7166963942755815,all,GX 339-4 
0.7003733090141975,all,GX 339-4 
0.6660374417278153,all,GX 339-4 
0.633471773765688,all,GX 339-4 
0.6769365553937281,all,GX 339-4 
0.701247883181085,all,GX 339-4 
0.7399645020667875,all,GX 339-4 
0.718488398670559,all,GX 339-4 
0.7823630261227728,all,GX 339-4 
0.6633978174779572,all,GX 339-4 
0.7496476501425845,all,GX 339-4 
0.7121284434407927,all,GX 339-4 
0.7412601105853363,all,GX 339-4 
0.6903568311530505,all,GX 339-4 
0.7582256168250765,all,GX 339-4 
0.7232851141255359,all,GX 339-4 
0.6794249756787012,all,GX 339-4 
0.7094589186989065,all,GX 339-4 
0.6992199863478304,all,GX 339-4 
0.7320130257787006,all,GX 339-4 
0.6569100462781471,all,GX 339-4 
0.7086791734047937,all,GX 339-4 
0.7277888263692198,all,GX 339-4 
0.7114860488236865,all,GX 339-4 
0.7706123559975048,all,GX 339-4 
0.7448310248331973,all,GX 339-4 
0.7096633641466664,all,GX 339-4 
0.7197510093873952,all,GX 339-4 
0.7233049498166899,all,GX 339-4 
0.728148482187507,all,GX 339-4 
0.6278453901950927,all,GX 339-4 
0.6964313166903794,all,GX 339-4 
0.6432002419312958,all,GX 339-4 
0.7675226426356768,all,GX 339-4 
0.7072617715998682,all,GX 339-4 
0.7012996572644169,all,GX 339-4 
0.7503558799414956,all,GX 339-4 
0.7290046158852443,all,GX 339-4 
0.6592114468529356,all,GX 339-4 
0.7068092586862683,all,GX 339-4 
0.6949174862048126,all,GX 339-4 
0.6314960200127275,all,GX 339-4 
0.6789375695043257,all,GX 339-4 
0.701740685509259,all,GX 339-4 
0.704827208082867,all,GX 339-4 
0.6432995859345211,all,GX 339-4 
0.7618249512371363,all,GX 339-4 
0.7054053623498853,all,GX 339-4 
0.7116898884497252,all,GX 339-4 
0.7280288737252926,all,GX 339-4 
0.6745365685743347,all,GX 339-4 
0.7305360187909713,all,GX 339-4 
0.6934816409291817,all,GX 339-4 
0.6696536506708763,all,GX 339-4 
0.7358051372009929,all,GX 339-4 
0.7771253236460813,all,GX 339-4 
0.7426173218068624,all,GX 339-4 
0.7515339904313193,all,GX 339-4 
0.6865716227046965,all,GX 339-4 
0.6381071121874194,all,GX 339-4 
0.7770561884944929,all,GX 339-4 
0.8024531700232141,all,GX 339-4 
0.7794263048196357,all,GX 339-4 
0.6948896327459112,all,GX 339-4 
0.658041454757202,all,GX 339-4 
0.6620442785981194,all,GX 339-4 
0.6342320344573678,all,GX 339-4 
0.7051679621715479,all,GX 339-4 
0.7822555081137104,all,GX 339-4 
0.703625181565749,all,GX 339-4 
0.7236045305156723,all,GX 339-4 
0.7719018633936894,all,GX 339-4 
0.691815710967542,all,GX 339-4 
0.8015989155523817,all,GX 339-4 
0.7996442483373853,all,GX 339-4 
0.7040999897593783,all,GX 339-4 
0.6840109581191354,all,GX 339-4 
0.741375712087564,all,GX 339-4 
0.6943613775866514,all,GX 339-4 
0.6579550152319699,all,GX 339-4 
0.767655739408534,all,GX 339-4 
0.7647401324274685,all,GX 339-4 
0.7169980221693601,all,GX 339-4 
0.653171086082232,all,GX 339-4 
0.6546713186952176,all,GX 339-4 
0.7148253179788618,all,GX 339-4 
0.6875058034472735,all,GX 339-4 
0.6946508180536276,all,GX 339-4 
0.7559883419777002,all,GX 339-4 
0.7429930692840151,all,GX 339-4 
0.7720164206223925,all,GX 339-4 
0.6654219549480234,all,GX 339-4 
0.694556379409098,all,GX 339-4 
0.744154176295705,all,GX 339-4 
0.73016352534558,all,GX 339-4 
0.7789571172164429,all,GX 339-4 
0.728924151765683,all,GX 339-4 
0.7931649096847498,all,GX 339-4 
0.7343008010775413,all,GX 339-4 
0.7577975351414896,all,GX 339-4 
0.6954418273946994,all,GX 339-4 
0.7106429245347795,all,GX 339-4 
0.7509924981727764,all,GX 339-4 
0.7825840176766874,all,GX 339-4 
0.7428156627189838,all,GX 339-4 
0.706257270262942,all,GX 339-4 
0.7719800763287753,all,GX 339-4 
0.6113609604674053,all,GX 339-4 
0.6459994474321906,all,GX 339-4 
0.7406735400650775,all,GX 339-4 
0.7106348760313905,all,GX 339-4 
0.7372481143005873,all,GX 339-4 
0.7128983385094374,all,GX 339-4 
0.7356925562571742,all,GX 339-4 
0.6733518730553064,all,GX 339-4 
0.735671873873586,all,GX 339-4 
0.7547486537693413,all,GX 339-4 
0.7649247771769054,all,GX 339-4 
0.8006099432591914,all,GX 339-4 
0.7209844299576074,all,GX 339-4 
0.722325998908123,all,GX 339-4 
0.6414572391121768,all,GX 339-4 
0.6860864869487708,all,GX 339-4 
0.7013113066697024,all,GX 339-4 
