模拟值,模拟类型,源
0.9623273046899858,all,IGR J17464-3213
0.9864927560377996,all,IGR J17464-3213
0.9966612975862196,all,IGR J17464-3213
0.9913277746070591,all,IGR J17464-3213
0.9962671628728593,all,IGR J17464-3213
0.9768216570320264,all,IGR J17464-3213
0.9730007154773653,all,IGR J17464-3213
0.968946479716523,all,IGR J17464-3213
0.9791615530007961,all,IGR J17464-3213
0.9788211380604677,all,IGR J17464-3213
0.9831001644280867,all,IGR J17464-3213
0.9780605381444674,all,IGR J17464-3213
0.9779955840540984,all,IGR J17464-3213
0.9683495892054178,all,IGR J17464-3213
0.9941242852032723,all,IGR J17464-3213
0.9811477709336557,all,IGR J17464-3213
0.9773833409857208,all,IGR J17464-3213
0.9687885612012619,all,IGR J17464-3213
0.9600213033441337,all,IGR J17464-3213
0.9996194628882401,all,IGR J17464-3213
0.9883195806219771,all,IGR J17464-3213
0.9556412323614505,all,IGR J17464-3213
0.9914471345106448,all,IGR J17464-3213
0.9938372175534966,all,IGR J17464-3213
0.981865641834514,all,IGR J17464-3213
1.0,all,IGR J17464-3213
0.9832507946318432,all,IGR J17464-3213
0.9587476470807621,all,IGR J17464-3213
0.9854775350157248,all,IGR J17464-3213
0.983673459525691,all,IGR J17464-3213
0.9709505472683276,all,IGR J17464-3213
0.9886033825531614,all,IGR J17464-3213
0.954985021007137,all,IGR J17464-3213
0.9948585024116419,all,IGR J17464-3213
0.9668281744459182,all,IGR J17464-3213
0.9652258081232445,all,IGR J17464-3213
0.9782926284153878,all,IGR J17464-3213
0.9864945939206545,all,IGR J17464-3213
0.9824588609539014,all,IGR J17464-3213
0.9688601125134143,all,IGR J17464-3213
0.9724086606321216,all,IGR J17464-3213
0.963004364789338,all,IGR J17464-3213
0.9766298014755519,all,IGR J17464-3213
0.9961253182176636,all,IGR J17464-3213
0.9799360559353418,all,IGR J17464-3213
0.9928912138213918,all,IGR J17464-3213
1.0,all,IGR J17464-3213
0.9711797222144455,all,IGR J17464-3213
0.9772014012041695,all,IGR J17464-3213
1.0,all,IGR J17464-3213
1.0,all,IGR J17464-3213
0.9549139321128147,all,IGR J17464-3213
0.9858072247409135,all,IGR J17464-3213
0.9800083998850954,all,IGR J17464-3213
0.9923967966628814,all,IGR J17464-3213
0.9688253184877241,all,IGR J17464-3213
0.9674058744193899,all,IGR J17464-3213
0.9698589392705959,all,IGR J17464-3213
0.9714210718070235,all,IGR J17464-3213
0.9922298625021352,all,IGR J17464-3213
0.9622819824027667,all,IGR J17464-3213
0.9706607915006102,all,IGR J17464-3213
0.9531648141424783,all,IGR J17464-3213
0.9951067673511855,all,IGR J17464-3213
0.9990654514914671,all,IGR J17464-3213
0.9750938985370432,all,IGR J17464-3213
0.9755307595278017,all,IGR J17464-3213
0.9867983285342434,all,IGR J17464-3213
1.0,all,IGR J17464-3213
0.9861291612134587,all,IGR J17464-3213
0.9695368708628732,all,IGR J17464-3213
0.9557176614202034,all,IGR J17464-3213
0.9632731060600477,all,IGR J17464-3213
0.981098291754687,all,IGR J17464-3213
0.970170087151988,all,IGR J17464-3213
0.9829245155898614,all,IGR J17464-3213
0.9717061397564565,all,IGR J17464-3213
0.9641278035305838,all,IGR J17464-3213
0.9623445255282039,all,IGR J17464-3213
1.0,all,IGR J17464-3213
0.9933348162377547,all,IGR J17464-3213
1.0,all,IGR J17464-3213
0.9880992635113265,all,IGR J17464-3213
0.9735501288707774,all,IGR J17464-3213
0.999850113837349,all,IGR J17464-3213
0.9795039799795735,all,IGR J17464-3213
0.9833126265543553,all,IGR J17464-3213
0.9793576343138672,all,IGR J17464-3213
0.9357964367107398,all,IGR J17464-3213
1.0,all,IGR J17464-3213
0.9873650591893662,all,IGR J17464-3213
0.9849473459130277,all,IGR J17464-3213
0.9790733590659416,all,IGR J17464-3213
0.982451417305792,all,IGR J17464-3213
0.9710408159623063,all,IGR J17464-3213
0.989248690284609,all,IGR J17464-3213
0.960393524834013,all,IGR J17464-3213
0.9827910264870582,all,IGR J17464-3213
0.9884236020585665,all,IGR J17464-3213
0.9770199629926565,all,IGR J17464-3213
0.9855630168870654,all,IGR J17464-3213
0.9651299841164862,all,IGR J17464-3213
0.9655125984365606,all,IGR J17464-3213
0.9835507568153958,all,IGR J17464-3213
0.9901782448193157,all,IGR J17464-3213
0.9518770151674744,all,IGR J17464-3213
0.9878303095266615,all,IGR J17464-3213
0.9718519774943549,all,IGR J17464-3213
0.9771079086903888,all,IGR J17464-3213
0.9599072311465244,all,IGR J17464-3213
0.9672257413971994,all,IGR J17464-3213
0.9944918798829546,all,IGR J17464-3213
0.9804929506097032,all,IGR J17464-3213
0.9742583239743566,all,IGR J17464-3213
0.9782526747105345,all,IGR J17464-3213
0.9873381773699645,all,IGR J17464-3213
0.9866074174424501,all,IGR J17464-3213
0.9788745949940479,all,IGR J17464-3213
0.99639438666345,all,IGR J17464-3213
0.9945569395536,all,IGR J17464-3213
0.9862005804369559,all,IGR J17464-3213
0.980819176743651,all,IGR J17464-3213
0.9898598164267931,all,IGR J17464-3213
0.9847140113270177,all,IGR J17464-3213
0.9959120010770892,all,IGR J17464-3213
0.9934934206510746,all,IGR J17464-3213
0.9647261914787341,all,IGR J17464-3213
0.9637105524388744,all,IGR J17464-3213
0.9694812568339388,all,IGR J17464-3213
0.9946420803510038,all,IGR J17464-3213
0.9563553650484313,all,IGR J17464-3213
0.9859213608366199,all,IGR J17464-3213
0.9854381463663944,all,IGR J17464-3213
0.9974397208802929,all,IGR J17464-3213
0.9827050803599583,all,IGR J17464-3213
0.9598518591412415,all,IGR J17464-3213
0.9656096755902781,all,IGR J17464-3213
0.9622700671715326,all,IGR J17464-3213
0.9719308405050029,all,IGR J17464-3213
0.9772564764886411,all,IGR J17464-3213
0.9625183771066841,all,IGR J17464-3213
1.0,all,IGR J17464-3213
0.9601207794207134,all,IGR J17464-3213
1.0,all,IGR J17464-3213
0.9977774454715901,all,IGR J17464-3213
0.9934745382453355,all,IGR J17464-3213
0.9695935008875487,all,IGR J17464-3213
0.9851367631876535,all,IGR J17464-3213
0.9608394329967407,all,IGR J17464-3213
