模拟值,模拟类型,源
0.20352091091658076,continuum-fitting,IGR J17464-3213
0.358231595557999,continuum-fitting,IGR J17464-3213
-0.2833008303655502,continuum-fitting,IGR J17464-3213
-0.07596945113384607,continuum-fitting,IGR J17464-3213
0.15554643995053127,continuum-fitting,IGR J17464-3213
-0.06599951040531238,continuum-fitting,IGR J17464-3213
-0.044677531365744955,continuum-fitting,IGR J17464-3213
0.09504120107706879,continuum-fitting,IGR J17464-3213
0.39487439949385195,continuum-fitting,IGR J17464-3213
0.09718466693655668,continuum-fitting,IGR J17464-3213
0.523527858341884,continuum-fitting,IGR J17464-3213
-0.09932733479780642,continuum-fitting,IGR J17464-3213
-0.17557667814203576,continuum-fitting,IGR J17464-3213
0.7779036217163402,continuum-fitting,IGR J17464-3213
0.0026125617003466273,continuum-fitting,IGR J17464-3213
-0.1932736021216479,continuum-fitting,IGR J17464-3213
-0.32261618253154906,continuum-fitting,IGR J17464-3213
0.5225310361426817,continuum-fitting,IGR J17464-3213
0.09760864560198225,continuum-fitting,IGR J17464-3213
0.12388707948008047,continuum-fitting,IGR J17464-3213
0.15223948652400815,continuum-fitting,IGR J17464-3213
0.5038828654009344,continuum-fitting,IGR J17464-3213
0.1461410498072239,continuum-fitting,IGR J17464-3213
0.9032161336497879,continuum-fitting,IGR J17464-3213
0.24012817221626878,continuum-fitting,IGR J17464-3213
0.5185354300874964,continuum-fitting,IGR J17464-3213
0.44157195737132204,continuum-fitting,IGR J17464-3213
0.1890658039225887,continuum-fitting,IGR J17464-3213
0.02390870419386104,continuum-fitting,IGR J17464-3213
0.2995891785699661,continuum-fitting,IGR J17464-3213
0.3530296193621819,continuum-fitting,IGR J17464-3213
0.028224185562041842,continuum-fitting,IGR J17464-3213
0.24990165978519677,continuum-fitting,IGR J17464-3213
0.5708614934778788,continuum-fitting,IGR J17464-3213
0.8209843217209036,continuum-fitting,IGR J17464-3213
0.4563107961048264,continuum-fitting,IGR J17464-3213
0.7588279059140846,continuum-fitting,IGR J17464-3213
0.0111877366380633,continuum-fitting,IGR J17464-3213
0.4105646756177882,continuum-fitting,IGR J17464-3213
0.6015558525743816,continuum-fitting,IGR J17464-3213
-0.06889999989159873,continuum-fitting,IGR J17464-3213
0.05432296638649725,continuum-fitting,IGR J17464-3213
0.721371428550575,continuum-fitting,IGR J17464-3213
-0.09252965673608193,continuum-fitting,IGR J17464-3213
-0.2023390097967132,continuum-fitting,IGR J17464-3213
0.6583944720918533,continuum-fitting,IGR J17464-3213
0.5590289674941316,continuum-fitting,IGR J17464-3213
0.32963607319513083,continuum-fitting,IGR J17464-3213
0.18628677360625176,continuum-fitting,IGR J17464-3213
0.06844264831850544,continuum-fitting,IGR J17464-3213
0.2845846621427154,continuum-fitting,IGR J17464-3213
0.6739420872204649,continuum-fitting,IGR J17464-3213
0.2715698378426228,continuum-fitting,IGR J17464-3213
0.8500877801740898,continuum-fitting,IGR J17464-3213
-0.06938259569206912,continuum-fitting,IGR J17464-3213
0.1940957737015192,continuum-fitting,IGR J17464-3213
0.08808239970082535,continuum-fitting,IGR J17464-3213
-0.1255424629486998,continuum-fitting,IGR J17464-3213
0.15407488009710338,continuum-fitting,IGR J17464-3213
0.3251987904981319,continuum-fitting,IGR J17464-3213
0.35726905398560904,continuum-fitting,IGR J17464-3213
0.8511356536833667,continuum-fitting,IGR J17464-3213
0.33934024091706794,continuum-fitting,IGR J17464-3213
0.5450410411038848,continuum-fitting,IGR J17464-3213
0.21982827388969278,continuum-fitting,IGR J17464-3213
0.7034166801357786,continuum-fitting,IGR J17464-3213
0.9195347856764209,continuum-fitting,IGR J17464-3213
0.35932553929278493,continuum-fitting,IGR J17464-3213
-0.09779770463547438,continuum-fitting,IGR J17464-3213
0.0353584931668495,continuum-fitting,IGR J17464-3213
0.28458029096154863,continuum-fitting,IGR J17464-3213
0.3369494105751938,continuum-fitting,IGR J17464-3213
0.4095275403153116,continuum-fitting,IGR J17464-3213
0.3380593043690123,continuum-fitting,IGR J17464-3213
0.20209547487678162,continuum-fitting,IGR J17464-3213
0.00914046763936141,continuum-fitting,IGR J17464-3213
0.32034147837926885,continuum-fitting,IGR J17464-3213
0.756496207244197,continuum-fitting,IGR J17464-3213
0.5059785816283264,continuum-fitting,IGR J17464-3213
