模拟值,模拟类型,源
0.9976222108637853,reflection,IGR J17464-3213
0.9518152858286926,reflection,IGR J17464-3213
0.975083074161838,reflection,IGR J17464-3213
0.9793750996492799,reflection,IGR J17464-3213
0.9802386298759944,reflection,IGR J17464-3213
0.9827074408411712,reflection,IGR J17464-3213
0.9891565972971423,reflection,IGR J17464-3213
0.9794688884143197,reflection,IGR J17464-3213
0.9744791257678448,reflection,IGR J17464-3213
0.9738861598301045,reflection,IGR J17464-3213
0.9708272629694247,reflection,IGR J17464-3213
0.991813149864903,reflection,IGR J17464-3213
0.9703020728078523,reflection,IGR J17464-3213
0.9927015666351237,reflection,IGR J17464-3213
0.980284986233898,reflection,IGR J17464-3213
0.9721811778971581,reflection,IGR J17464-3213
0.989276108236162,reflection,IGR J17464-3213
0.9690881911291532,reflection,IGR J17464-3213
0.9895727606109231,reflection,IGR J17464-3213
0.9831908918178768,reflection,IGR J17464-3213
0.9710551296636212,reflection,IGR J17464-3213
0.9879295222300184,reflection,IGR J17464-3213
0.9881988458853296,reflection,IGR J17464-3213
0.9973627940871493,reflection,IGR J17464-3213
0.9944922051861395,reflection,IGR J17464-3213
0.9873691103108942,reflection,IGR J17464-3213
0.9630861357318685,reflection,IGR J17464-3213
1.0,reflection,IGR J17464-3213
0.9589457568339228,reflection,IGR J17464-3213
0.9942389476142346,reflection,IGR J17464-3213
0.9864692572532945,reflection,IGR J17464-3213
0.9623878644127832,reflection,IGR J17464-3213
0.9781354859168225,reflection,IGR J17464-3213
0.9788187067063304,reflection,IGR J17464-3213
0.9995837407371578,reflection,IGR J17464-3213
0.9693003364957968,reflection,IGR J17464-3213
0.9760708249036347,reflection,IGR J17464-3213
0.944958955924681,reflection,IGR J17464-3213
1.0,reflection,IGR J17464-3213
0.9639429763546989,reflection,IGR J17464-3213
0.9849036629635876,reflection,IGR J17464-3213
0.978478882554172,reflection,IGR J17464-3213
0.9785299854982499,reflection,IGR J17464-3213
0.9921479297730631,reflection,IGR J17464-3213
1.0,reflection,IGR J17464-3213
0.9837724050491299,reflection,IGR J17464-3213
0.9898261702644578,reflection,IGR J17464-3213
0.9849333730509056,reflection,IGR J17464-3213
0.9952629713589594,reflection,IGR J17464-3213
0.973056254307705,reflection,IGR J17464-3213
0.9961308583162461,reflection,IGR J17464-3213
0.9966574979847107,reflection,IGR J17464-3213
0.9962380551302437,reflection,IGR J17464-3213
0.9700977819899529,reflection,IGR J17464-3213
0.9774749354864422,reflection,IGR J17464-3213
0.9835920048317065,reflection,IGR J17464-3213
0.9594373693275648,reflection,IGR J17464-3213
1.0,reflection,IGR J17464-3213
0.9798158519974673,reflection,IGR J17464-3213
0.9842589183140708,reflection,IGR J17464-3213
0.9713449334040919,reflection,IGR J17464-3213
0.9600968366094946,reflection,IGR J17464-3213
0.9709395517178784,reflection,IGR J17464-3213
0.9832880628145038,reflection,IGR J17464-3213
0.9901014321913054,reflection,IGR J17464-3213
0.9824268731090408,reflection,IGR J17464-3213
0.9852008602436292,reflection,IGR J17464-3213
0.9749446043797794,reflection,IGR J17464-3213
0.9874437284936814,reflection,IGR J17464-3213
1.0,reflection,IGR J17464-3213
0.9905718416365847,reflection,IGR J17464-3213
0.992143128323794,reflection,IGR J17464-3213
0.9844102459895995,reflection,IGR J17464-3213
0.957452673956006,reflection,IGR J17464-3213
0.9643300020405313,reflection,IGR J17464-3213
0.9868231370099576,reflection,IGR J17464-3213
0.9798359142205987,reflection,IGR J17464-3213
0.9865976432970924,reflection,IGR J17464-3213
1.0,reflection,IGR J17464-3213
0.99089053998844,reflection,IGR J17464-3213
0.9988832930861423,reflection,IGR J17464-3213
0.9814202208420609,reflection,IGR J17464-3213
0.9678917648377334,reflection,IGR J17464-3213
0.9791320076117849,reflection,IGR J17464-3213
0.9679287227942129,reflection,IGR J17464-3213
1.0,reflection,IGR J17464-3213
0.991855866148032,reflection,IGR J17464-3213
0.9878076874494242,reflection,IGR J17464-3213
0.9985391480334216,reflection,IGR J17464-3213
0.9496991537821516,reflection,IGR J17464-3213
0.9888220692701398,reflection,IGR J17464-3213
0.9603403132354345,reflection,IGR J17464-3213
0.9798911645230151,reflection,IGR J17464-3213
0.9753243861129918,reflection,IGR J17464-3213
0.9899260491814542,reflection,IGR J17464-3213
0.9834228093344143,reflection,IGR J17464-3213
1.0,reflection,IGR J17464-3213
0.9709715425860108,reflection,IGR J17464-3213
0.9906367158444992,reflection,IGR J17464-3213
0.9824333482534825,reflection,IGR J17464-3213
0.9554706459489267,reflection,IGR J17464-3213
0.9662207531221545,reflection,IGR J17464-3213
0.9777518294971674,reflection,IGR J17464-3213
0.9966843867483759,reflection,IGR J17464-3213
0.9869558458633567,reflection,IGR J17464-3213
0.9624874876417893,reflection,IGR J17464-3213
0.9778952565792925,reflection,IGR J17464-3213
1.0,reflection,IGR J17464-3213
0.9816683500226129,reflection,IGR J17464-3213
0.9750901163739141,reflection,IGR J17464-3213
0.9873760946113432,reflection,IGR J17464-3213
0.9914508961937295,reflection,IGR J17464-3213
0.9731574747877991,reflection,IGR J17464-3213
0.9875386216155715,reflection,IGR J17464-3213
0.9750666575499378,reflection,IGR J17464-3213
0.9907899140274415,reflection,IGR J17464-3213
0.9825453973695693,reflection,IGR J17464-3213
0.9872295174057933,reflection,IGR J17464-3213
0.9686122468074874,reflection,IGR J17464-3213
0.9676807042389071,reflection,IGR J17464-3213
0.9941824595698909,reflection,IGR J17464-3213
0.9788090542792176,reflection,IGR J17464-3213
0.9842755211314904,reflection,IGR J17464-3213
0.9754040685937022,reflection,IGR J17464-3213
0.9934809016102046,reflection,IGR J17464-3213
0.9708828502995551,reflection,IGR J17464-3213
0.9779659814014867,reflection,IGR J17464-3213
0.9917898921905469,reflection,IGR J17464-3213
0.9975945154874639,reflection,IGR J17464-3213
0.9721436106345998,reflection,IGR J17464-3213
1.0,reflection,IGR J17464-3213
0.9846986254054042,reflection,IGR J17464-3213
0.9643560760728689,reflection,IGR J17464-3213
0.9855357807288495,reflection,IGR J17464-3213
0.9742550117827481,reflection,IGR J17464-3213
0.9865110273077476,reflection,IGR J17464-3213
0.9793571562850949,reflection,IGR J17464-3213
0.9811141053528522,reflection,IGR J17464-3213
0.9663260993512078,reflection,IGR J17464-3213
0.9948509184607454,reflection,IGR J17464-3213
