模拟值,模拟类型,源
0.19480654926840418,continuum-fitting,MAXI J0637-430
0.2070320105468437,continuum-fitting,MAXI J0637-430
0.19623084983515435,continuum-fitting,MAXI J0637-430
0.19672650039677406,continuum-fitting,MAXI J0637-430
0.19356511546351188,continuum-fitting,MAXI J0637-430
0.19171059259197154,continuum-fitting,MAXI J0637-430
0.2035417735389621,continuum-fitting,MAXI J0637-430
0.20483706294644627,continuum-fitting,MAXI J0637-430
0.20227148437551284,continuum-fitting,MAXI J0637-430
0.1938381639444656,continuum-fitting,MAXI J0637-430
0.1979850810008663,continuum-fitting,MAXI J0637-430
0.21595934783421178,continuum-fitting,MAXI J0637-430
0.18578916622900435,continuum-fitting,MAXI J0637-430
0.2188589128042864,continuum-fitting,MAXI J0637-430
0.20099719846117547,continuum-fitting,MAXI J0637-430
0.19819873610023497,continuum-fitting,MAXI J0637-430
0.2095337833880168,continuum-fitting,MAXI J0637-430
0.17932733930941633,continuum-fitting,MAXI J0637-430
0.2138031957457975,continuum-fitting,MAXI J0637-430
0.21857725828948382,continuum-fitting,MAXI J0637-430
0.210879728674591,continuum-fitting,MAXI J0637-430
0.17897714631089284,continuum-fitting,MAXI J0637-430
0.20764167797800484,continuum-fitting,MAXI J0637-430
0.21645998558018684,continuum-fitting,MAXI J0637-430
0.21542748787735758,continuum-fitting,MAXI J0637-430
0.18591910752773608,continuum-fitting,MAXI J0637-430
0.21016356831603006,continuum-fitting,MAXI J0637-430
0.2179557040277915,continuum-fitting,MAXI J0637-430
0.2002946571864602,continuum-fitting,MAXI J0637-430
0.1854729877721028,continuum-fitting,MAXI J0637-430
0.20828652592724936,continuum-fitting,MAXI J0637-430
0.2105385796865175,continuum-fitting,MAXI J0637-430
0.198607918356741,continuum-fitting,MAXI J0637-430
0.18809276544136178,continuum-fitting,MAXI J0637-430
0.20981872084036166,continuum-fitting,MAXI J0637-430
0.19231191134378242,continuum-fitting,MAXI J0637-430
0.20397346726538873,continuum-fitting,MAXI J0637-430
0.21558166355012948,continuum-fitting,MAXI J0637-430
0.18341201903047982,continuum-fitting,MAXI J0637-430
0.20907763997969256,continuum-fitting,MAXI J0637-430
0.197934179696802,continuum-fitting,MAXI J0637-430
0.19819346716015426,continuum-fitting,MAXI J0637-430
0.20514316434532828,continuum-fitting,MAXI J0637-430
0.19228615968585844,continuum-fitting,MAXI J0637-430
0.18824980863071358,continuum-fitting,MAXI J0637-430
0.18215805227969323,continuum-fitting,MAXI J0637-430
0.21231762709419216,continuum-fitting,MAXI J0637-430
0.19628327814891036,continuum-fitting,MAXI J0637-430
0.20569940412357368,continuum-fitting,MAXI J0637-430
0.19514967925118346,continuum-fitting,MAXI J0637-430
0.18838239496625045,continuum-fitting,MAXI J0637-430
0.2065231260993914,continuum-fitting,MAXI J0637-430
0.20327962573724823,continuum-fitting,MAXI J0637-430
0.19763100846012574,continuum-fitting,MAXI J0637-430
0.20301896063441469,continuum-fitting,MAXI J0637-430
0.19039515443755997,continuum-fitting,MAXI J0637-430
0.21060599774555314,continuum-fitting,MAXI J0637-430
0.21292394638534476,continuum-fitting,MAXI J0637-430
0.20759304571336923,continuum-fitting,MAXI J0637-430
0.1962801424090633,continuum-fitting,MAXI J0637-430
