模拟值,模拟类型,源
0.5325256442171471,combining,MAXI J1348-630
0.6528518658982067,combining,MAXI J1348-630
0.7136863071819639,combining,MAXI J1348-630
0.8094569584202099,combining,MAXI J1348-630
0.9231411024588942,combining,MAXI J1348-630
0.8802376726383294,combining,MAXI J1348-630
0.6366877762018269,combining,MAXI J1348-630
0.7416774059184652,combining,MAXI J1348-630
0.7999288265313337,combining,MAXI J1348-630
0.7559130738219552,combining,MAXI J1348-630
0.7549916206371218,combining,MAXI J1348-630
0.5660433677949447,combining,MAXI J1348-630
0.6401445603518467,combining,MAXI J1348-630
0.7376178196118945,combining,MAXI J1348-630
0.3878806622571289,combining,MAXI J1348-630
0.8732837616012812,combining,MAXI J1348-630
0.611551717037561,combining,MAXI J1348-630
0.879288957324468,combining,MAXI J1348-630
0.8678590805812183,combining,MAXI J1348-630
0.7193199043953901,combining,MAXI J1348-630
0.9200712823412,combining,MAXI J1348-630
0.8866156548402413,combining,MAXI J1348-630
0.7498350087914968,combining,MAXI J1348-630
0.7351712500250792,combining,MAXI J1348-630
0.9326402621363664,combining,MAXI J1348-630
0.8201617991229964,combining,MAXI J1348-630
0.9258106318878585,combining,MAXI J1348-630
0.47943337033414424,combining,MAXI J1348-630
0.8028030626125301,combining,MAXI J1348-630
0.5849368186939816,combining,MAXI J1348-630
0.7866474940267209,combining,MAXI J1348-630
0.882796627084965,combining,MAXI J1348-630
1.0,combining,MAXI J1348-630
0.6680383253031659,combining,MAXI J1348-630
0.7216583753107423,combining,MAXI J1348-630
0.7775807220801801,combining,MAXI J1348-630
0.6633109568099542,combining,MAXI J1348-630
0.9172127647426035,combining,MAXI J1348-630
0.780887709102469,combining,MAXI J1348-630
0.805854413038886,combining,MAXI J1348-630
0.8706225064806407,combining,MAXI J1348-630
0.7806775028711969,combining,MAXI J1348-630
0.6837199133371376,combining,MAXI J1348-630
0.7818073690211993,combining,MAXI J1348-630
0.6786964232632594,combining,MAXI J1348-630
0.8040375155851432,combining,MAXI J1348-630
0.9196019037042336,combining,MAXI J1348-630
0.6372528220045969,combining,MAXI J1348-630
0.590791769812528,combining,MAXI J1348-630
0.7964024916695577,combining,MAXI J1348-630
0.6901860498232922,combining,MAXI J1348-630
0.794126885673556,combining,MAXI J1348-630
0.8316524576792611,combining,MAXI J1348-630
0.5113207902392899,combining,MAXI J1348-630
0.8796804255956105,combining,MAXI J1348-630
0.6379430946158177,combining,MAXI J1348-630
0.7870947664265904,combining,MAXI J1348-630
0.7042802963930042,combining,MAXI J1348-630
0.7182455880780417,combining,MAXI J1348-630
1.0,combining,MAXI J1348-630
0.831504777703436,combining,MAXI J1348-630
0.9076094923839668,combining,MAXI J1348-630
0.8096223760463566,combining,MAXI J1348-630
0.870601764705144,combining,MAXI J1348-630
0.8442591870786488,combining,MAXI J1348-630
0.8230792988092874,combining,MAXI J1348-630
0.9339302681914085,combining,MAXI J1348-630
0.8103457089997551,combining,MAXI J1348-630
1.0,combining,MAXI J1348-630
0.914869104465617,combining,MAXI J1348-630
0.6418597092938404,combining,MAXI J1348-630
0.7670485378322124,combining,MAXI J1348-630
0.841620087933787,combining,MAXI J1348-630
0.7957845886425648,combining,MAXI J1348-630
0.8792935444663819,combining,MAXI J1348-630
0.8936121716284036,combining,MAXI J1348-630
0.6132536918461347,combining,MAXI J1348-630
0.9565400808131443,combining,MAXI J1348-630
0.7254137294868143,combining,MAXI J1348-630
0.7125324142375816,combining,MAXI J1348-630
0.7121140889482798,combining,MAXI J1348-630
0.8951149327787759,combining,MAXI J1348-630
0.7552811992407878,combining,MAXI J1348-630
0.703738286236098,combining,MAXI J1348-630
0.7348853095323402,combining,MAXI J1348-630
0.556690084340936,combining,MAXI J1348-630
0.6805187106863068,combining,MAXI J1348-630
0.6288541386750971,combining,MAXI J1348-630
0.7550079870355342,combining,MAXI J1348-630
0.8763451251355671,combining,MAXI J1348-630
0.8620038671213195,combining,MAXI J1348-630
0.9533775646810558,combining,MAXI J1348-630
0.9244168562485607,combining,MAXI J1348-630
0.721282427060611,combining,MAXI J1348-630
0.7924792820979828,combining,MAXI J1348-630
0.7857677077512156,combining,MAXI J1348-630
0.5103631512461547,combining,MAXI J1348-630
0.6317562602017333,combining,MAXI J1348-630
0.7682527319703554,combining,MAXI J1348-630
0.767523463431695,combining,MAXI J1348-630
0.8566022570466717,combining,MAXI J1348-630
0.8502734118396603,combining,MAXI J1348-630
0.5598099747270344,combining,MAXI J1348-630
0.8574175754794789,combining,MAXI J1348-630
0.8132163368389893,combining,MAXI J1348-630
0.8710385136138018,combining,MAXI J1348-630
0.9286925263934067,combining,MAXI J1348-630
0.7714252135375637,combining,MAXI J1348-630
0.9519264708074104,combining,MAXI J1348-630
0.674377940993904,combining,MAXI J1348-630
0.6670540443516116,combining,MAXI J1348-630
0.8457403847176204,combining,MAXI J1348-630
0.7420602191103267,combining,MAXI J1348-630
0.824012233400466,combining,MAXI J1348-630
1.0,combining,MAXI J1348-630
0.8411543595555169,combining,MAXI J1348-630
0.8175820400523356,combining,MAXI J1348-630
0.6770013507752599,combining,MAXI J1348-630
0.569002625138835,combining,MAXI J1348-630
0.7805689400144437,combining,MAXI J1348-630
0.9286931320590656,combining,MAXI J1348-630
0.7480180590821124,combining,MAXI J1348-630
0.842190124896698,combining,MAXI J1348-630
0.9754446454534158,combining,MAXI J1348-630
0.9721971207199469,combining,MAXI J1348-630
0.8457460653882317,combining,MAXI J1348-630
0.8121138422254546,combining,MAXI J1348-630
0.5925777036296002,combining,MAXI J1348-630
0.7080746962569978,combining,MAXI J1348-630
0.7535017449576505,combining,MAXI J1348-630
0.6791968905135602,combining,MAXI J1348-630
0.8222989241838594,combining,MAXI J1348-630
1.0,combining,MAXI J1348-630
0.9873090070460102,combining,MAXI J1348-630
0.821704382038057,combining,MAXI J1348-630
0.8913264293632277,combining,MAXI J1348-630
0.6952814390037045,combining,MAXI J1348-630
0.9803316155869443,combining,MAXI J1348-630
0.5869443425271266,combining,MAXI J1348-630
0.9086676609412011,combining,MAXI J1348-630
0.8544266623259708,combining,MAXI J1348-630
0.6917382797219248,combining,MAXI J1348-630
0.7628577216240682,combining,MAXI J1348-630
0.6425471485897123,combining,MAXI J1348-630
0.6480867937857099,combining,MAXI J1348-630
0.5831629799188891,combining,MAXI J1348-630
0.8897768072860925,combining,MAXI J1348-630
0.9466948460254685,combining,MAXI J1348-630
0.5089649777042546,combining,MAXI J1348-630
1.0,combining,MAXI J1348-630
0.7884389292372108,combining,MAXI J1348-630
0.827680916633989,combining,MAXI J1348-630
0.5985863313739401,combining,MAXI J1348-630
0.9617073475214325,combining,MAXI J1348-630
0.8160325121116885,combining,MAXI J1348-630
0.9380474111702689,combining,MAXI J1348-630
0.9487115816842067,combining,MAXI J1348-630
0.9635336749537652,combining,MAXI J1348-630
0.7057234991392136,combining,MAXI J1348-630
0.7629649389738834,combining,MAXI J1348-630
0.7104787302851632,combining,MAXI J1348-630
0.9063625401563669,combining,MAXI J1348-630
0.8332755998172863,combining,MAXI J1348-630
0.928988832321721,combining,MAXI J1348-630
0.9346560443974402,combining,MAXI J1348-630
0.565456266177942,combining,MAXI J1348-630
0.9656001169720034,combining,MAXI J1348-630
0.9136119245095433,combining,MAXI J1348-630
0.7420007651858853,combining,MAXI J1348-630
0.8354730596488518,combining,MAXI J1348-630
0.7739229556942485,combining,MAXI J1348-630
0.8700872382220529,combining,MAXI J1348-630
0.7417184705083661,combining,MAXI J1348-630
0.852260541351984,combining,MAXI J1348-630
0.7987496896057158,combining,MAXI J1348-630
0.7338147925456103,combining,MAXI J1348-630
0.8147177118372677,combining,MAXI J1348-630
1.0,combining,MAXI J1348-630
0.7008802381226614,combining,MAXI J1348-630
0.757507333135996,combining,MAXI J1348-630
0.7031453880477061,combining,MAXI J1348-630
0.7167818698814141,combining,MAXI J1348-630
0.8960506659400966,combining,MAXI J1348-630
0.8830647197526889,combining,MAXI J1348-630
0.7892377445682298,combining,MAXI J1348-630
0.9234185560849846,combining,MAXI J1348-630
0.8931476284142603,combining,MAXI J1348-630
0.7688965558165922,combining,MAXI J1348-630
0.5905975835667533,combining,MAXI J1348-630
0.8978717910333703,combining,MAXI J1348-630
0.8120564007302568,combining,MAXI J1348-630
0.792889050281077,combining,MAXI J1348-630
0.729413757398737,combining,MAXI J1348-630
0.8868043633851211,combining,MAXI J1348-630
0.8353045128157052,combining,MAXI J1348-630
0.7592123544357015,combining,MAXI J1348-630
0.6306909088615416,combining,MAXI J1348-630
0.9288307832444099,combining,MAXI J1348-630
0.868637679010264,combining,MAXI J1348-630
0.8232023769929275,combining,MAXI J1348-630
0.4446193806351803,combining,MAXI J1348-630
0.7850737465749122,combining,MAXI J1348-630
0.7586435185481638,combining,MAXI J1348-630
0.7095955609429357,combining,MAXI J1348-630
0.888050586213357,combining,MAXI J1348-630
0.8829318044417461,combining,MAXI J1348-630
0.8467872132350105,combining,MAXI J1348-630
0.9249258189198066,combining,MAXI J1348-630
0.6571011931756006,combining,MAXI J1348-630
0.7310249726199902,combining,MAXI J1348-630
0.7997229942141548,combining,MAXI J1348-630
0.7091397375003711,combining,MAXI J1348-630
0.8845319988214605,combining,MAXI J1348-630
0.7221138897428796,combining,MAXI J1348-630
0.9587881005780782,combining,MAXI J1348-630
0.6689492777724754,combining,MAXI J1348-630
1.0,combining,MAXI J1348-630
1.0,combining,MAXI J1348-630
0.7776820909790052,combining,MAXI J1348-630
0.9390021586203473,combining,MAXI J1348-630
0.7379443521338811,combining,MAXI J1348-630
0.9217272447700748,combining,MAXI J1348-630
0.7671228169106198,combining,MAXI J1348-630
0.6228928131938971,combining,MAXI J1348-630
0.3307336356017432,combining,MAXI J1348-630
0.7550672520108207,combining,MAXI J1348-630
0.8262781261290881,combining,MAXI J1348-630
0.9629411353847082,combining,MAXI J1348-630
0.7947612541796808,combining,MAXI J1348-630
0.9203783175132866,combining,MAXI J1348-630
0.7309875988612016,combining,MAXI J1348-630
0.7461537339609121,combining,MAXI J1348-630
0.9270246387287162,combining,MAXI J1348-630
0.4695923169929947,combining,MAXI J1348-630
0.7916878977573791,combining,MAXI J1348-630
0.7380050245577376,combining,MAXI J1348-630
0.966879456630797,combining,MAXI J1348-630
0.7213279816526235,combining,MAXI J1348-630
0.8571560460441123,combining,MAXI J1348-630
0.9097972060135103,combining,MAXI J1348-630
0.5959625207630467,combining,MAXI J1348-630
0.7718818599243928,combining,MAXI J1348-630
0.733887263568828,combining,MAXI J1348-630
0.9130181220878473,combining,MAXI J1348-630
0.8777606393055852,combining,MAXI J1348-630
0.7596837360923063,combining,MAXI J1348-630
0.6538369534459133,combining,MAXI J1348-630
0.9249590704826117,combining,MAXI J1348-630
0.7812051390421584,combining,MAXI J1348-630
0.5796110464632299,combining,MAXI J1348-630
0.59079054813391,combining,MAXI J1348-630
0.8468923459094869,combining,MAXI J1348-630
0.6241451949404826,combining,MAXI J1348-630
1.0,combining,MAXI J1348-630
0.668180863033287,combining,MAXI J1348-630
0.7899531057035541,combining,MAXI J1348-630
0.8106845556008397,combining,MAXI J1348-630
0.6951808938992101,combining,MAXI J1348-630
0.4988224860248641,combining,MAXI J1348-630
0.8148163626901096,combining,MAXI J1348-630
0.6920788012867065,combining,MAXI J1348-630
0.8051499955901377,combining,MAXI J1348-630
0.7740969632089679,combining,MAXI J1348-630
0.8242278622493344,combining,MAXI J1348-630
0.9930431156852878,combining,MAXI J1348-630
0.7189962083454742,combining,MAXI J1348-630
0.7290501949354755,combining,MAXI J1348-630
0.5734463506419943,combining,MAXI J1348-630
0.7646260863570917,combining,MAXI J1348-630
0.8432830986057457,combining,MAXI J1348-630
