模拟值,模拟类型,源
0.9579936497966893,reflection,MAXI J1744-294
0.9876660175297983,reflection,MAXI J1744-294
0.8979170531787164,reflection,MAXI J1744-294
0.9807530433225987,reflection,MAXI J1744-294
0.8561835106046831,reflection,MAXI J1744-294
0.9419407042951158,reflection,MAXI J1744-294
0.9154335130463643,reflection,MAXI J1744-294
0.8767956377202233,reflection,MAXI J1744-294
0.8997915043752996,reflection,MAXI J1744-294
0.91117049231743,reflection,MAXI J1744-294
0.931155174305326,reflection,MAXI J1744-294
0.9163817656667863,reflection,MAXI J1744-294
0.9436011688092845,reflection,MAXI J1744-294
0.9026428757985143,reflection,MAXI J1744-294
0.91854140345494,reflection,MAXI J1744-294
0.9269920270731612,reflection,MAXI J1744-294
0.948194330004884,reflection,MAXI J1744-294
0.9781981276826903,reflection,MAXI J1744-294
0.978414835317942,reflection,MAXI J1744-294
0.9506867796310974,reflection,MAXI J1744-294
0.9593613857472518,reflection,MAXI J1744-294
0.9540340112130463,reflection,MAXI J1744-294
0.9258411020861403,reflection,MAXI J1744-294
0.9805262351178045,reflection,MAXI J1744-294
0.8988483508382306,reflection,MAXI J1744-294
0.8478334539263269,reflection,MAXI J1744-294
0.8931329775960539,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.9267055087676044,reflection,MAXI J1744-294
0.9523358052782694,reflection,MAXI J1744-294
0.9276722492543408,reflection,MAXI J1744-294
0.965274939797186,reflection,MAXI J1744-294
0.943182069970287,reflection,MAXI J1744-294
0.9369133595845486,reflection,MAXI J1744-294
0.96762002507727,reflection,MAXI J1744-294
0.9190444927621529,reflection,MAXI J1744-294
0.9567435002213672,reflection,MAXI J1744-294
0.9321375252514982,reflection,MAXI J1744-294
0.9351658186054198,reflection,MAXI J1744-294
0.9031631125304526,reflection,MAXI J1744-294
0.9302819957776177,reflection,MAXI J1744-294
0.9156440852388767,reflection,MAXI J1744-294
0.9908464080442492,reflection,MAXI J1744-294
0.8642167751263556,reflection,MAXI J1744-294
0.9800166951150008,reflection,MAXI J1744-294
0.8615084043689958,reflection,MAXI J1744-294
0.9641747036924482,reflection,MAXI J1744-294
0.9023021394604407,reflection,MAXI J1744-294
0.9654845018875753,reflection,MAXI J1744-294
0.9345388446392725,reflection,MAXI J1744-294
0.8755440989850044,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.9749490839435039,reflection,MAXI J1744-294
0.9626428955649484,reflection,MAXI J1744-294
0.9111833615025461,reflection,MAXI J1744-294
0.9764988076053609,reflection,MAXI J1744-294
0.882253677028079,reflection,MAXI J1744-294
0.8397559244871701,reflection,MAXI J1744-294
0.8696953358863508,reflection,MAXI J1744-294
0.8985105383653113,reflection,MAXI J1744-294
0.9060323402159259,reflection,MAXI J1744-294
0.920432039401926,reflection,MAXI J1744-294
0.9224305044421163,reflection,MAXI J1744-294
0.9107572772969035,reflection,MAXI J1744-294
0.844765835252522,reflection,MAXI J1744-294
0.9486455515424791,reflection,MAXI J1744-294
0.9280896360946899,reflection,MAXI J1744-294
0.9086645386953677,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.9291025585950086,reflection,MAXI J1744-294
0.9426339279605278,reflection,MAXI J1744-294
0.9758132568302409,reflection,MAXI J1744-294
0.8729562620997627,reflection,MAXI J1744-294
0.9389825475849444,reflection,MAXI J1744-294
0.9756646534307482,reflection,MAXI J1744-294
0.9358901993785489,reflection,MAXI J1744-294
0.8813495835991483,reflection,MAXI J1744-294
0.9182886049774626,reflection,MAXI J1744-294
0.9485043990584641,reflection,MAXI J1744-294
0.8451904949432889,reflection,MAXI J1744-294
0.879130255220444,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.961806560245821,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.9789842965678547,reflection,MAXI J1744-294
0.9577292639428358,reflection,MAXI J1744-294
0.9260914342475421,reflection,MAXI J1744-294
0.9571546243473167,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.9771492515425343,reflection,MAXI J1744-294
0.947506463718105,reflection,MAXI J1744-294
0.932244381886016,reflection,MAXI J1744-294
0.9624245614361888,reflection,MAXI J1744-294
0.9160580826719242,reflection,MAXI J1744-294
0.9624313484686503,reflection,MAXI J1744-294
0.9085920029051777,reflection,MAXI J1744-294
0.9240735600631559,reflection,MAXI J1744-294
0.8937532540202574,reflection,MAXI J1744-294
0.9202106630157552,reflection,MAXI J1744-294
0.9092322553681189,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.8997476909247495,reflection,MAXI J1744-294
0.957317588302355,reflection,MAXI J1744-294
0.8973902956290888,reflection,MAXI J1744-294
0.9421103216504252,reflection,MAXI J1744-294
0.9530461930879475,reflection,MAXI J1744-294
0.8567003346734334,reflection,MAXI J1744-294
0.8771034330255009,reflection,MAXI J1744-294
0.8970397063942908,reflection,MAXI J1744-294
0.8813543406678158,reflection,MAXI J1744-294
0.9437838340875482,reflection,MAXI J1744-294
0.9509161093939689,reflection,MAXI J1744-294
0.8921617620084609,reflection,MAXI J1744-294
0.945588929661965,reflection,MAXI J1744-294
0.9209164623802878,reflection,MAXI J1744-294
0.9355235784894,reflection,MAXI J1744-294
0.9117209519677337,reflection,MAXI J1744-294
0.9619445529607965,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.974845039702836,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.8768728847602169,reflection,MAXI J1744-294
0.9095930903977085,reflection,MAXI J1744-294
0.9654356124759106,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.9692698192107958,reflection,MAXI J1744-294
0.8938199161581761,reflection,MAXI J1744-294
0.9204404199331503,reflection,MAXI J1744-294
0.9550031996464663,reflection,MAXI J1744-294
0.9325903215266164,reflection,MAXI J1744-294
0.9040552394026733,reflection,MAXI J1744-294
0.9269385500495005,reflection,MAXI J1744-294
0.9393503791558189,reflection,MAXI J1744-294
0.8911785412535089,reflection,MAXI J1744-294
0.984302908264153,reflection,MAXI J1744-294
0.9202173329848432,reflection,MAXI J1744-294
0.9367340698160141,reflection,MAXI J1744-294
0.9865773716675793,reflection,MAXI J1744-294
0.934375060025232,reflection,MAXI J1744-294
0.9841161472798714,reflection,MAXI J1744-294
0.8936859612587472,reflection,MAXI J1744-294
0.9594830161577327,reflection,MAXI J1744-294
0.9777695060071279,reflection,MAXI J1744-294
0.9026559400684427,reflection,MAXI J1744-294
0.9319733683435117,reflection,MAXI J1744-294
0.9329045986916238,reflection,MAXI J1744-294
0.9494337647717367,reflection,MAXI J1744-294
0.9613660727802895,reflection,MAXI J1744-294
0.898995721061996,reflection,MAXI J1744-294
0.9372975313764407,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.9874244556231161,reflection,MAXI J1744-294
0.9757229730359726,reflection,MAXI J1744-294
0.9313249180929415,reflection,MAXI J1744-294
1.0,reflection,MAXI J1744-294
0.9863416384827817,reflection,MAXI J1744-294
0.9416838490568245,reflection,MAXI J1744-294
0.9499184822015815,reflection,MAXI J1744-294
0.9193517655367431,reflection,MAXI J1744-294
0.9577017261021237,reflection,MAXI J1744-294
