模拟值,模拟类型,源
0.9385865679452529,continuum-fitting,MAXI J1820+070
0.9281747997777237,continuum-fitting,MAXI J1820+070
0.938802942669593,continuum-fitting,MAXI J1820+070
0.9414799560954002,continuum-fitting,MAXI J1820+070
0.9451883454528098,continuum-fitting,MAXI J1820+070
0.9407715802563167,continuum-fitting,MAXI J1820+070
0.9311905059000244,continuum-fitting,MAXI J1820+070
0.9601203002757184,continuum-fitting,MAXI J1820+070
0.948291267716216,continuum-fitting,MAXI J1820+070
0.9455271974464986,continuum-fitting,MAXI J1820+070
0.9500483125701094,continuum-fitting,MAXI J1820+070
0.9424460917181047,continuum-fitting,MAXI J1820+070
0.9528630088552195,continuum-fitting,MAXI J1820+070
0.9405687195028576,continuum-fitting,MAXI J1820+070
0.9400174746027418,continuum-fitting,MAXI J1820+070
0.946352284787912,continuum-fitting,MAXI J1820+070
0.9557635754629091,continuum-fitting,MAXI J1820+070
0.955120486152893,continuum-fitting,MAXI J1820+070
0.9459284759825999,continuum-fitting,MAXI J1820+070
0.9451661185857679,continuum-fitting,MAXI J1820+070
0.9469604241109648,continuum-fitting,MAXI J1820+070
0.9498562091333659,continuum-fitting,MAXI J1820+070
0.9529873193941324,continuum-fitting,MAXI J1820+070
0.9376341591599614,continuum-fitting,MAXI J1820+070
0.9531806128983739,continuum-fitting,MAXI J1820+070
0.943429951140713,continuum-fitting,MAXI J1820+070
0.9465093162249995,continuum-fitting,MAXI J1820+070
0.9538194932153399,continuum-fitting,MAXI J1820+070
0.9474706225009067,continuum-fitting,MAXI J1820+070
0.9491599556315283,continuum-fitting,MAXI J1820+070
0.9361058146671757,continuum-fitting,MAXI J1820+070
0.9549831154374967,continuum-fitting,MAXI J1820+070
0.9469568671107612,continuum-fitting,MAXI J1820+070
0.9412606571784049,continuum-fitting,MAXI J1820+070
0.9510107438689309,continuum-fitting,MAXI J1820+070
0.965878304977605,continuum-fitting,MAXI J1820+070
0.9283107549817806,continuum-fitting,MAXI J1820+070
0.9319626737707671,continuum-fitting,MAXI J1820+070
0.9668530530883588,continuum-fitting,MAXI J1820+070
0.9442669484230437,continuum-fitting,MAXI J1820+070
0.9419086967863156,continuum-fitting,MAXI J1820+070
