模拟值,模拟类型,源
-0.3026176165397743,reflection,MAXI J1820+070
-0.3893024071598626,reflection,MAXI J1820+070
-0.6316262437970896,reflection,MAXI J1820+070
-0.3973808201533158,reflection,MAXI J1820+070
-0.1277550516681063,reflection,MAXI J1820+070
-0.46494760348693587,reflection,MAXI J1820+070
-0.16659699007915535,reflection,MAXI J1820+070
-0.8532394874081953,reflection,MAXI J1820+070
-0.7260278803511278,reflection,MAXI J1820+070
-0.7973061550392275,reflection,MAXI J1820+070
-0.7048442946845501,reflection,MAXI J1820+070
0.30744444202487875,reflection,MAXI J1820+070
0.0007802004348118619,reflection,MAXI J1820+070
-0.9845384843609949,reflection,MAXI J1820+070
-0.15690718101277937,reflection,MAXI J1820+070
-0.6094532338624435,reflection,MAXI J1820+070
-0.7689231759602106,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
0.13515356617276353,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-0.42439787678239643,reflection,MAXI J1820+070
-0.9131590957886409,reflection,MAXI J1820+070
0.02799871707371382,reflection,MAXI J1820+070
-0.578723273080574,reflection,MAXI J1820+070
-0.46948384124186837,reflection,MAXI J1820+070
-0.45105127469126294,reflection,MAXI J1820+070
-0.23064531195759436,reflection,MAXI J1820+070
-0.3888928964831214,reflection,MAXI J1820+070
-0.4196487977672501,reflection,MAXI J1820+070
-0.6793066794767362,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-0.0033508228110272764,reflection,MAXI J1820+070
-0.5631303367078218,reflection,MAXI J1820+070
-0.7588813435253352,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-0.7803025599900604,reflection,MAXI J1820+070
0.08932088473573302,reflection,MAXI J1820+070
-0.700438860814597,reflection,MAXI J1820+070
-0.1771346604555489,reflection,MAXI J1820+070
-0.725572196765984,reflection,MAXI J1820+070
-0.04685935062023411,reflection,MAXI J1820+070
-0.5882318131884376,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-0.542982851607046,reflection,MAXI J1820+070
0.6062812285902425,reflection,MAXI J1820+070
0.582171778448542,reflection,MAXI J1820+070
-0.13010955003107727,reflection,MAXI J1820+070
-0.47090264262358844,reflection,MAXI J1820+070
-0.22991766515503692,reflection,MAXI J1820+070
-0.22284019688225726,reflection,MAXI J1820+070
-0.417798110168621,reflection,MAXI J1820+070
-0.15502409311228985,reflection,MAXI J1820+070
-0.28220401983307764,reflection,MAXI J1820+070
-0.5686789086015973,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-0.6474223758733206,reflection,MAXI J1820+070
0.04093705101872064,reflection,MAXI J1820+070
-0.4131941056867168,reflection,MAXI J1820+070
-0.23189321374742847,reflection,MAXI J1820+070
-0.5506679858904614,reflection,MAXI J1820+070
-0.9750700364883065,reflection,MAXI J1820+070
-0.5264111391774512,reflection,MAXI J1820+070
-0.9547721497595205,reflection,MAXI J1820+070
-0.9896570333743409,reflection,MAXI J1820+070
0.2628804067471322,reflection,MAXI J1820+070
-0.6255770016965493,reflection,MAXI J1820+070
-0.8012214024639084,reflection,MAXI J1820+070
0.4882149675141648,reflection,MAXI J1820+070
0.04938932184841799,reflection,MAXI J1820+070
-0.5990297917367545,reflection,MAXI J1820+070
-0.16229674808563074,reflection,MAXI J1820+070
-0.5248583159294741,reflection,MAXI J1820+070
-0.7745494447263013,reflection,MAXI J1820+070
-0.1365812458189451,reflection,MAXI J1820+070
-0.5732309803274909,reflection,MAXI J1820+070
-0.35474033808182615,reflection,MAXI J1820+070
0.16217500787267047,reflection,MAXI J1820+070
0.10197796122417324,reflection,MAXI J1820+070
-0.6966259839993458,reflection,MAXI J1820+070
-0.1303837293501075,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-0.14984866084096732,reflection,MAXI J1820+070
-0.3148473153796958,reflection,MAXI J1820+070
-0.18888777846838514,reflection,MAXI J1820+070
-0.5585535584130732,reflection,MAXI J1820+070
0.7429449510510856,reflection,MAXI J1820+070
-0.8885602902145018,reflection,MAXI J1820+070
0.1349530100442642,reflection,MAXI J1820+070
-0.9598231317533932,reflection,MAXI J1820+070
-0.12037590856507602,reflection,MAXI J1820+070
-0.08133077743190076,reflection,MAXI J1820+070
-0.3659556861912111,reflection,MAXI J1820+070
-0.6666947903621343,reflection,MAXI J1820+070
-0.31886978220769424,reflection,MAXI J1820+070
-0.2500788527804097,reflection,MAXI J1820+070
0.5822002897663834,reflection,MAXI J1820+070
-0.8727339659166118,reflection,MAXI J1820+070
-0.699806725735602,reflection,MAXI J1820+070
-0.24039201806160773,reflection,MAXI J1820+070
-0.5359333964510051,reflection,MAXI J1820+070
-0.450672427119773,reflection,MAXI J1820+070
0.18894727802629518,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-0.7227793170522339,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
0.9181272849176049,reflection,MAXI J1820+070
-0.06910111479481879,reflection,MAXI J1820+070
0.12403023154425385,reflection,MAXI J1820+070
-0.44000945360828475,reflection,MAXI J1820+070
0.01863710527063872,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
0.17143008203208676,reflection,MAXI J1820+070
-0.8440448107929853,reflection,MAXI J1820+070
-0.6863640952616115,reflection,MAXI J1820+070
-0.1199349399965326,reflection,MAXI J1820+070
-0.22306184643481947,reflection,MAXI J1820+070
-0.3497551435529256,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-0.3414518299889728,reflection,MAXI J1820+070
0.12894677967858426,reflection,MAXI J1820+070
-0.6870041980185375,reflection,MAXI J1820+070
0.3226130952784716,reflection,MAXI J1820+070
-0.8729261429770061,reflection,MAXI J1820+070
-0.39242157717590875,reflection,MAXI J1820+070
0.44305660629031884,reflection,MAXI J1820+070
-0.7683850522903366,reflection,MAXI J1820+070
0.18000306666557087,reflection,MAXI J1820+070
0.6831475159542187,reflection,MAXI J1820+070
-0.3025244163329519,reflection,MAXI J1820+070
-0.6840147836049773,reflection,MAXI J1820+070
-0.8183017558121879,reflection,MAXI J1820+070
0.3169653773793133,reflection,MAXI J1820+070
0.3017133799391182,reflection,MAXI J1820+070
0.39604743564773104,reflection,MAXI J1820+070
-0.4139461586334751,reflection,MAXI J1820+070
0.17116149354456278,reflection,MAXI J1820+070
-0.4226907272503974,reflection,MAXI J1820+070
-0.8785896239589682,reflection,MAXI J1820+070
0.2183626130639008,reflection,MAXI J1820+070
0.4969101070790388,reflection,MAXI J1820+070
-0.9537589781249913,reflection,MAXI J1820+070
-0.9640490212252161,reflection,MAXI J1820+070
-0.3741498729432369,reflection,MAXI J1820+070
0.12652428303745644,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-0.27193589975359744,reflection,MAXI J1820+070
-0.7186683303936543,reflection,MAXI J1820+070
-0.012996896945636383,reflection,MAXI J1820+070
-0.8320451479475042,reflection,MAXI J1820+070
0.025790339649838956,reflection,MAXI J1820+070
-0.4824643941118775,reflection,MAXI J1820+070
-0.9081472961916899,reflection,MAXI J1820+070
-0.36119343935920545,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-0.7015451836553497,reflection,MAXI J1820+070
-0.21161031506757247,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
-1.0,reflection,MAXI J1820+070
0.3292757555809521,reflection,MAXI J1820+070
-0.43794880047483165,reflection,MAXI J1820+070
-0.6869923378249279,reflection,MAXI J1820+070
0.1205270630419224,reflection,MAXI J1820+070
-0.6170317514693692,reflection,MAXI J1820+070
-0.24928557172283097,reflection,MAXI J1820+070
-0.3819247007204369,reflection,MAXI J1820+070
-0.6534011834415024,reflection,MAXI J1820+070
-0.23524927445460364,reflection,MAXI J1820+070
0.026587257506108963,reflection,MAXI J1820+070
-0.49705146619978385,reflection,MAXI J1820+070
-0.647693620728997,reflection,MAXI J1820+070
