模拟值,模拟类型,源
0.8766363856667773,all,SLX 1746-331
0.8768374792201813,all,SLX 1746-331
0.9135314115213544,all,SLX 1746-331
0.8921396635589696,all,SLX 1746-331
0.9172097637626822,all,SLX 1746-331
0.8725455530061925,all,SLX 1746-331
0.8787255010466778,all,SLX 1746-331
0.8600181135208503,all,SLX 1746-331
0.8678564979686564,all,SLX 1746-331
0.9085286972299376,all,SLX 1746-331
0.8721694856523736,all,SLX 1746-331
0.9087892195021668,all,SLX 1746-331
0.8613495660898016,all,SLX 1746-331
0.8641979644889008,all,SLX 1746-331
0.8748815316846487,all,SLX 1746-331
0.8790437511748124,all,SLX 1746-331
0.8938463093867519,all,SLX 1746-331
0.886761556257794,all,SLX 1746-331
0.8737552711398396,all,SLX 1746-331
0.8780002629022284,all,SLX 1746-331
0.8752140562032295,all,SLX 1746-331
0.866280193970114,all,SLX 1746-331
0.8666805559509757,all,SLX 1746-331
0.8954182583715011,all,SLX 1746-331
0.8525775260810929,all,SLX 1746-331
0.9042603804616758,all,SLX 1746-331
0.8748550866159666,all,SLX 1746-331
0.8684123709041176,all,SLX 1746-331
0.8910963893604591,all,SLX 1746-331
0.9022782487622067,all,SLX 1746-331
0.8967644866240594,all,SLX 1746-331
0.8875277807403984,all,SLX 1746-331
0.8963029523458276,all,SLX 1746-331
0.854252536342842,all,SLX 1746-331
0.8721725418776778,all,SLX 1746-331
0.8663324490996274,all,SLX 1746-331
0.8983695809682276,all,SLX 1746-331
0.8742478297161417,all,SLX 1746-331
0.8926810983517308,all,SLX 1746-331
0.8880378541373296,all,SLX 1746-331
0.8670653959575448,all,SLX 1746-331
0.8711956268503558,all,SLX 1746-331
0.8994072653622209,all,SLX 1746-331
0.8683677602697338,all,SLX 1746-331
0.8818730141529322,all,SLX 1746-331
0.8682618807051034,all,SLX 1746-331
0.8752907171962621,all,SLX 1746-331
0.8793075708404504,all,SLX 1746-331
0.8682570023455376,all,SLX 1746-331
0.8655932956902418,all,SLX 1746-331
0.8842941000516616,all,SLX 1746-331
0.8673289388681323,all,SLX 1746-331
0.8678401366645199,all,SLX 1746-331
0.8659142028444704,all,SLX 1746-331
0.8788313793050302,all,SLX 1746-331
0.8941555245159977,all,SLX 1746-331
0.902597929544684,all,SLX 1746-331
0.8691112287100933,all,SLX 1746-331
0.9122546618999682,all,SLX 1746-331
0.864929427089398,all,SLX 1746-331
0.896253227849918,all,SLX 1746-331
0.8691745531897683,all,SLX 1746-331
0.8669361509519499,all,SLX 1746-331
0.8688286576482341,all,SLX 1746-331
0.8792132845052633,all,SLX 1746-331
0.8886995825655042,all,SLX 1746-331
0.8900480205685724,all,SLX 1746-331
0.8658402247697817,all,SLX 1746-331
0.865155110687331,all,SLX 1746-331
0.8662504195995469,all,SLX 1746-331
0.8783296839642173,all,SLX 1746-331
0.8768476659371369,all,SLX 1746-331
0.865747368068953,all,SLX 1746-331
0.8840440554109487,all,SLX 1746-331
0.9139385321250297,all,SLX 1746-331
0.8724292680724728,all,SLX 1746-331
0.873497322681947,all,SLX 1746-331
0.8883949235548655,all,SLX 1746-331
0.871617755623948,all,SLX 1746-331
0.8900344672257727,all,SLX 1746-331
0.8692218593983144,all,SLX 1746-331
0.9074817941136595,all,SLX 1746-331
0.8851716245888844,all,SLX 1746-331
0.8706996557638493,all,SLX 1746-331
0.8711696245079609,all,SLX 1746-331
0.8722930037093795,all,SLX 1746-331
0.9005912449937331,all,SLX 1746-331
0.8609687348859808,all,SLX 1746-331
0.8699808749431074,all,SLX 1746-331
0.8715750916461186,all,SLX 1746-331
0.879764680498646,all,SLX 1746-331
0.8759333546102981,all,SLX 1746-331
0.8576315825291431,all,SLX 1746-331
0.874002659746068,all,SLX 1746-331
0.8785067397522255,all,SLX 1746-331
0.8705785324738032,all,SLX 1746-331
0.890301632335715,all,SLX 1746-331
0.8937911264313048,all,SLX 1746-331
0.8788241995040591,all,SLX 1746-331
0.8834581238027609,all,SLX 1746-331
0.8475841600397609,all,SLX 1746-331
0.8736834584175726,all,SLX 1746-331
0.8950723253763687,all,SLX 1746-331
0.8736484512523108,all,SLX 1746-331
0.8689410748541206,all,SLX 1746-331
0.914165333890464,all,SLX 1746-331
0.9072861578529371,all,SLX 1746-331
0.8870136236872324,all,SLX 1746-331
0.8970836591722007,all,SLX 1746-331
0.8466109687306288,all,SLX 1746-331
0.8681867283905694,all,SLX 1746-331
0.8729506319024027,all,SLX 1746-331
0.8764602985169958,all,SLX 1746-331
0.8726508396853906,all,SLX 1746-331
0.8417496056272548,all,SLX 1746-331
0.8857903692806284,all,SLX 1746-331
0.8881548119242091,all,SLX 1746-331
0.9040284818738498,all,SLX 1746-331
0.8681753610283756,all,SLX 1746-331
0.8669475526333015,all,SLX 1746-331
0.839800232710533,all,SLX 1746-331
0.8755964974511367,all,SLX 1746-331
0.8935166767159326,all,SLX 1746-331
0.8708234820671092,all,SLX 1746-331
0.9121516722781547,all,SLX 1746-331
0.8761510774631571,all,SLX 1746-331
0.8822048842643283,all,SLX 1746-331
0.8595534537912761,all,SLX 1746-331
0.8843083051776292,all,SLX 1746-331
0.8503102030772096,all,SLX 1746-331
0.8904054693251972,all,SLX 1746-331
0.8908664226435312,all,SLX 1746-331
0.9003893713650477,all,SLX 1746-331
0.8647004692184846,all,SLX 1746-331
0.8824084317744613,all,SLX 1746-331
0.8884572483907975,all,SLX 1746-331
0.8866342245749547,all,SLX 1746-331
0.8670205108729773,all,SLX 1746-331
0.8441202716566579,all,SLX 1746-331
0.8852044044532672,all,SLX 1746-331
0.8777125048253512,all,SLX 1746-331
0.8714999411055784,all,SLX 1746-331
0.891459180455732,all,SLX 1746-331
0.8793262069276835,all,SLX 1746-331
0.860212074208483,all,SLX 1746-331
0.8510282156635567,all,SLX 1746-331
0.8630655510230025,all,SLX 1746-331
0.9158951844215018,all,SLX 1746-331
0.8908416516089916,all,SLX 1746-331
0.8828291851296252,all,SLX 1746-331
0.8772750860922129,all,SLX 1746-331
0.8762891059007885,all,SLX 1746-331
0.8975079397503865,all,SLX 1746-331
0.8726410638714486,all,SLX 1746-331
0.8886538061602643,all,SLX 1746-331
0.8747735807456261,all,SLX 1746-331
0.9091023494775259,all,SLX 1746-331
0.8911343276136745,all,SLX 1746-331
0.8986833522202544,all,SLX 1746-331
0.8712338533796764,all,SLX 1746-331
0.8958720416885113,all,SLX 1746-331
0.8753113386190796,all,SLX 1746-331
0.8816505223589928,all,SLX 1746-331
0.9045257150592919,all,SLX 1746-331
0.8643583741486537,all,SLX 1746-331
0.883048715969581,all,SLX 1746-331
0.8865700788777809,all,SLX 1746-331
0.8878000657120122,all,SLX 1746-331
0.873238232603598,all,SLX 1746-331
0.9112939615121212,all,SLX 1746-331
0.8605760217198961,all,SLX 1746-331
0.901883280829487,all,SLX 1746-331
0.8982259840838746,all,SLX 1746-331
0.9085133318440552,all,SLX 1746-331
0.8561765935193827,all,SLX 1746-331
0.8669675276816543,all,SLX 1746-331
0.9023791458874246,all,SLX 1746-331
0.8518444126805453,all,SLX 1746-331
0.8559031164843938,all,SLX 1746-331
0.8726753831993276,all,SLX 1746-331
0.882879906829334,all,SLX 1746-331
0.9038833761047316,all,SLX 1746-331
0.8772210112760447,all,SLX 1746-331
0.8708764127790319,all,SLX 1746-331
0.8846708490654465,all,SLX 1746-331
0.887043947249416,all,SLX 1746-331
0.8866185973325541,all,SLX 1746-331
0.8773302068807298,all,SLX 1746-331
0.8506737082912278,all,SLX 1746-331
0.866235760163405,all,SLX 1746-331
0.9013040662790119,all,SLX 1746-331
0.882806034069649,all,SLX 1746-331
0.8751621682133941,all,SLX 1746-331
0.8967725282256096,all,SLX 1746-331
0.8630482505144658,all,SLX 1746-331
0.8766197779943049,all,SLX 1746-331
0.8820663760776105,all,SLX 1746-331
0.8733793374505806,all,SLX 1746-331
0.881511442343524,all,SLX 1746-331
0.8771845910286735,all,SLX 1746-331
0.8590098542832119,all,SLX 1746-331
0.8827221682281858,all,SLX 1746-331
0.860074723127307,all,SLX 1746-331
0.8824842268764508,all,SLX 1746-331
0.9006120373622516,all,SLX 1746-331
0.8757846520408592,all,SLX 1746-331
0.8624277530504352,all,SLX 1746-331
0.8780951828019253,all,SLX 1746-331
0.867520433378822,all,SLX 1746-331
0.8889176350394721,all,SLX 1746-331
0.8777801687871573,all,SLX 1746-331
0.9056464487749686,all,SLX 1746-331
0.8974448439351601,all,SLX 1746-331
0.877703792432779,all,SLX 1746-331
0.8907341360195964,all,SLX 1746-331
0.8741014538625573,all,SLX 1746-331
0.8805093532774775,all,SLX 1746-331
0.8745784870547453,all,SLX 1746-331
0.8914968393977456,all,SLX 1746-331
0.9014948241506436,all,SLX 1746-331
0.8919797231078671,all,SLX 1746-331
0.8938290490192804,all,SLX 1746-331
0.8938455015585359,all,SLX 1746-331
0.8882688388350206,all,SLX 1746-331
0.862910707611846,all,SLX 1746-331
0.9055145727912475,all,SLX 1746-331
0.9070661624004763,all,SLX 1746-331
0.8764918059502995,all,SLX 1746-331
0.8744395312717573,all,SLX 1746-331
0.8891861747937306,all,SLX 1746-331
0.8882621925277526,all,SLX 1746-331
0.8769708089687047,all,SLX 1746-331
0.8612496151661859,all,SLX 1746-331
0.8845855178612466,all,SLX 1746-331
0.8882715480726332,all,SLX 1746-331
0.890887317220582,all,SLX 1746-331
0.8852393915853131,all,SLX 1746-331
0.8759332727745713,all,SLX 1746-331
0.8949100305925942,all,SLX 1746-331
0.8809877274634887,all,SLX 1746-331
0.8730261547845292,all,SLX 1746-331
0.8772901992693142,all,SLX 1746-331
0.8538104645128752,all,SLX 1746-331
0.8772663726373219,all,SLX 1746-331
0.89032654779812,all,SLX 1746-331
0.8850967453320885,all,SLX 1746-331
0.9028099625947178,all,SLX 1746-331
0.8760553762897645,all,SLX 1746-331
0.8873096974457998,all,SLX 1746-331
0.8918911026445866,all,SLX 1746-331
0.9151428551243111,all,SLX 1746-331
0.8821714823667646,all,SLX 1746-331
0.8643371923170396,all,SLX 1746-331
0.8927189313003292,all,SLX 1746-331
0.9079859103395268,all,SLX 1746-331
0.8751617693466007,all,SLX 1746-331
0.8926162230790963,all,SLX 1746-331
0.8984309208284338,all,SLX 1746-331
0.8952559831595523,all,SLX 1746-331
0.8818833778371037,all,SLX 1746-331
0.8695228936268028,all,SLX 1746-331
0.8787808067797962,all,SLX 1746-331
0.8868790068081644,all,SLX 1746-331
0.8936233378613759,all,SLX 1746-331
0.8850091757199856,all,SLX 1746-331
0.8743013805018913,all,SLX 1746-331
0.8883306948422466,all,SLX 1746-331
0.8929012760161423,all,SLX 1746-331
0.8856941508462172,all,SLX 1746-331
0.8674571932819252,all,SLX 1746-331
0.8772789094792421,all,SLX 1746-331
0.894217311646187,all,SLX 1746-331
0.8592547328688329,all,SLX 1746-331
0.8486023296641326,all,SLX 1746-331
0.9026212427521603,all,SLX 1746-331
0.8876712288253282,all,SLX 1746-331
0.8891009500378017,all,SLX 1746-331
0.8638477453955942,all,SLX 1746-331
0.8910629209519981,all,SLX 1746-331
0.8841287303135255,all,SLX 1746-331
0.8562350863322741,all,SLX 1746-331
0.9013642512141079,all,SLX 1746-331
0.882380249854281,all,SLX 1746-331
0.8740587405088109,all,SLX 1746-331
0.8743301538102217,all,SLX 1746-331
0.8497716714185144,all,SLX 1746-331
0.8889000489944705,all,SLX 1746-331
0.8839278581086859,all,SLX 1746-331
0.8770887980150036,all,SLX 1746-331
0.8991772781117751,all,SLX 1746-331
0.8592421147150623,all,SLX 1746-331
0.8710484128544858,all,SLX 1746-331
0.8672498761785942,all,SLX 1746-331
0.8758180753034267,all,SLX 1746-331
0.8810120503788583,all,SLX 1746-331
0.8864502028571704,all,SLX 1746-331
0.8747953982034232,all,SLX 1746-331
0.8668396639726766,all,SLX 1746-331
0.9052901042465566,all,SLX 1746-331
0.9161746028768285,all,SLX 1746-331
0.8821493000782303,all,SLX 1746-331
0.868648294494687,all,SLX 1746-331
0.9021318119656344,all,SLX 1746-331
0.858298643405073,all,SLX 1746-331
0.8749784001294276,all,SLX 1746-331
0.8695582442298054,all,SLX 1746-331
0.8626069667432427,all,SLX 1746-331
0.8757996365061734,all,SLX 1746-331
0.8670374188123905,all,SLX 1746-331
0.8801898169622299,all,SLX 1746-331
0.880407657515087,all,SLX 1746-331
0.8706800241471703,all,SLX 1746-331
0.874442299651092,all,SLX 1746-331
0.8765372654814444,all,SLX 1746-331
0.8921476909167914,all,SLX 1746-331
0.8777735589840372,all,SLX 1746-331
0.8923705261117915,all,SLX 1746-331
0.8887871947533198,all,SLX 1746-331
0.8885729604535111,all,SLX 1746-331
0.9008176895551896,all,SLX 1746-331
0.8632091368038114,all,SLX 1746-331
0.8729022534053933,all,SLX 1746-331
0.9064494820044935,all,SLX 1746-331
0.876140252491161,all,SLX 1746-331
0.8377731446514123,all,SLX 1746-331
0.8769554748527817,all,SLX 1746-331
0.8820240929524488,all,SLX 1746-331
0.8407433032385319,all,SLX 1746-331
0.9000090345983193,all,SLX 1746-331
0.869294313042016,all,SLX 1746-331
0.8849284467278128,all,SLX 1746-331
0.876610276819839,all,SLX 1746-331
0.8606747287119394,all,SLX 1746-331
0.8639423779804687,all,SLX 1746-331
0.8659737574535868,all,SLX 1746-331
0.8962850786377545,all,SLX 1746-331
0.8777869271784977,all,SLX 1746-331
0.8721720172517238,all,SLX 1746-331
0.8659808663111466,all,SLX 1746-331
0.8979422533228919,all,SLX 1746-331
0.9019630190878538,all,SLX 1746-331
0.8977711584806002,all,SLX 1746-331
0.8873865600873125,all,SLX 1746-331
0.8843474506280606,all,SLX 1746-331
0.8617609327303615,all,SLX 1746-331
0.8763127130993341,all,SLX 1746-331
0.8697420969498034,all,SLX 1746-331
0.8526173183652294,all,SLX 1746-331
0.8958556512874805,all,SLX 1746-331
0.8695625508041159,all,SLX 1746-331
0.8979391286115296,all,SLX 1746-331
0.8932261960114002,all,SLX 1746-331
0.8883507696495013,all,SLX 1746-331
0.8891932610764478,all,SLX 1746-331
0.8707702917688944,all,SLX 1746-331
0.90786775226936,all,SLX 1746-331
0.8806468814642957,all,SLX 1746-331
0.8845289752767805,all,SLX 1746-331
0.8702638549965004,all,SLX 1746-331
0.8660325210883456,all,SLX 1746-331
0.8871594401321413,all,SLX 1746-331
0.8832627024390818,all,SLX 1746-331
0.8681597145114613,all,SLX 1746-331
0.858423599218369,all,SLX 1746-331
0.8609511536900868,all,SLX 1746-331
0.8979420057563666,all,SLX 1746-331
0.8708011927802489,all,SLX 1746-331
0.8749163718148625,all,SLX 1746-331
0.9017551038813859,all,SLX 1746-331
0.8631677415777038,all,SLX 1746-331
0.8690950776142442,all,SLX 1746-331
0.8684684975715896,all,SLX 1746-331
0.9042710272174906,all,SLX 1746-331
0.9099007525087363,all,SLX 1746-331
0.8912734483810326,all,SLX 1746-331
0.8917507708623136,all,SLX 1746-331
0.871294674957209,all,SLX 1746-331
0.9092099273035642,all,SLX 1746-331
0.8840154438153799,all,SLX 1746-331
0.8927966539667461,all,SLX 1746-331
0.8784171259184357,all,SLX 1746-331
0.8759795111900859,all,SLX 1746-331
0.9049456338939418,all,SLX 1746-331
0.8880958551960746,all,SLX 1746-331
0.9017706319160558,all,SLX 1746-331
0.8838299225761757,all,SLX 1746-331
0.8672745019536536,all,SLX 1746-331
0.8712498560068227,all,SLX 1746-331
0.8815444786369692,all,SLX 1746-331
0.8706024967593501,all,SLX 1746-331
0.8633880788705847,all,SLX 1746-331
0.8980212554768053,all,SLX 1746-331
0.8718269489376473,all,SLX 1746-331
0.8820728912168698,all,SLX 1746-331
0.8844420038482841,all,SLX 1746-331
0.8711777031201915,all,SLX 1746-331
0.9017619919946311,all,SLX 1746-331
0.8632428735819309,all,SLX 1746-331
0.8839243789537116,all,SLX 1746-331
0.8836917655956488,all,SLX 1746-331
0.8791861809570378,all,SLX 1746-331
0.8605463108009203,all,SLX 1746-331
0.893062263277952,all,SLX 1746-331
0.8911526600550189,all,SLX 1746-331
0.8698664720711318,all,SLX 1746-331
0.8906123081080805,all,SLX 1746-331
0.8856236152945116,all,SLX 1746-331
0.8607908178195833,all,SLX 1746-331
0.8671910662814296,all,SLX 1746-331
0.8970742216733437,all,SLX 1746-331
