模拟值,模拟类型,源
0.8931896093906346,combining,SLX 1746-331
0.880589637981152,combining,SLX 1746-331
0.8663151172890047,combining,SLX 1746-331
0.8730625127020004,combining,SLX 1746-331
0.8851428019867247,combining,SLX 1746-331
0.9072769656757239,combining,SLX 1746-331
0.8727397056520558,combining,SLX 1746-331
0.8920718116529109,combining,SLX 1746-331
0.8750791532398486,combining,SLX 1746-331
0.881657031338292,combining,SLX 1746-331
0.9027309512389539,combining,SLX 1746-331
0.8914643887213065,combining,SLX 1746-331
0.8613805109088857,combining,SLX 1746-331
0.8714128746428261,combining,SLX 1746-331
0.8988433201666204,combining,SLX 1746-331
0.8821281706394274,combining,SLX 1746-331
0.8627673982057621,combining,SLX 1746-331
0.8677157133253942,combining,SLX 1746-331
0.8905524028406676,combining,SLX 1746-331
0.8949161542182644,combining,SLX 1746-331
0.8802678295222326,combining,SLX 1746-331
0.9171297070140415,combining,SLX 1746-331
0.8923622854518346,combining,SLX 1746-331
0.8763477839555065,combining,SLX 1746-331
0.8677644092785098,combining,SLX 1746-331
0.8653767354304144,combining,SLX 1746-331
0.8850313198072055,combining,SLX 1746-331
0.8726683443262989,combining,SLX 1746-331
0.9051061563097513,combining,SLX 1746-331
0.9019946770437679,combining,SLX 1746-331
0.8894959982124584,combining,SLX 1746-331
0.8623150574056466,combining,SLX 1746-331
0.8699167169117139,combining,SLX 1746-331
0.8988351628861165,combining,SLX 1746-331
0.8715540070030735,combining,SLX 1746-331
0.8968321260087929,combining,SLX 1746-331
0.8871190588455214,combining,SLX 1746-331
0.8807757682721978,combining,SLX 1746-331
0.8694575078059684,combining,SLX 1746-331
0.8785863423471287,combining,SLX 1746-331
0.8828447193231235,combining,SLX 1746-331
0.8954880834745168,combining,SLX 1746-331
0.8667139659904937,combining,SLX 1746-331
0.8760577473621083,combining,SLX 1746-331
0.8806723469789842,combining,SLX 1746-331
0.8899401753652925,combining,SLX 1746-331
0.8663730349371583,combining,SLX 1746-331
0.8602514531066918,combining,SLX 1746-331
0.8901094772756507,combining,SLX 1746-331
0.8572307632757995,combining,SLX 1746-331
0.8992746957214325,combining,SLX 1746-331
0.8776611085377564,combining,SLX 1746-331
0.8567870337658833,combining,SLX 1746-331
0.8727936967089476,combining,SLX 1746-331
0.8856868544960386,combining,SLX 1746-331
0.8720094836866753,combining,SLX 1746-331
0.8803004462323653,combining,SLX 1746-331
0.8911011754855793,combining,SLX 1746-331
0.8769671449691857,combining,SLX 1746-331
0.865944134853008,combining,SLX 1746-331
0.8755152400394224,combining,SLX 1746-331
0.9012226020468889,combining,SLX 1746-331
0.9052759651799978,combining,SLX 1746-331
0.8497011073908659,combining,SLX 1746-331
0.8963654186378721,combining,SLX 1746-331
0.8837522157405303,combining,SLX 1746-331
0.8938597401868023,combining,SLX 1746-331
0.8717426760959855,combining,SLX 1746-331
0.8534760473574777,combining,SLX 1746-331
0.8887673318297119,combining,SLX 1746-331
0.8658853410807592,combining,SLX 1746-331
0.8591756135277272,combining,SLX 1746-331
0.8602239792628981,combining,SLX 1746-331
0.88901370673623,combining,SLX 1746-331
0.882091786990438,combining,SLX 1746-331
0.8917369903281201,combining,SLX 1746-331
0.8900361288174454,combining,SLX 1746-331
0.8736859965312436,combining,SLX 1746-331
0.8789428963918382,combining,SLX 1746-331
0.8723284370682619,combining,SLX 1746-331
0.8768450834070176,combining,SLX 1746-331
0.865491178930284,combining,SLX 1746-331
0.8858572644081151,combining,SLX 1746-331
0.8961268112347264,combining,SLX 1746-331
0.8677508045526852,combining,SLX 1746-331
0.8992190446810201,combining,SLX 1746-331
0.8817028224471691,combining,SLX 1746-331
0.8836161846460872,combining,SLX 1746-331
0.8545085572058873,combining,SLX 1746-331
0.852891065356514,combining,SLX 1746-331
0.8821617454416952,combining,SLX 1746-331
0.8918459818694802,combining,SLX 1746-331
0.8699292933453258,combining,SLX 1746-331
0.9050514085087463,combining,SLX 1746-331
0.8910240396138147,combining,SLX 1746-331
0.8663748812243802,combining,SLX 1746-331
0.8804627300058027,combining,SLX 1746-331
0.9171539370058512,combining,SLX 1746-331
0.8613615399580045,combining,SLX 1746-331
0.8879240490837266,combining,SLX 1746-331
0.8751588317091499,combining,SLX 1746-331
0.8906034443637777,combining,SLX 1746-331
0.8990091046947757,combining,SLX 1746-331
0.8742064436693295,combining,SLX 1746-331
0.8967836840756076,combining,SLX 1746-331
0.9133180509140795,combining,SLX 1746-331
0.8809941210601635,combining,SLX 1746-331
0.8917733303124128,combining,SLX 1746-331
0.8711433884469508,combining,SLX 1746-331
0.8802888896354681,combining,SLX 1746-331
0.8773498736093763,combining,SLX 1746-331
0.8919540388848789,combining,SLX 1746-331
0.8980701390363539,combining,SLX 1746-331
0.8783551772632381,combining,SLX 1746-331
0.9030043426859938,combining,SLX 1746-331
0.9029507116234244,combining,SLX 1746-331
0.8927028061476985,combining,SLX 1746-331
0.8722596020241741,combining,SLX 1746-331
0.8708225677489014,combining,SLX 1746-331
0.8678142796796494,combining,SLX 1746-331
0.8942374910535724,combining,SLX 1746-331
0.8618234768876596,combining,SLX 1746-331
0.8901525648116652,combining,SLX 1746-331
0.8637833597826383,combining,SLX 1746-331
0.8923531917976296,combining,SLX 1746-331
0.8802582937409584,combining,SLX 1746-331
0.9000045784278974,combining,SLX 1746-331
0.8971218186748191,combining,SLX 1746-331
0.9015259811800317,combining,SLX 1746-331
0.9019122807743367,combining,SLX 1746-331
0.882154462509823,combining,SLX 1746-331
