模拟值,模拟类型,源
0.8456973035062321,reflection,SLX 1746-331
0.8490203228877907,reflection,SLX 1746-331
0.8519288463576274,reflection,SLX 1746-331
0.8784058438493854,reflection,SLX 1746-331
0.8275834807453977,reflection,SLX 1746-331
0.8246095902546202,reflection,SLX 1746-331
0.8870985922642892,reflection,SLX 1746-331
0.836120657743561,reflection,SLX 1746-331
0.812108939392688,reflection,SLX 1746-331
0.8354461017370038,reflection,SLX 1746-331
0.8400984179426799,reflection,SLX 1746-331
0.8966488818317729,reflection,SLX 1746-331
0.877744786371302,reflection,SLX 1746-331
0.8844256184989673,reflection,SLX 1746-331
0.8745992092704036,reflection,SLX 1746-331
0.8783873101484594,reflection,SLX 1746-331
0.8293575362025905,reflection,SLX 1746-331
0.8440419353393954,reflection,SLX 1746-331
0.8203025406092935,reflection,SLX 1746-331
0.843685359083889,reflection,SLX 1746-331
0.8705231497280422,reflection,SLX 1746-331
0.8540374985443674,reflection,SLX 1746-331
0.8893444245688088,reflection,SLX 1746-331
0.8157575262331834,reflection,SLX 1746-331
0.8650071505209471,reflection,SLX 1746-331
0.8125509159439205,reflection,SLX 1746-331
0.8528252940752092,reflection,SLX 1746-331
0.8722100026766944,reflection,SLX 1746-331
0.8435649229952734,reflection,SLX 1746-331
0.8665337981226087,reflection,SLX 1746-331
0.821208029955012,reflection,SLX 1746-331
0.8000893006541085,reflection,SLX 1746-331
0.8667108886746341,reflection,SLX 1746-331
0.902320307022272,reflection,SLX 1746-331
0.8201186517949032,reflection,SLX 1746-331
0.8866658254032038,reflection,SLX 1746-331
0.8513027022644923,reflection,SLX 1746-331
0.8099292543492077,reflection,SLX 1746-331
0.8160548409594351,reflection,SLX 1746-331
0.8504735432008195,reflection,SLX 1746-331
0.8378661313622768,reflection,SLX 1746-331
0.8106126106972528,reflection,SLX 1746-331
0.7991788215632378,reflection,SLX 1746-331
0.8245984201622047,reflection,SLX 1746-331
0.8558142702499335,reflection,SLX 1746-331
0.8498079774219058,reflection,SLX 1746-331
0.8349628612749976,reflection,SLX 1746-331
0.8560566158287445,reflection,SLX 1746-331
0.8812008015958807,reflection,SLX 1746-331
0.8618237953130244,reflection,SLX 1746-331
0.8463607398583125,reflection,SLX 1746-331
0.8778421601998206,reflection,SLX 1746-331
0.8212044909335111,reflection,SLX 1746-331
0.8432524138133395,reflection,SLX 1746-331
0.843967361931989,reflection,SLX 1746-331
0.8128914022467146,reflection,SLX 1746-331
0.8374037751314692,reflection,SLX 1746-331
0.7877512095731409,reflection,SLX 1746-331
0.9073653414298886,reflection,SLX 1746-331
0.8218775863469105,reflection,SLX 1746-331
0.8975834239426393,reflection,SLX 1746-331
0.8511425351715848,reflection,SLX 1746-331
0.8669459239646787,reflection,SLX 1746-331
0.835336006049472,reflection,SLX 1746-331
0.8562378907588503,reflection,SLX 1746-331
0.869514689199653,reflection,SLX 1746-331
0.8699365724318254,reflection,SLX 1746-331
0.8732432017022307,reflection,SLX 1746-331
0.8389500186988247,reflection,SLX 1746-331
0.8355892098252593,reflection,SLX 1746-331
0.8021747102419718,reflection,SLX 1746-331
0.8656965703353081,reflection,SLX 1746-331
0.8824713613397033,reflection,SLX 1746-331
0.8984794503975378,reflection,SLX 1746-331
0.8591551790374152,reflection,SLX 1746-331
0.8270056068127429,reflection,SLX 1746-331
0.7990871157013163,reflection,SLX 1746-331
0.8812500019925005,reflection,SLX 1746-331
0.7961117029966739,reflection,SLX 1746-331
0.839781877667687,reflection,SLX 1746-331
0.8432707951616906,reflection,SLX 1746-331
0.8479163458644694,reflection,SLX 1746-331
0.8510740780010752,reflection,SLX 1746-331
0.8541444266910272,reflection,SLX 1746-331
0.7775391021376441,reflection,SLX 1746-331
0.8504396772961038,reflection,SLX 1746-331
0.7831127327766436,reflection,SLX 1746-331
0.8719665421927298,reflection,SLX 1746-331
0.8333462453258916,reflection,SLX 1746-331
0.7852888982432995,reflection,SLX 1746-331
0.8255738596784387,reflection,SLX 1746-331
0.8328977398244604,reflection,SLX 1746-331
0.8857209885266502,reflection,SLX 1746-331
0.8558991322525074,reflection,SLX 1746-331
0.8603333483305173,reflection,SLX 1746-331
0.885436649026618,reflection,SLX 1746-331
0.8471156713622653,reflection,SLX 1746-331
0.8726256388309721,reflection,SLX 1746-331
0.8705158334179597,reflection,SLX 1746-331
0.8114059151929176,reflection,SLX 1746-331
0.8941895073288949,reflection,SLX 1746-331
0.8073909465978791,reflection,SLX 1746-331
0.8775209994843354,reflection,SLX 1746-331
0.804487808892831,reflection,SLX 1746-331
0.8680371036445502,reflection,SLX 1746-331
0.9058574463445052,reflection,SLX 1746-331
0.8436106403034936,reflection,SLX 1746-331
0.8423093307144056,reflection,SLX 1746-331
0.8683131999795054,reflection,SLX 1746-331
0.8401181063211237,reflection,SLX 1746-331
0.9045483611122846,reflection,SLX 1746-331
0.8557657674837609,reflection,SLX 1746-331
0.8403949147533782,reflection,SLX 1746-331
0.8337914341631295,reflection,SLX 1746-331
0.8220115458948094,reflection,SLX 1746-331
0.8311673503972753,reflection,SLX 1746-331
0.8394797981902421,reflection,SLX 1746-331
0.8353708277950426,reflection,SLX 1746-331
0.8302547417758869,reflection,SLX 1746-331
0.9129652369105732,reflection,SLX 1746-331
0.8190971477053153,reflection,SLX 1746-331
0.8543989776293852,reflection,SLX 1746-331
0.8677756302928261,reflection,SLX 1746-331
0.868903239867512,reflection,SLX 1746-331
0.8482417877265258,reflection,SLX 1746-331
0.8427789228445807,reflection,SLX 1746-331
0.8635464247371851,reflection,SLX 1746-331
