模拟值,模拟类型,源
0.9913895037613304,all,Swift J151857.0-572147
0.6269489890027865,all,Swift J151857.0-572147
0.4304952914097957,all,Swift J151857.0-572147
0.5768964779831147,all,Swift J151857.0-572147
0.7862942878141568,all,Swift J151857.0-572147
0.5352399955298023,all,Swift J151857.0-572147
0.42527022208447807,all,Swift J151857.0-572147
0.5384682586253492,all,Swift J151857.0-572147
0.5723282827488563,all,Swift J151857.0-572147
0.4871862200654783,all,Swift J151857.0-572147
0.6887088596880478,all,Swift J151857.0-572147
0.6427515464129584,all,Swift J151857.0-572147
0.7774043123269135,all,Swift J151857.0-572147
0.5858917255865337,all,Swift J151857.0-572147
0.7415000391281178,all,Swift J151857.0-572147
0.5786980269263318,all,Swift J151857.0-572147
0.47991008391964596,all,Swift J151857.0-572147
0.5708320340368804,all,Swift J151857.0-572147
0.40416858569720393,all,Swift J151857.0-572147
0.9321734241973617,all,Swift J151857.0-572147
0.6770874609068304,all,Swift J151857.0-572147
0.5317119319987783,all,Swift J151857.0-572147
0.5964651548462807,all,Swift J151857.0-572147
0.27517808259778925,all,Swift J151857.0-572147
0.8773247498861317,all,Swift J151857.0-572147
0.8621649468532062,all,Swift J151857.0-572147
0.671668995144815,all,Swift J151857.0-572147
0.704516655889828,all,Swift J151857.0-572147
0.45851009957652267,all,Swift J151857.0-572147
0.46977966623461986,all,Swift J151857.0-572147
0.39191909687590154,all,Swift J151857.0-572147
0.6300344467050935,all,Swift J151857.0-572147
0.8194604877542195,all,Swift J151857.0-572147
0.5956017325511365,all,Swift J151857.0-572147
0.7088928536775306,all,Swift J151857.0-572147
0.8067192537085028,all,Swift J151857.0-572147
0.4032643949134041,all,Swift J151857.0-572147
0.9410626409337879,all,Swift J151857.0-572147
0.8343846600518465,all,Swift J151857.0-572147
0.7346533712528661,all,Swift J151857.0-572147
0.7982346522330913,all,Swift J151857.0-572147
0.8055168270076358,all,Swift J151857.0-572147
0.7003591824214209,all,Swift J151857.0-572147
0.8763830826983483,all,Swift J151857.0-572147
0.5848376459642947,all,Swift J151857.0-572147
0.7265807368052868,all,Swift J151857.0-572147
0.8598546341937593,all,Swift J151857.0-572147
0.23786403781082233,all,Swift J151857.0-572147
0.7228843186259944,all,Swift J151857.0-572147
0.76731377165872,all,Swift J151857.0-572147
0.3901915882879114,all,Swift J151857.0-572147
0.6986821133325705,all,Swift J151857.0-572147
0.531975573044256,all,Swift J151857.0-572147
0.7165049736466417,all,Swift J151857.0-572147
0.6402751090563337,all,Swift J151857.0-572147
0.5083191337786046,all,Swift J151857.0-572147
0.8269978678582249,all,Swift J151857.0-572147
0.5901534212816267,all,Swift J151857.0-572147
0.6968443880733454,all,Swift J151857.0-572147
0.8586773816400353,all,Swift J151857.0-572147
0.5129123533706069,all,Swift J151857.0-572147
0.6562476334357883,all,Swift J151857.0-572147
0.5782242925182823,all,Swift J151857.0-572147
0.6128121550966528,all,Swift J151857.0-572147
0.989193207225501,all,Swift J151857.0-572147
0.7258002620308933,all,Swift J151857.0-572147
0.703606864876442,all,Swift J151857.0-572147
0.7362335367593764,all,Swift J151857.0-572147
0.7216902422752822,all,Swift J151857.0-572147
0.37199890145729664,all,Swift J151857.0-572147
1.0,all,Swift J151857.0-572147
0.4280227236035101,all,Swift J151857.0-572147
0.9235521112340737,all,Swift J151857.0-572147
0.750792381578449,all,Swift J151857.0-572147
0.6830207478108431,all,Swift J151857.0-572147
0.6076498287081206,all,Swift J151857.0-572147
1.0,all,Swift J151857.0-572147
0.7486958818270361,all,Swift J151857.0-572147
0.657741650062352,all,Swift J151857.0-572147
0.5720342808008974,all,Swift J151857.0-572147
0.5534520183442018,all,Swift J151857.0-572147
0.6628446813116933,all,Swift J151857.0-572147
0.5107565300925073,all,Swift J151857.0-572147
0.7603459124314357,all,Swift J151857.0-572147
0.5549254330783677,all,Swift J151857.0-572147
0.8107681047391028,all,Swift J151857.0-572147
0.8073010441032494,all,Swift J151857.0-572147
0.6464074697357503,all,Swift J151857.0-572147
0.7449468456275214,all,Swift J151857.0-572147
0.7527064059766537,all,Swift J151857.0-572147
0.42833860058255596,all,Swift J151857.0-572147
0.9234124132413117,all,Swift J151857.0-572147
0.6153597242854911,all,Swift J151857.0-572147
0.7628138945794336,all,Swift J151857.0-572147
0.7671616442131878,all,Swift J151857.0-572147
0.26912175081201173,all,Swift J151857.0-572147
0.5531759748138323,all,Swift J151857.0-572147
0.7852571671660387,all,Swift J151857.0-572147
0.6646491312124565,all,Swift J151857.0-572147
0.7617902471324008,all,Swift J151857.0-572147
0.6693168170240036,all,Swift J151857.0-572147
0.8455541780394875,all,Swift J151857.0-572147
0.6726752527088837,all,Swift J151857.0-572147
0.8757338100009738,all,Swift J151857.0-572147
0.5030955705321332,all,Swift J151857.0-572147
0.6352157892307636,all,Swift J151857.0-572147
0.5630230668697841,all,Swift J151857.0-572147
0.7152385899296512,all,Swift J151857.0-572147
0.6118064685432006,all,Swift J151857.0-572147
0.6194253010004863,all,Swift J151857.0-572147
0.5457612136962118,all,Swift J151857.0-572147
0.5835859948760758,all,Swift J151857.0-572147
0.6534070550929151,all,Swift J151857.0-572147
0.34169150156660827,all,Swift J151857.0-572147
0.2982266023151676,all,Swift J151857.0-572147
0.6641676210576598,all,Swift J151857.0-572147
0.22577763238880105,all,Swift J151857.0-572147
0.625062947094749,all,Swift J151857.0-572147
0.5965396170153618,all,Swift J151857.0-572147
0.7390158698284354,all,Swift J151857.0-572147
0.550837151246951,all,Swift J151857.0-572147
0.8982747892402547,all,Swift J151857.0-572147
0.7864652453507173,all,Swift J151857.0-572147
0.42059442509401535,all,Swift J151857.0-572147
0.610926314591477,all,Swift J151857.0-572147
0.8917136973485007,all,Swift J151857.0-572147
0.5468670546630723,all,Swift J151857.0-572147
0.6468016896210613,all,Swift J151857.0-572147
0.8726397742574905,all,Swift J151857.0-572147
0.5712076795102694,all,Swift J151857.0-572147
0.8290618907128483,all,Swift J151857.0-572147
0.5139500615948891,all,Swift J151857.0-572147
0.20741985322735157,all,Swift J151857.0-572147
0.8454220440482971,all,Swift J151857.0-572147
0.7230039312089087,all,Swift J151857.0-572147
0.7332074626768422,all,Swift J151857.0-572147
0.4855907673476825,all,Swift J151857.0-572147
0.49793034444298623,all,Swift J151857.0-572147
0.8333176605591017,all,Swift J151857.0-572147
0.6926971326476608,all,Swift J151857.0-572147
0.6367943111126473,all,Swift J151857.0-572147
0.6892436326276955,all,Swift J151857.0-572147
0.8888183571519066,all,Swift J151857.0-572147
0.7671716751931483,all,Swift J151857.0-572147
0.5814299944053005,all,Swift J151857.0-572147
0.43745938152639197,all,Swift J151857.0-572147
0.7461483330833067,all,Swift J151857.0-572147
0.5117849583516946,all,Swift J151857.0-572147
0.4717315746690913,all,Swift J151857.0-572147
0.8589411239654805,all,Swift J151857.0-572147
0.7902228907475127,all,Swift J151857.0-572147
0.7147813186354772,all,Swift J151857.0-572147
0.4630484555547264,all,Swift J151857.0-572147
0.9323362394188978,all,Swift J151857.0-572147
0.8144745887809567,all,Swift J151857.0-572147
0.607913231835329,all,Swift J151857.0-572147
0.5751315909850658,all,Swift J151857.0-572147
0.6671659099028849,all,Swift J151857.0-572147
0.5808451066865091,all,Swift J151857.0-572147
0.9978373633016917,all,Swift J151857.0-572147
0.595243101920746,all,Swift J151857.0-572147
0.48947815491126484,all,Swift J151857.0-572147
0.9012044580416271,all,Swift J151857.0-572147
0.5667954158404985,all,Swift J151857.0-572147
0.776896666758093,all,Swift J151857.0-572147
0.7596850789433409,all,Swift J151857.0-572147
0.6459228821655166,all,Swift J151857.0-572147
0.5041855014989821,all,Swift J151857.0-572147
0.6475316463183495,all,Swift J151857.0-572147
0.47367152851850614,all,Swift J151857.0-572147
0.6513237468067801,all,Swift J151857.0-572147
0.774781127301247,all,Swift J151857.0-572147
0.9212559102597597,all,Swift J151857.0-572147
0.4863833870286353,all,Swift J151857.0-572147
0.6161789163806313,all,Swift J151857.0-572147
0.5736542819450815,all,Swift J151857.0-572147
0.6974296035136607,all,Swift J151857.0-572147
0.4191197016718229,all,Swift J151857.0-572147
0.5110572850456302,all,Swift J151857.0-572147
0.3927374334993615,all,Swift J151857.0-572147
0.4320627961969089,all,Swift J151857.0-572147
0.5526321419436268,all,Swift J151857.0-572147
0.9139868049880127,all,Swift J151857.0-572147
0.7088780739245581,all,Swift J151857.0-572147
0.66507436040797,all,Swift J151857.0-572147
0.8637673306244151,all,Swift J151857.0-572147
0.71445767158343,all,Swift J151857.0-572147
0.7290242972665362,all,Swift J151857.0-572147
0.5816812078971308,all,Swift J151857.0-572147
0.5562141048805923,all,Swift J151857.0-572147
0.4517753227916301,all,Swift J151857.0-572147
0.5618311172635843,all,Swift J151857.0-572147
0.611518870814647,all,Swift J151857.0-572147
0.7084314368651227,all,Swift J151857.0-572147
0.6493024456680709,all,Swift J151857.0-572147
0.5984142327905083,all,Swift J151857.0-572147
0.5136901034560039,all,Swift J151857.0-572147
0.7168646552330576,all,Swift J151857.0-572147
0.5778462565097546,all,Swift J151857.0-572147
0.7098384587387584,all,Swift J151857.0-572147
0.3584428230130019,all,Swift J151857.0-572147
0.7071452802603336,all,Swift J151857.0-572147
0.7707705699334171,all,Swift J151857.0-572147
0.7510272832013809,all,Swift J151857.0-572147
0.6245083340706423,all,Swift J151857.0-572147
0.7968743388907785,all,Swift J151857.0-572147
0.4576913731418437,all,Swift J151857.0-572147
0.6411730598929879,all,Swift J151857.0-572147
0.6250236508200917,all,Swift J151857.0-572147
0.8156419518013684,all,Swift J151857.0-572147
0.3418235585686951,all,Swift J151857.0-572147
0.49098989372126856,all,Swift J151857.0-572147
0.9258238753377299,all,Swift J151857.0-572147
0.2782622508040309,all,Swift J151857.0-572147
0.7812357156115626,all,Swift J151857.0-572147
0.546449289730793,all,Swift J151857.0-572147
0.6944789035651455,all,Swift J151857.0-572147
0.8741362725981998,all,Swift J151857.0-572147
0.7004470650172188,all,Swift J151857.0-572147
0.8773526733979577,all,Swift J151857.0-572147
0.5786858769780457,all,Swift J151857.0-572147
0.5991726803443493,all,Swift J151857.0-572147
0.7769605485713974,all,Swift J151857.0-572147
0.5868882786562386,all,Swift J151857.0-572147
0.7475886890608905,all,Swift J151857.0-572147
0.838489653569541,all,Swift J151857.0-572147
0.7895922186145453,all,Swift J151857.0-572147
0.4102687073557798,all,Swift J151857.0-572147
0.6020859795573241,all,Swift J151857.0-572147
0.6986840350284974,all,Swift J151857.0-572147
0.6171965013574443,all,Swift J151857.0-572147
0.6673017320756877,all,Swift J151857.0-572147
0.7007359653617353,all,Swift J151857.0-572147
0.5733819412887767,all,Swift J151857.0-572147
0.6250169735293412,all,Swift J151857.0-572147
0.4719396171589375,all,Swift J151857.0-572147
0.5809345230293652,all,Swift J151857.0-572147
0.41836481657129865,all,Swift J151857.0-572147
0.6730569878323671,all,Swift J151857.0-572147
0.6250505583244248,all,Swift J151857.0-572147
0.5130517421324625,all,Swift J151857.0-572147
0.9317152703684712,all,Swift J151857.0-572147
0.6169612201277397,all,Swift J151857.0-572147
0.6994157063323412,all,Swift J151857.0-572147
0.5560118594489534,all,Swift J151857.0-572147
0.5907760567857185,all,Swift J151857.0-572147
0.7052840879815231,all,Swift J151857.0-572147
0.6035010872799325,all,Swift J151857.0-572147
0.6555120203176815,all,Swift J151857.0-572147
0.780057815379787,all,Swift J151857.0-572147
0.5747059421745779,all,Swift J151857.0-572147
0.44851501659812765,all,Swift J151857.0-572147
0.41842903509984597,all,Swift J151857.0-572147
0.8779580506399638,all,Swift J151857.0-572147
0.7993277385892132,all,Swift J151857.0-572147
0.7566489484140996,all,Swift J151857.0-572147
0.5874118150898381,all,Swift J151857.0-572147
0.44837259829688575,all,Swift J151857.0-572147
0.6112432499080972,all,Swift J151857.0-572147
0.640530072450663,all,Swift J151857.0-572147
0.47960949165417177,all,Swift J151857.0-572147
0.42720327147746395,all,Swift J151857.0-572147
0.3868015460073905,all,Swift J151857.0-572147
0.756895944069296,all,Swift J151857.0-572147
0.4681694611435328,all,Swift J151857.0-572147
0.7029585997109704,all,Swift J151857.0-572147
0.5933410227218765,all,Swift J151857.0-572147
0.7463938758603011,all,Swift J151857.0-572147
0.7070527993551977,all,Swift J151857.0-572147
0.6190497002268507,all,Swift J151857.0-572147
0.6752202809074287,all,Swift J151857.0-572147
0.6378979032016096,all,Swift J151857.0-572147
0.559621191651874,all,Swift J151857.0-572147
0.8069128317459688,all,Swift J151857.0-572147
0.5894235682474903,all,Swift J151857.0-572147
0.6415382273310206,all,Swift J151857.0-572147
0.4356556095530866,all,Swift J151857.0-572147
0.697476913595946,all,Swift J151857.0-572147
0.5603598524424536,all,Swift J151857.0-572147
0.5810884578305252,all,Swift J151857.0-572147
0.5248680665629115,all,Swift J151857.0-572147
0.635780550577306,all,Swift J151857.0-572147
0.34399674466926605,all,Swift J151857.0-572147
0.7607653370015552,all,Swift J151857.0-572147
0.6490069599247197,all,Swift J151857.0-572147
0.5825707318136579,all,Swift J151857.0-572147
0.4150242468024078,all,Swift J151857.0-572147
0.7221253364043955,all,Swift J151857.0-572147
0.5566792281542633,all,Swift J151857.0-572147
0.8574434648884888,all,Swift J151857.0-572147
0.7303794391611163,all,Swift J151857.0-572147
0.8928716317465042,all,Swift J151857.0-572147
0.6762303563222286,all,Swift J151857.0-572147
0.8220625279801341,all,Swift J151857.0-572147
0.7267295120212237,all,Swift J151857.0-572147
0.5850978811084115,all,Swift J151857.0-572147
0.6840175528650408,all,Swift J151857.0-572147
0.525732128698865,all,Swift J151857.0-572147
0.9756608121110276,all,Swift J151857.0-572147
0.639365907995661,all,Swift J151857.0-572147
0.6590625951853909,all,Swift J151857.0-572147
0.7154478085531955,all,Swift J151857.0-572147
0.48652347473090723,all,Swift J151857.0-572147
0.8598125213783192,all,Swift J151857.0-572147
0.4960739196309521,all,Swift J151857.0-572147
0.46102206283398395,all,Swift J151857.0-572147
0.629188778031031,all,Swift J151857.0-572147
0.45670888784261443,all,Swift J151857.0-572147
0.8971007831096633,all,Swift J151857.0-572147
0.6192409931991265,all,Swift J151857.0-572147
0.15571903783473334,all,Swift J151857.0-572147
0.6859920203093816,all,Swift J151857.0-572147
0.7407934279623762,all,Swift J151857.0-572147
0.5896780014995162,all,Swift J151857.0-572147
0.4448365810070127,all,Swift J151857.0-572147
0.6389874124166928,all,Swift J151857.0-572147
0.5803356525798391,all,Swift J151857.0-572147
0.5037863524218494,all,Swift J151857.0-572147
0.4901071141353137,all,Swift J151857.0-572147
0.6792165410852946,all,Swift J151857.0-572147
0.7949683790603966,all,Swift J151857.0-572147
0.72653929488955,all,Swift J151857.0-572147
0.3871603319188011,all,Swift J151857.0-572147
