模拟值,模拟类型,源
0.7963212748632994,continuum-fitting,Swift J151857.0-572147
0.6727010764441977,continuum-fitting,Swift J151857.0-572147
0.7688071842944106,continuum-fitting,Swift J151857.0-572147
0.7598245413268804,continuum-fitting,Swift J151857.0-572147
0.6134664936421764,continuum-fitting,Swift J151857.0-572147
0.6395854209869637,continuum-fitting,Swift J151857.0-572147
0.8020216192997072,continuum-fitting,Swift J151857.0-572147
1.0,continuum-fitting,Swift J151857.0-572147
0.9051591588225844,continuum-fitting,Swift J151857.0-572147
0.5080502704600419,continuum-fitting,Swift J151857.0-572147
0.5086511043315951,continuum-fitting,Swift J151857.0-572147
0.6089426707093951,continuum-fitting,Swift J151857.0-572147
0.7168166274391911,continuum-fitting,Swift J151857.0-572147
0.7082035636856342,continuum-fitting,Swift J151857.0-572147
0.9108476470778193,continuum-fitting,Swift J151857.0-572147
0.9201692619939518,continuum-fitting,Swift J151857.0-572147
0.7009631493506366,continuum-fitting,Swift J151857.0-572147
0.6612915820186513,continuum-fitting,Swift J151857.0-572147
0.7878468934888918,continuum-fitting,Swift J151857.0-572147
0.8807442244087568,continuum-fitting,Swift J151857.0-572147
0.7939142576961832,continuum-fitting,Swift J151857.0-572147
0.6266372134235795,continuum-fitting,Swift J151857.0-572147
0.595916843509755,continuum-fitting,Swift J151857.0-572147
0.5111973678608268,continuum-fitting,Swift J151857.0-572147
0.7328927640911929,continuum-fitting,Swift J151857.0-572147
0.8059304167143468,continuum-fitting,Swift J151857.0-572147
0.8249236828320077,continuum-fitting,Swift J151857.0-572147
0.8957992628583327,continuum-fitting,Swift J151857.0-572147
0.9516526321125285,continuum-fitting,Swift J151857.0-572147
0.46625583989485275,continuum-fitting,Swift J151857.0-572147
0.7688096136833257,continuum-fitting,Swift J151857.0-572147
0.7746741131947148,continuum-fitting,Swift J151857.0-572147
0.6874291105689395,continuum-fitting,Swift J151857.0-572147
0.5591814231094727,continuum-fitting,Swift J151857.0-572147
0.9455870719052509,continuum-fitting,Swift J151857.0-572147
0.599937913121936,continuum-fitting,Swift J151857.0-572147
0.32726329389640035,continuum-fitting,Swift J151857.0-572147
0.7034122884687398,continuum-fitting,Swift J151857.0-572147
0.6595631766294209,continuum-fitting,Swift J151857.0-572147
1.0,continuum-fitting,Swift J151857.0-572147
0.7832479722129375,continuum-fitting,Swift J151857.0-572147
0.6481053330386904,continuum-fitting,Swift J151857.0-572147
0.6665346346331773,continuum-fitting,Swift J151857.0-572147
0.6645714036675823,continuum-fitting,Swift J151857.0-572147
1.0,continuum-fitting,Swift J151857.0-572147
0.8148322575834335,continuum-fitting,Swift J151857.0-572147
0.4607827707134181,continuum-fitting,Swift J151857.0-572147
0.6584452088228325,continuum-fitting,Swift J151857.0-572147
0.6959824838399135,continuum-fitting,Swift J151857.0-572147
0.5117134054110742,continuum-fitting,Swift J151857.0-572147
0.39689757226799466,continuum-fitting,Swift J151857.0-572147
0.8012457749037636,continuum-fitting,Swift J151857.0-572147
0.5632123907245563,continuum-fitting,Swift J151857.0-572147
0.9122911751551969,continuum-fitting,Swift J151857.0-572147
0.7013930535433318,continuum-fitting,Swift J151857.0-572147
0.6193743005555049,continuum-fitting,Swift J151857.0-572147
0.2891552794752487,continuum-fitting,Swift J151857.0-572147
0.9077940344367483,continuum-fitting,Swift J151857.0-572147
0.7498995615497013,continuum-fitting,Swift J151857.0-572147
0.6238068978010484,continuum-fitting,Swift J151857.0-572147
0.5486504641113655,continuum-fitting,Swift J151857.0-572147
0.9718455055353133,continuum-fitting,Swift J151857.0-572147
0.5190826508856144,continuum-fitting,Swift J151857.0-572147
0.637329932088549,continuum-fitting,Swift J151857.0-572147
0.7968566673497006,continuum-fitting,Swift J151857.0-572147
0.9466303288039736,continuum-fitting,Swift J151857.0-572147
0.6632256498035773,continuum-fitting,Swift J151857.0-572147
0.5750811143804677,continuum-fitting,Swift J151857.0-572147
0.6818543345455959,continuum-fitting,Swift J151857.0-572147
0.8537600127027472,continuum-fitting,Swift J151857.0-572147
0.8919971304947444,continuum-fitting,Swift J151857.0-572147
