模拟值,模拟类型,源
0.7966851564287307,reflection,Swift J151857.0-572147
0.9067955139749135,reflection,Swift J151857.0-572147
0.7085551770488437,reflection,Swift J151857.0-572147
0.6154562511984626,reflection,Swift J151857.0-572147
0.4896576532606196,reflection,Swift J151857.0-572147
0.6375601508179397,reflection,Swift J151857.0-572147
0.686484580785836,reflection,Swift J151857.0-572147
0.42822382872015463,reflection,Swift J151857.0-572147
0.7978283039185523,reflection,Swift J151857.0-572147
0.5892933305721578,reflection,Swift J151857.0-572147
0.7885194553706861,reflection,Swift J151857.0-572147
0.6533074058820975,reflection,Swift J151857.0-572147
0.7010685873975326,reflection,Swift J151857.0-572147
0.5461978724373974,reflection,Swift J151857.0-572147
0.6015846306986053,reflection,Swift J151857.0-572147
0.7545165291211033,reflection,Swift J151857.0-572147
0.634617773615552,reflection,Swift J151857.0-572147
0.4837290275669388,reflection,Swift J151857.0-572147
0.6722939785331035,reflection,Swift J151857.0-572147
0.7147796276099522,reflection,Swift J151857.0-572147
0.8677977214791648,reflection,Swift J151857.0-572147
0.8336457566422182,reflection,Swift J151857.0-572147
0.6449814903151504,reflection,Swift J151857.0-572147
0.570163049477042,reflection,Swift J151857.0-572147
0.6196132830989379,reflection,Swift J151857.0-572147
0.5738213063564218,reflection,Swift J151857.0-572147
0.7334549899841117,reflection,Swift J151857.0-572147
0.8164580940054258,reflection,Swift J151857.0-572147
0.8471743256905838,reflection,Swift J151857.0-572147
0.5911079998628619,reflection,Swift J151857.0-572147
0.5756359080908117,reflection,Swift J151857.0-572147
0.5898388641934122,reflection,Swift J151857.0-572147
0.3555342727366454,reflection,Swift J151857.0-572147
0.4685640844252277,reflection,Swift J151857.0-572147
0.649644284079504,reflection,Swift J151857.0-572147
0.7137871197688153,reflection,Swift J151857.0-572147
0.7311318239717947,reflection,Swift J151857.0-572147
0.5340233646100672,reflection,Swift J151857.0-572147
0.5788779270880001,reflection,Swift J151857.0-572147
0.6132269099708836,reflection,Swift J151857.0-572147
0.5959254856804883,reflection,Swift J151857.0-572147
0.7616427467030229,reflection,Swift J151857.0-572147
0.4522330129559011,reflection,Swift J151857.0-572147
0.47685918121834403,reflection,Swift J151857.0-572147
0.6087425291746459,reflection,Swift J151857.0-572147
0.4433314259826605,reflection,Swift J151857.0-572147
0.3604271067617175,reflection,Swift J151857.0-572147
0.42351104025893804,reflection,Swift J151857.0-572147
0.6173792387904412,reflection,Swift J151857.0-572147
0.7527322765304487,reflection,Swift J151857.0-572147
0.755961812830888,reflection,Swift J151857.0-572147
0.9011268920435592,reflection,Swift J151857.0-572147
0.6707580932234833,reflection,Swift J151857.0-572147
0.6916110794109683,reflection,Swift J151857.0-572147
0.6161869092606066,reflection,Swift J151857.0-572147
0.6237168978109187,reflection,Swift J151857.0-572147
0.977484526397258,reflection,Swift J151857.0-572147
0.69550947277453,reflection,Swift J151857.0-572147
0.7089825117095889,reflection,Swift J151857.0-572147
0.47750728304787027,reflection,Swift J151857.0-572147
0.7186154526102856,reflection,Swift J151857.0-572147
0.757041456795137,reflection,Swift J151857.0-572147
0.8270980698303692,reflection,Swift J151857.0-572147
0.7526631013597328,reflection,Swift J151857.0-572147
0.6353555746469826,reflection,Swift J151857.0-572147
0.6287393865062026,reflection,Swift J151857.0-572147
0.6438274947908201,reflection,Swift J151857.0-572147
0.67161399175194,reflection,Swift J151857.0-572147
0.8514858183249576,reflection,Swift J151857.0-572147
0.8212591301261871,reflection,Swift J151857.0-572147
0.771701197827496,reflection,Swift J151857.0-572147
0.9695275469728962,reflection,Swift J151857.0-572147
0.24328305183209203,reflection,Swift J151857.0-572147
0.5836909209794653,reflection,Swift J151857.0-572147
0.6532527440372706,reflection,Swift J151857.0-572147
0.5508044315360492,reflection,Swift J151857.0-572147
0.5108886376788794,reflection,Swift J151857.0-572147
0.38884025574370296,reflection,Swift J151857.0-572147
0.6067440651269393,reflection,Swift J151857.0-572147
0.7935741933454838,reflection,Swift J151857.0-572147
0.7749601330571624,reflection,Swift J151857.0-572147
0.5384198676326912,reflection,Swift J151857.0-572147
0.6891379871724115,reflection,Swift J151857.0-572147
0.8654279713584943,reflection,Swift J151857.0-572147
0.41938960797148894,reflection,Swift J151857.0-572147
0.6303804230422579,reflection,Swift J151857.0-572147
0.6994069250753856,reflection,Swift J151857.0-572147
0.6565523777057025,reflection,Swift J151857.0-572147
0.7868481760726961,reflection,Swift J151857.0-572147
0.42283696540241084,reflection,Swift J151857.0-572147
0.499098107576401,reflection,Swift J151857.0-572147
0.7607164081178793,reflection,Swift J151857.0-572147
0.3911552705302727,reflection,Swift J151857.0-572147
0.7808240153601579,reflection,Swift J151857.0-572147
0.7247218142159466,reflection,Swift J151857.0-572147
0.7699975596543309,reflection,Swift J151857.0-572147
0.5822601038222459,reflection,Swift J151857.0-572147
0.7340249576905851,reflection,Swift J151857.0-572147
0.47329542662662805,reflection,Swift J151857.0-572147
0.5907517339177205,reflection,Swift J151857.0-572147
0.6606325357430177,reflection,Swift J151857.0-572147
0.515693839193679,reflection,Swift J151857.0-572147
0.6888065645453105,reflection,Swift J151857.0-572147
0.47764787953704385,reflection,Swift J151857.0-572147
0.6966408755244268,reflection,Swift J151857.0-572147
0.9249867971800282,reflection,Swift J151857.0-572147
0.46021682601430947,reflection,Swift J151857.0-572147
0.6515031819772316,reflection,Swift J151857.0-572147
0.4042160360030021,reflection,Swift J151857.0-572147
0.5258921271959853,reflection,Swift J151857.0-572147
0.7638021216196141,reflection,Swift J151857.0-572147
0.5882525667225292,reflection,Swift J151857.0-572147
0.7700735715091118,reflection,Swift J151857.0-572147
0.7101619205948975,reflection,Swift J151857.0-572147
0.6449996679423012,reflection,Swift J151857.0-572147
0.4954410478178627,reflection,Swift J151857.0-572147
0.7612506738671183,reflection,Swift J151857.0-572147
0.7021407279099817,reflection,Swift J151857.0-572147
0.41815373675855,reflection,Swift J151857.0-572147
0.5054985330410856,reflection,Swift J151857.0-572147
0.22580052335953832,reflection,Swift J151857.0-572147
0.4433278450260173,reflection,Swift J151857.0-572147
0.6064266795418422,reflection,Swift J151857.0-572147
0.4913423757461077,reflection,Swift J151857.0-572147
0.5260916776116785,reflection,Swift J151857.0-572147
0.8705383744242454,reflection,Swift J151857.0-572147
0.8144660652259004,reflection,Swift J151857.0-572147
0.5473264308971068,reflection,Swift J151857.0-572147
0.7779983333323899,reflection,Swift J151857.0-572147
0.843305292200147,reflection,Swift J151857.0-572147
0.7508750161957921,reflection,Swift J151857.0-572147
0.7013337598714938,reflection,Swift J151857.0-572147
0.8252400770463528,reflection,Swift J151857.0-572147
0.774275286893399,reflection,Swift J151857.0-572147
0.46697038914860134,reflection,Swift J151857.0-572147
0.6257155006394602,reflection,Swift J151857.0-572147
0.5694292924357703,reflection,Swift J151857.0-572147
0.8336333900086973,reflection,Swift J151857.0-572147
0.5650345821282591,reflection,Swift J151857.0-572147
0.5384113294469742,reflection,Swift J151857.0-572147
0.8141357215431041,reflection,Swift J151857.0-572147
0.6952490074694244,reflection,Swift J151857.0-572147
0.9823262643479044,reflection,Swift J151857.0-572147
0.5213525639649995,reflection,Swift J151857.0-572147
0.5745804309327701,reflection,Swift J151857.0-572147
0.8289049993013129,reflection,Swift J151857.0-572147
0.4567394424545417,reflection,Swift J151857.0-572147
0.8595523154785126,reflection,Swift J151857.0-572147
0.4678444157613914,reflection,Swift J151857.0-572147
0.7495846522977103,reflection,Swift J151857.0-572147
0.36932709089788196,reflection,Swift J151857.0-572147
0.6619951251981885,reflection,Swift J151857.0-572147
0.44272277414535155,reflection,Swift J151857.0-572147
0.9535726617367806,reflection,Swift J151857.0-572147
0.48889727051669524,reflection,Swift J151857.0-572147
0.5265271636079695,reflection,Swift J151857.0-572147
0.7379910232269453,reflection,Swift J151857.0-572147
0.5618515675210056,reflection,Swift J151857.0-572147
0.7634927703379762,reflection,Swift J151857.0-572147
0.5448120223068029,reflection,Swift J151857.0-572147
0.532867601726604,reflection,Swift J151857.0-572147
0.6507284005575151,reflection,Swift J151857.0-572147
0.4663757714211779,reflection,Swift J151857.0-572147
0.71643678652346,reflection,Swift J151857.0-572147
0.7909812705798122,reflection,Swift J151857.0-572147
0.7407144791988278,reflection,Swift J151857.0-572147
0.7547085350636294,reflection,Swift J151857.0-572147
0.3566474409053733,reflection,Swift J151857.0-572147
0.5834445993918461,reflection,Swift J151857.0-572147
0.6198048993252246,reflection,Swift J151857.0-572147
0.8804401641283179,reflection,Swift J151857.0-572147
0.5648973548073062,reflection,Swift J151857.0-572147
0.29823115361752484,reflection,Swift J151857.0-572147
0.49938472641549203,reflection,Swift J151857.0-572147
0.5525150513048925,reflection,Swift J151857.0-572147
0.32074526924121366,reflection,Swift J151857.0-572147
0.8051488907094106,reflection,Swift J151857.0-572147
0.411715095011316,reflection,Swift J151857.0-572147
0.7241333399759737,reflection,Swift J151857.0-572147
0.4856785075170371,reflection,Swift J151857.0-572147
0.888582576932287,reflection,Swift J151857.0-572147
0.612196176844386,reflection,Swift J151857.0-572147
0.5807376935392587,reflection,Swift J151857.0-572147
0.7368794392317821,reflection,Swift J151857.0-572147
0.49886842489928507,reflection,Swift J151857.0-572147
0.7442097034536012,reflection,Swift J151857.0-572147
0.5803413631503437,reflection,Swift J151857.0-572147
0.5628367137754405,reflection,Swift J151857.0-572147
0.6414268499059882,reflection,Swift J151857.0-572147
0.48610108242206584,reflection,Swift J151857.0-572147
0.6254117888890665,reflection,Swift J151857.0-572147
0.707620182304004,reflection,Swift J151857.0-572147
0.2971450831987469,reflection,Swift J151857.0-572147
0.824152667078328,reflection,Swift J151857.0-572147
0.7814766101698244,reflection,Swift J151857.0-572147
0.3675405379422124,reflection,Swift J151857.0-572147
0.34338299416825957,reflection,Swift J151857.0-572147
0.7854955269681853,reflection,Swift J151857.0-572147
0.7735004308199885,reflection,Swift J151857.0-572147
0.7515703868686661,reflection,Swift J151857.0-572147
0.4338268104571407,reflection,Swift J151857.0-572147
0.9384395446802398,reflection,Swift J151857.0-572147
0.5379748656435932,reflection,Swift J151857.0-572147
0.6921188638578287,reflection,Swift J151857.0-572147
0.6940257483850197,reflection,Swift J151857.0-572147
0.9019043286835903,reflection,Swift J151857.0-572147
0.6744009314912803,reflection,Swift J151857.0-572147
0.7194554101295523,reflection,Swift J151857.0-572147
0.6430454889946172,reflection,Swift J151857.0-572147
0.46952709474968685,reflection,Swift J151857.0-572147
0.295607607552268,reflection,Swift J151857.0-572147
0.6600498805930676,reflection,Swift J151857.0-572147
0.4360837209702093,reflection,Swift J151857.0-572147
0.7092774683736501,reflection,Swift J151857.0-572147
0.6780562635135442,reflection,Swift J151857.0-572147
0.6742872228873409,reflection,Swift J151857.0-572147
0.4917966839833179,reflection,Swift J151857.0-572147
0.8156643318360118,reflection,Swift J151857.0-572147
0.7285895200705903,reflection,Swift J151857.0-572147
0.4718365336249897,reflection,Swift J151857.0-572147
0.975624875507951,reflection,Swift J151857.0-572147
0.6223273457743548,reflection,Swift J151857.0-572147
0.4481855923978849,reflection,Swift J151857.0-572147
0.5374554424394167,reflection,Swift J151857.0-572147
0.42112191645717595,reflection,Swift J151857.0-572147
0.8657111722414701,reflection,Swift J151857.0-572147
0.822469490658524,reflection,Swift J151857.0-572147
0.7696193340841374,reflection,Swift J151857.0-572147
0.7404269947871919,reflection,Swift J151857.0-572147
0.8484930349265377,reflection,Swift J151857.0-572147
0.6174908970745996,reflection,Swift J151857.0-572147
0.7205126322392537,reflection,Swift J151857.0-572147
0.5291568127904803,reflection,Swift J151857.0-572147
0.6312154743716233,reflection,Swift J151857.0-572147
0.7247619618409454,reflection,Swift J151857.0-572147
0.177422862314629,reflection,Swift J151857.0-572147
0.558944829776619,reflection,Swift J151857.0-572147
0.6805730066649984,reflection,Swift J151857.0-572147
0.642985009779087,reflection,Swift J151857.0-572147
0.5848785695094428,reflection,Swift J151857.0-572147
0.746318550515159,reflection,Swift J151857.0-572147
0.5453045821527516,reflection,Swift J151857.0-572147
0.4656043437020868,reflection,Swift J151857.0-572147
0.8384837464748811,reflection,Swift J151857.0-572147
0.8166105215202657,reflection,Swift J151857.0-572147
0.5621318898715931,reflection,Swift J151857.0-572147
0.644352341698562,reflection,Swift J151857.0-572147
0.786128401540342,reflection,Swift J151857.0-572147
0.661825320643266,reflection,Swift J151857.0-572147
0.7371821790650589,reflection,Swift J151857.0-572147
0.7287128530276454,reflection,Swift J151857.0-572147
0.605528616341005,reflection,Swift J151857.0-572147
0.7349682204156179,reflection,Swift J151857.0-572147
0.5054337379661842,reflection,Swift J151857.0-572147
0.7161125193021761,reflection,Swift J151857.0-572147
0.6435148632561907,reflection,Swift J151857.0-572147
0.5990883330531349,reflection,Swift J151857.0-572147
0.4617559402331815,reflection,Swift J151857.0-572147
0.6754071854486746,reflection,Swift J151857.0-572147
0.6609721930367489,reflection,Swift J151857.0-572147
0.5248563483658564,reflection,Swift J151857.0-572147
0.4074848678660863,reflection,Swift J151857.0-572147
0.4001063594021238,reflection,Swift J151857.0-572147
0.6156186866182684,reflection,Swift J151857.0-572147
