模拟值,模拟类型,源
0.547467230865025,all,XTE J1550-564
0.5367483927683849,all,XTE J1550-564
0.33547422544209393,all,XTE J1550-564
0.5856313965910168,all,XTE J1550-564
0.244136358529858,all,XTE J1550-564
0.3820595862495458,all,XTE J1550-564
0.16015051087186172,all,XTE J1550-564
0.7471733752988644,all,XTE J1550-564
0.45179433349902626,all,XTE J1550-564
0.8475358657446914,all,XTE J1550-564
0.6224867378757166,all,XTE J1550-564
0.563936205202919,all,XTE J1550-564
0.39327243044363513,all,XTE J1550-564
0.3173522441115757,all,XTE J1550-564
0.576290309692996,all,XTE J1550-564
0.47820018846995793,all,XTE J1550-564
0.2690203979449253,all,XTE J1550-564
0.23971836127612745,all,XTE J1550-564
0.3318138846913087,all,XTE J1550-564
0.790459592168928,all,XTE J1550-564
0.8551908564718651,all,XTE J1550-564
0.5238232093059701,all,XTE J1550-564
0.5145755613798125,all,XTE J1550-564
0.434507138648129,all,XTE J1550-564
0.3358099175289321,all,XTE J1550-564
0.7169045445051953,all,XTE J1550-564
0.7991401049930275,all,XTE J1550-564
0.3425858508365179,all,XTE J1550-564
0.4763316675599407,all,XTE J1550-564
0.4157720603828223,all,XTE J1550-564
0.42066055264727875,all,XTE J1550-564
0.6856748621459272,all,XTE J1550-564
0.2735263450145899,all,XTE J1550-564
0.5669674990044905,all,XTE J1550-564
0.6101592877054678,all,XTE J1550-564
0.4665450563556998,all,XTE J1550-564
0.6373561914528175,all,XTE J1550-564
0.5143625536886792,all,XTE J1550-564
0.6908264369907585,all,XTE J1550-564
0.23883612468723403,all,XTE J1550-564
0.43245208193386653,all,XTE J1550-564
0.47815083142957926,all,XTE J1550-564
0.04908578156222737,all,XTE J1550-564
0.31081779895954176,all,XTE J1550-564
0.35575612303080023,all,XTE J1550-564
0.6464539891458527,all,XTE J1550-564
0.37337084785809094,all,XTE J1550-564
0.3550169670945138,all,XTE J1550-564
0.6248851538082716,all,XTE J1550-564
0.22304474344464098,all,XTE J1550-564
0.14824472887181056,all,XTE J1550-564
0.43033727048855785,all,XTE J1550-564
0.2511283832670713,all,XTE J1550-564
0.25740291638115786,all,XTE J1550-564
0.584616575628517,all,XTE J1550-564
0.6345356832555755,all,XTE J1550-564
0.6201625956156006,all,XTE J1550-564
0.6729481489506934,all,XTE J1550-564
0.6947871628024422,all,XTE J1550-564
0.13878261554355636,all,XTE J1550-564
0.564317973388362,all,XTE J1550-564
0.4026146470710228,all,XTE J1550-564
0.366674999411578,all,XTE J1550-564
0.5824684143144364,all,XTE J1550-564
0.20450124581720092,all,XTE J1550-564
0.20106708003106716,all,XTE J1550-564
0.5945395027734833,all,XTE J1550-564
0.5704846928892982,all,XTE J1550-564
0.5125608882187992,all,XTE J1550-564
0.3448142882206824,all,XTE J1550-564
0.6127318897060505,all,XTE J1550-564
0.6022499771899785,all,XTE J1550-564
0.50407524498283,all,XTE J1550-564
