模拟值,模拟类型,源
0.8528081113131118,combining,XTE J1550-564
0.54665363248374,combining,XTE J1550-564
0.4514576941741301,combining,XTE J1550-564
0.6512021632642229,combining,XTE J1550-564
0.6289413619623537,combining,XTE J1550-564
0.07439289243849956,combining,XTE J1550-564
0.4895486332449662,combining,XTE J1550-564
0.4248910879880462,combining,XTE J1550-564
0.5554564390997963,combining,XTE J1550-564
0.45804638375152457,combining,XTE J1550-564
0.47594594477528473,combining,XTE J1550-564
0.3475698946889215,combining,XTE J1550-564
0.6111973210400404,combining,XTE J1550-564
0.7630819665423407,combining,XTE J1550-564
0.3501341283795192,combining,XTE J1550-564
0.25948592118074937,combining,XTE J1550-564
0.49330053127153156,combining,XTE J1550-564
0.48527181592918145,combining,XTE J1550-564
0.6832039097098594,combining,XTE J1550-564
0.2871828328575422,combining,XTE J1550-564
0.40123739612102394,combining,XTE J1550-564
0.13562896552096926,combining,XTE J1550-564
0.7168722999749507,combining,XTE J1550-564
0.531339863673355,combining,XTE J1550-564
0.4135335691931685,combining,XTE J1550-564
0.27182520603245586,combining,XTE J1550-564
0.28697145040075356,combining,XTE J1550-564
0.5583540384655795,combining,XTE J1550-564
0.30727486747588284,combining,XTE J1550-564
0.507160894819514,combining,XTE J1550-564
0.8270859020872801,combining,XTE J1550-564
0.4326480422141046,combining,XTE J1550-564
0.33136166674422746,combining,XTE J1550-564
0.5530311888997059,combining,XTE J1550-564
0.287744362771015,combining,XTE J1550-564
0.7737974475043516,combining,XTE J1550-564
0.7215972453071753,combining,XTE J1550-564
0.4629116828726487,combining,XTE J1550-564
0.34194662506500373,combining,XTE J1550-564
0.4197479709920655,combining,XTE J1550-564
0.4412151740059043,combining,XTE J1550-564
0.5532885767316656,combining,XTE J1550-564
0.6615393343346841,combining,XTE J1550-564
0.31897541592483264,combining,XTE J1550-564
0.6568000782815528,combining,XTE J1550-564
0.5919181261138642,combining,XTE J1550-564
0.40621473401690994,combining,XTE J1550-564
0.31069253721329326,combining,XTE J1550-564
0.5091783983532737,combining,XTE J1550-564
0.3151679001891561,combining,XTE J1550-564
0.6589073401118299,combining,XTE J1550-564
0.3045593425981862,combining,XTE J1550-564
0.5803715218719188,combining,XTE J1550-564
0.4766982998055114,combining,XTE J1550-564
0.3974968940780918,combining,XTE J1550-564
0.473032801457317,combining,XTE J1550-564
0.6681972229896433,combining,XTE J1550-564
0.29327752751602465,combining,XTE J1550-564
0.42199416839335024,combining,XTE J1550-564
0.365962311826614,combining,XTE J1550-564
0.4836281729644621,combining,XTE J1550-564
0.37702765273541206,combining,XTE J1550-564
0.19826659500620863,combining,XTE J1550-564
0.3159023047561602,combining,XTE J1550-564
0.7602295780587884,combining,XTE J1550-564
0.5307101548622349,combining,XTE J1550-564
0.5250397388783328,combining,XTE J1550-564
0.4433689556485747,combining,XTE J1550-564
0.48148180502198706,combining,XTE J1550-564
0.41908103273282227,combining,XTE J1550-564
0.5769432076217758,combining,XTE J1550-564
0.5066334609527965,combining,XTE J1550-564
0.2967407453238285,combining,XTE J1550-564
0.5318645430121918,combining,XTE J1550-564
0.08430758266019411,combining,XTE J1550-564
0.5582867679468346,combining,XTE J1550-564
0.25745611862197393,combining,XTE J1550-564
0.47415091078193744,combining,XTE J1550-564
0.29288644547262876,combining,XTE J1550-564
0.490465827922961,combining,XTE J1550-564
0.5854159556805767,combining,XTE J1550-564
0.7379664690661807,combining,XTE J1550-564
0.23567598692310604,combining,XTE J1550-564
0.6509530376857373,combining,XTE J1550-564
0.5116401963872828,combining,XTE J1550-564
0.415639919783937,combining,XTE J1550-564
0.6153763233348108,combining,XTE J1550-564
0.45107239957094086,combining,XTE J1550-564
0.608392535206112,combining,XTE J1550-564
0.32627549733388084,combining,XTE J1550-564
0.38555548967111175,combining,XTE J1550-564
0.6456940087111089,combining,XTE J1550-564
0.7350910863891196,combining,XTE J1550-564
0.48421973663977985,combining,XTE J1550-564
0.03009732731629622,combining,XTE J1550-564
0.45715686836960495,combining,XTE J1550-564
0.4953503094407009,combining,XTE J1550-564
0.4515923928456266,combining,XTE J1550-564
0.5454958626748126,combining,XTE J1550-564
0.41130986194644187,combining,XTE J1550-564
0.6284136920118745,combining,XTE J1550-564
0.29749230999937804,combining,XTE J1550-564
0.6940800367134332,combining,XTE J1550-564
0.7457630059535802,combining,XTE J1550-564
0.3393451432200493,combining,XTE J1550-564
0.33925602877549466,combining,XTE J1550-564
0.5577647267732921,combining,XTE J1550-564
0.29410863239242324,combining,XTE J1550-564
0.40872052626811717,combining,XTE J1550-564
0.6719169478152424,combining,XTE J1550-564
0.6117051161386988,combining,XTE J1550-564
0.8167323963787823,combining,XTE J1550-564
0.5181793843540343,combining,XTE J1550-564
0.3892117296240994,combining,XTE J1550-564
0.49845517942274836,combining,XTE J1550-564
0.4651529239975753,combining,XTE J1550-564
0.4674680769814826,combining,XTE J1550-564
0.48607238816420406,combining,XTE J1550-564
0.336258493040371,combining,XTE J1550-564
0.536565929570156,combining,XTE J1550-564
0.25757056081983243,combining,XTE J1550-564
0.3717236096951611,combining,XTE J1550-564
0.4703850040819301,combining,XTE J1550-564
0.11717370341182737,combining,XTE J1550-564
0.6168836034969114,combining,XTE J1550-564
0.1512295058751616,combining,XTE J1550-564
0.6004819689981994,combining,XTE J1550-564
0.2766864671618532,combining,XTE J1550-564
0.42318841603392254,combining,XTE J1550-564
0.5756565567466558,combining,XTE J1550-564
0.8526930207141146,combining,XTE J1550-564
0.5092145763217126,combining,XTE J1550-564
0.16286665584708115,combining,XTE J1550-564
0.6473596968849027,combining,XTE J1550-564
0.45173346319826196,combining,XTE J1550-564
0.5015345979857059,combining,XTE J1550-564
0.5820473999314564,combining,XTE J1550-564
0.12281263711055712,combining,XTE J1550-564
0.4910785798763073,combining,XTE J1550-564
0.4224005081578052,combining,XTE J1550-564
0.6916027594909107,combining,XTE J1550-564
0.6099737709508926,combining,XTE J1550-564
0.22154468274104466,combining,XTE J1550-564
0.698333265637593,combining,XTE J1550-564
0.5641716395464349,combining,XTE J1550-564
0.23470513642021895,combining,XTE J1550-564
0.49919926207630755,combining,XTE J1550-564
0.6607463087862161,combining,XTE J1550-564
0.28968276102539,combining,XTE J1550-564
0.7173002604144938,combining,XTE J1550-564
0.24041625226895824,combining,XTE J1550-564
0.3594475158532475,combining,XTE J1550-564
0.33442631216070084,combining,XTE J1550-564
0.7171940657121292,combining,XTE J1550-564
0.4089823374693825,combining,XTE J1550-564
0.29813519456093535,combining,XTE J1550-564
0.5634597950208202,combining,XTE J1550-564
0.5990948634477986,combining,XTE J1550-564
0.6001434556410317,combining,XTE J1550-564
0.4452290377377084,combining,XTE J1550-564
0.5319981596710964,combining,XTE J1550-564
0.38271154077216785,combining,XTE J1550-564
0.7663422768593955,combining,XTE J1550-564
0.6787938511785587,combining,XTE J1550-564
0.6686878767917114,combining,XTE J1550-564
0.621029129204635,combining,XTE J1550-564
0.5757559954891752,combining,XTE J1550-564
0.28468019011528495,combining,XTE J1550-564
0.594494703982182,combining,XTE J1550-564
0.5088537629604478,combining,XTE J1550-564
0.6984550740169017,combining,XTE J1550-564
0.6232241650931006,combining,XTE J1550-564
0.5808127775752485,combining,XTE J1550-564
0.21210290840752422,combining,XTE J1550-564
0.47531491145960236,combining,XTE J1550-564
0.3979477771158967,combining,XTE J1550-564
0.5316403774902071,combining,XTE J1550-564
0.4214345352119638,combining,XTE J1550-564
0.4444689469446045,combining,XTE J1550-564
0.5657405943096061,combining,XTE J1550-564
0.41869721126115195,combining,XTE J1550-564
0.510062604029712,combining,XTE J1550-564
0.23929703800573943,combining,XTE J1550-564
0.3526537563345903,combining,XTE J1550-564
0.5982471885884885,combining,XTE J1550-564
0.2870183007450817,combining,XTE J1550-564
0.6955446378044945,combining,XTE J1550-564
0.6507758936247179,combining,XTE J1550-564
0.44574206066893524,combining,XTE J1550-564
0.9847911274079066,combining,XTE J1550-564
0.6951120903449683,combining,XTE J1550-564
0.3333688813935537,combining,XTE J1550-564
0.613118718860508,combining,XTE J1550-564
0.5008674059427599,combining,XTE J1550-564
0.36184250500819715,combining,XTE J1550-564
0.31346499137757555,combining,XTE J1550-564
0.6541574002565825,combining,XTE J1550-564
0.39133899833701796,combining,XTE J1550-564
0.4731904014188864,combining,XTE J1550-564
0.33803072184262284,combining,XTE J1550-564
0.36655394034573247,combining,XTE J1550-564
0.4690566819882071,combining,XTE J1550-564
0.554050078299485,combining,XTE J1550-564
0.06292073801401099,combining,XTE J1550-564
0.49279176686251375,combining,XTE J1550-564
0.3668900329234691,combining,XTE J1550-564
0.7213898378192871,combining,XTE J1550-564
0.9755541865908971,combining,XTE J1550-564
0.4307189592326369,combining,XTE J1550-564
0.2058322874823229,combining,XTE J1550-564
0.5092847000365635,combining,XTE J1550-564
0.4561041606336212,combining,XTE J1550-564
0.8152728570852129,combining,XTE J1550-564
0.7649872416569645,combining,XTE J1550-564
0.6327868701484332,combining,XTE J1550-564
0.3931954765999114,combining,XTE J1550-564
0.6018314834198326,combining,XTE J1550-564
0.5337260492462702,combining,XTE J1550-564
0.5298183285443995,combining,XTE J1550-564
0.23289207498630138,combining,XTE J1550-564
0.6651962308448517,combining,XTE J1550-564
0.5077883741713538,combining,XTE J1550-564
0.47336117765514507,combining,XTE J1550-564
0.3909741783235434,combining,XTE J1550-564
0.3590532775571927,combining,XTE J1550-564
0.542347665911032,combining,XTE J1550-564
0.20138813769341646,combining,XTE J1550-564
0.620267295342257,combining,XTE J1550-564
0.3160726028957119,combining,XTE J1550-564
