模拟值,模拟类型,源
0.6113894044040874,continuum-fitting,XTE J1550-564
0.7098568598667246,continuum-fitting,XTE J1550-564
0.8123014831270853,continuum-fitting,XTE J1550-564
0.7254921165659427,continuum-fitting,XTE J1550-564
0.7951271154904904,continuum-fitting,XTE J1550-564
0.6726308702931997,continuum-fitting,XTE J1550-564
0.6552066514568654,continuum-fitting,XTE J1550-564
0.7879099064228038,continuum-fitting,XTE J1550-564
0.7495412427724951,continuum-fitting,XTE J1550-564
0.6251523193780433,continuum-fitting,XTE J1550-564
0.6559327267069769,continuum-fitting,XTE J1550-564
0.8451664992845931,continuum-fitting,XTE J1550-564
0.6460355824424546,continuum-fitting,XTE J1550-564
0.7947462997380798,continuum-fitting,XTE J1550-564
0.681745064221304,continuum-fitting,XTE J1550-564
0.7197459314586294,continuum-fitting,XTE J1550-564
0.7435674096754697,continuum-fitting,XTE J1550-564
0.5519215031600321,continuum-fitting,XTE J1550-564
0.602982613165816,continuum-fitting,XTE J1550-564
0.726906641502973,continuum-fitting,XTE J1550-564
0.6620553948972896,continuum-fitting,XTE J1550-564
0.7997265036219697,continuum-fitting,XTE J1550-564
0.5915103295305499,continuum-fitting,XTE J1550-564
0.7652204045006389,continuum-fitting,XTE J1550-564
0.6099023023676539,continuum-fitting,XTE J1550-564
0.6918316004684457,continuum-fitting,XTE J1550-564
0.6348497788609628,continuum-fitting,XTE J1550-564
0.8721943904376959,continuum-fitting,XTE J1550-564
0.6128406269623972,continuum-fitting,XTE J1550-564
0.7102352243704781,continuum-fitting,XTE J1550-564
0.5818531081583878,continuum-fitting,XTE J1550-564
0.8479656097656472,continuum-fitting,XTE J1550-564
0.7521025932941764,continuum-fitting,XTE J1550-564
0.7309578471678934,continuum-fitting,XTE J1550-564
0.8379450351433381,continuum-fitting,XTE J1550-564
0.731793795313809,continuum-fitting,XTE J1550-564
0.7375657084912861,continuum-fitting,XTE J1550-564
0.7305380230452121,continuum-fitting,XTE J1550-564
0.7650907460354495,continuum-fitting,XTE J1550-564
