模拟值,模拟类型,源
0.7851113254769001,reflection,XTE J1550-564
0.7598006843834275,reflection,XTE J1550-564
0.7568743294197867,reflection,XTE J1550-564
0.7547764007414589,reflection,XTE J1550-564
0.7637636703719911,reflection,XTE J1550-564
0.7638658258917093,reflection,XTE J1550-564
0.7695062787312651,reflection,XTE J1550-564
0.7507393783565098,reflection,XTE J1550-564
0.7568750512185874,reflection,XTE J1550-564
0.780305457232242,reflection,XTE J1550-564
0.7622459063324999,reflection,XTE J1550-564
0.7582747562667326,reflection,XTE J1550-564
0.750583822344163,reflection,XTE J1550-564
0.7650593430582076,reflection,XTE J1550-564
0.7703101821704245,reflection,XTE J1550-564
0.7687458764580981,reflection,XTE J1550-564
0.7574119913639108,reflection,XTE J1550-564
0.7636125228336353,reflection,XTE J1550-564
0.7767165943664861,reflection,XTE J1550-564
0.7707088229217147,reflection,XTE J1550-564
0.7521583725780668,reflection,XTE J1550-564
0.7345399493537853,reflection,XTE J1550-564
0.7629677250708423,reflection,XTE J1550-564
0.7679856812674843,reflection,XTE J1550-564
0.7491077550812674,reflection,XTE J1550-564
0.7599121047787722,reflection,XTE J1550-564
0.7573630093412692,reflection,XTE J1550-564
0.761042863222322,reflection,XTE J1550-564
0.7545530371288028,reflection,XTE J1550-564
0.7729051099762799,reflection,XTE J1550-564
0.7614796888063277,reflection,XTE J1550-564
0.7512098311383525,reflection,XTE J1550-564
0.7691746215359372,reflection,XTE J1550-564
0.747358124040083,reflection,XTE J1550-564
0.7728449437753513,reflection,XTE J1550-564
0.7699105942422256,reflection,XTE J1550-564
0.7738977529532078,reflection,XTE J1550-564
0.7584175362755838,reflection,XTE J1550-564
0.7550388602021663,reflection,XTE J1550-564
0.760840217609331,reflection,XTE J1550-564
0.7591556321364447,reflection,XTE J1550-564
0.7534726371443649,reflection,XTE J1550-564
0.7544637668587436,reflection,XTE J1550-564
0.7563362715273354,reflection,XTE J1550-564
0.7482999631356014,reflection,XTE J1550-564
0.7667796328959934,reflection,XTE J1550-564
0.7594770286242899,reflection,XTE J1550-564
0.7569162153076635,reflection,XTE J1550-564
0.7488964583905833,reflection,XTE J1550-564
0.7483962702233253,reflection,XTE J1550-564
0.7793591405072241,reflection,XTE J1550-564
0.7537274253713843,reflection,XTE J1550-564
0.7661052839420933,reflection,XTE J1550-564
0.7616263446990018,reflection,XTE J1550-564
0.732248115388919,reflection,XTE J1550-564
0.7779245082313859,reflection,XTE J1550-564
0.7668408397877612,reflection,XTE J1550-564
0.7523232984569519,reflection,XTE J1550-564
0.759716334955704,reflection,XTE J1550-564
0.7485081663259634,reflection,XTE J1550-564
0.7782622047846114,reflection,XTE J1550-564
0.7509234229175854,reflection,XTE J1550-564
0.7547691600330534,reflection,XTE J1550-564
0.7527043892185241,reflection,XTE J1550-564
0.7608037940020917,reflection,XTE J1550-564
0.7737031650013931,reflection,XTE J1550-564
0.7778937444909516,reflection,XTE J1550-564
0.756010038557777,reflection,XTE J1550-564
0.7637825898231793,reflection,XTE J1550-564
0.7608190541260408,reflection,XTE J1550-564
0.7501839073555594,reflection,XTE J1550-564
0.7842255557459594,reflection,XTE J1550-564
0.7736275956229626,reflection,XTE J1550-564
0.7618911584971103,reflection,XTE J1550-564
0.7758187609349899,reflection,XTE J1550-564
0.7721210671271781,reflection,XTE J1550-564
0.7608186134108176,reflection,XTE J1550-564
0.76325963605328,reflection,XTE J1550-564
0.7751212614237666,reflection,XTE J1550-564
0.7505384641887032,reflection,XTE J1550-564
0.7767369069732134,reflection,XTE J1550-564
0.7577488743931489,reflection,XTE J1550-564
0.7752467674284756,reflection,XTE J1550-564
0.7599477340253719,reflection,XTE J1550-564
0.7633760622247298,reflection,XTE J1550-564
0.7596569164342755,reflection,XTE J1550-564
0.7546815637718878,reflection,XTE J1550-564
0.7572994510185569,reflection,XTE J1550-564
0.7737911140316857,reflection,XTE J1550-564
0.7368583601732753,reflection,XTE J1550-564
0.7476103405519516,reflection,XTE J1550-564
0.752745282906419,reflection,XTE J1550-564
0.7492165520756398,reflection,XTE J1550-564
0.7750997961041549,reflection,XTE J1550-564
0.7725767697785321,reflection,XTE J1550-564
0.7659203180939461,reflection,XTE J1550-564
0.7536219593252247,reflection,XTE J1550-564
0.7733505186679414,reflection,XTE J1550-564
0.7441187007400446,reflection,XTE J1550-564
0.7814198264014793,reflection,XTE J1550-564
0.7531537020282245,reflection,XTE J1550-564
0.7573796477815856,reflection,XTE J1550-564
0.7557065614950529,reflection,XTE J1550-564
0.7492689258590133,reflection,XTE J1550-564
0.7792511312393692,reflection,XTE J1550-564
0.7678889463078449,reflection,XTE J1550-564
0.7721547054207979,reflection,XTE J1550-564
0.7477633072793923,reflection,XTE J1550-564
0.76180937827004,reflection,XTE J1550-564
0.765210286893314,reflection,XTE J1550-564
0.7627075652354984,reflection,XTE J1550-564
0.74839626548932,reflection,XTE J1550-564
0.7707550002113064,reflection,XTE J1550-564
0.7612155008278515,reflection,XTE J1550-564
0.75045035964357,reflection,XTE J1550-564
0.7414474946044733,reflection,XTE J1550-564
0.7660666651348988,reflection,XTE J1550-564
0.784504557341315,reflection,XTE J1550-564
0.7498474572665372,reflection,XTE J1550-564
0.7617044705041297,reflection,XTE J1550-564
0.7711049727909158,reflection,XTE J1550-564
0.7473034773389869,reflection,XTE J1550-564
0.7552004323091498,reflection,XTE J1550-564
0.751398412207386,reflection,XTE J1550-564
0.7698467669482455,reflection,XTE J1550-564
0.7732552256935405,reflection,XTE J1550-564
0.7615903626473174,reflection,XTE J1550-564
0.751582659310059,reflection,XTE J1550-564
0.7555720906207215,reflection,XTE J1550-564
0.7536950148575324,reflection,XTE J1550-564
0.75022731138377,reflection,XTE J1550-564
0.7589796179918153,reflection,XTE J1550-564
0.7657482648446187,reflection,XTE J1550-564
0.7649025744442852,reflection,XTE J1550-564
0.7599176763543048,reflection,XTE J1550-564
0.7605705383682536,reflection,XTE J1550-564
0.7591844920491022,reflection,XTE J1550-564
0.7470278846083372,reflection,XTE J1550-564
0.7616013489698288,reflection,XTE J1550-564
0.7541637441454535,reflection,XTE J1550-564
0.7465265678084056,reflection,XTE J1550-564
0.7637070556711558,reflection,XTE J1550-564
0.7538826996358146,reflection,XTE J1550-564
0.7622775392125883,reflection,XTE J1550-564
0.7684763781506943,reflection,XTE J1550-564
0.7504976127885477,reflection,XTE J1550-564
0.7609212128207298,reflection,XTE J1550-564
0.7418957711826963,reflection,XTE J1550-564
0.7753253309060928,reflection,XTE J1550-564
0.7464093350311122,reflection,XTE J1550-564
0.7548518033760263,reflection,XTE J1550-564
0.7733837990376395,reflection,XTE J1550-564
0.7576547707391902,reflection,XTE J1550-564
0.748026023136997,reflection,XTE J1550-564
0.7671307323228653,reflection,XTE J1550-564
0.7669053246215118,reflection,XTE J1550-564
0.7536681366063477,reflection,XTE J1550-564
0.754750734792196,reflection,XTE J1550-564
0.7556459102938191,reflection,XTE J1550-564
0.7579297603931398,reflection,XTE J1550-564
0.7410702892307819,reflection,XTE J1550-564
0.758185761388819,reflection,XTE J1550-564
0.7778391419818315,reflection,XTE J1550-564
0.7510403003276329,reflection,XTE J1550-564
0.7541650640653024,reflection,XTE J1550-564
0.748163823368036,reflection,XTE J1550-564
0.7661216192639535,reflection,XTE J1550-564
0.7720319735814237,reflection,XTE J1550-564
0.7718031783917763,reflection,XTE J1550-564
0.7475198941110635,reflection,XTE J1550-564
0.7649979173049696,reflection,XTE J1550-564
0.7743375003421423,reflection,XTE J1550-564
0.7650966310771012,reflection,XTE J1550-564
0.7647840968334377,reflection,XTE J1550-564
0.7552835742136484,reflection,XTE J1550-564
0.7622010982379367,reflection,XTE J1550-564
0.7723631817970641,reflection,XTE J1550-564
0.7632820896842877,reflection,XTE J1550-564
0.7475172524397028,reflection,XTE J1550-564
0.7554395832571403,reflection,XTE J1550-564
0.77209279538889,reflection,XTE J1550-564
0.763247433203511,reflection,XTE J1550-564
0.7611906207824308,reflection,XTE J1550-564
0.754459844667533,reflection,XTE J1550-564
0.7718859918053443,reflection,XTE J1550-564
0.7766241259782226,reflection,XTE J1550-564
0.7726318912301804,reflection,XTE J1550-564
0.7744259162144538,reflection,XTE J1550-564
