源,模拟类型,样本数,均值,中位数,标准差,最小值,最大值,5%分位数,95%分位数,95%置信区间下限,95%置信区间上限
4U 1630-472,all,1000,0.9112390327593703,0.9305521714301851,0.07999886571513572,0.6769848849910898,1.0,0.7901340494458416,0.9954962916834619,0.7671463201985304,0.9988190308159722
4U 1630-472,reflection,1000,0.9119733865823639,0.968272568903136,0.08411282452873857,0.6455054661553774,1.0,0.7926177255031117,0.995136690531606,0.7762269862190042,0.9974962600727473
4U 1630-472,continuum-fitting,1000,0.9198624849449347,0.9199899694068311,0.03838918855758739,0.799219513767167,1.0,0.857365528063766,0.9847059956795319,0.8435023828024311,0.9981747271067921
4U 1543-475,all,1000,0.6819324795788225,0.7567474229545218,0.2703820820782995,-0.1837781236867523,1.0,0.20287140176602406,0.9932493130666421,0.14760120932448126,1.0
4U 1543-475,reflection,1000,0.8744266135974956,0.932332196093278,0.14088085143450366,0.30467906148246,1.0,0.5718487408284497,0.9995820636208029,0.5165040784957089,1.0
4U 1543-475,continuum-fitting,1000,0.6325628461200198,0.6628182015977198,0.18835205867022523,0.1200363651828712,1.0,0.317452316235355,0.883569674593524,0.27591432346141453,0.9464296545367116
4U 1543-475,combining,1000,0.3593955981670846,0.33319620867337957,0.20737250956395412,-0.2888423294097661,1.0,0.06487742870581178,0.7573104561759001,0.020572995803067748,0.8355554790461615
4U 1755-338,all,1000,0.7543795409203683,0.7710955466871896,0.19779295439969624,-0.0414403641142576,1.0,0.3913301181997135,1.0,0.3266659661021136,1.0
4U 1755-338,continuum-fitting,1000,0.756046785812033,0.7742072741768786,0.19334380461943815,-0.0740642206610612,1.0,0.4053406124480039,1.0,0.3341947933091425,1.0
GX 339-4 ,all,1000,0.8490429330987287,0.8702786942675467,0.09736152838570775,0.5965618847042269,1.0,0.6683735041627392,0.9830801907116388,0.6508154832469997,1.0
GX 339-4 ,reflection,1000,0.8477845881840221,0.8681433925898532,0.09787300353928607,0.5866808110084281,1.0,0.6713001776729542,0.9842619569313409,0.6511469096702799,0.997459850675672
IGR J17464-3213,all,1000,0.5908155530197364,0.9409481712233544,0.4476237913098357,-0.7101968086435806,1.0,-0.19027796355837037,0.9985728206479461,-0.29843728052355806,1.0
IGR J17464-3213,reflection,1000,0.9795481164670174,0.9801660476776934,0.013507484699096925,0.9382555935148515,1.0,0.9563987933841466,1.0,0.9510088057681255,1.0
IGR J17464-3213,continuum-fitting,1000,0.2183470580938483,0.2241680657993127,0.3052888701245742,-0.7247686525429713,1.0,-0.28368031562376456,0.7234818595484326,-0.4001086321870633,0.8212536362606058
SLX 1746-331,all,1000,0.8658237452148021,0.8696509301742151,0.027889079196589173,0.7501148860747561,0.9442126873030672,0.8128166000453388,0.9049628574115726,0.8001862118339501,0.9100754501424186
SLX 1746-331,reflection,1000,0.8497832289933542,0.8498070647997673,0.030687239510950242,0.7409439931737969,0.9843725275307726,0.8006127987898191,0.9005725146995902,0.7867913434858268,0.9077452274757264
SLX 1746-331,combining,1000,0.8804456174828192,0.8804884849927539,0.014890591588796711,0.8359934402915579,0.9246978177510572,0.8572307617631271,0.9050535803604428,0.8528535804727179,0.9093814021197587
GRS 1915+105,all,1000,0.8860024641382604,0.9257277305999501,0.10825830326070635,0.6810615304196049,1.0,0.7085893819545681,0.99422275343037,0.7036928751289326,0.99695589391328
GRS 1915+105,reflection,1000,0.9798603462614623,0.9796137083077991,0.00967000804815098,0.946640984505309,1.0,0.9638886520019162,0.9964665097520627,0.9614177277844852,0.9996138824026332
GRS 1915+105,continuum-fitting,1000,0.7919509266850551,0.7884996905258866,0.07311390120431066,0.6698671207198722,0.9054896441396414,0.7039581326431451,0.8822313903124892,0.6983755569883846,0.8891656940098929
XTE J1550-564,all,1000,0.6519572306075642,0.7309826989152429,0.1648853171691927,-0.0378786664600094,1.0,0.29944945974480686,0.8062090635727683,0.23742296321187392,0.8316591123340542
XTE J1550-564,reflection,1000,0.7604117054146298,0.7602547525555478,0.009813876556301978,0.7278704638948498,0.7961135006281567,0.7445214714230065,0.7769560999378669,0.7418947998727815,0.779165938864811
