源,lower limit
MAXI J1659-152,-0.99
GRS 1124-684,-0.89
IGR J17091-3624,-0.13
IGR J17464-3213,-0.1
MAXI J1820+070,-0.1
XTE J1817-330,0.08
XTE J1748-288,0.1
XTE J1908+094,0.1
XTE J1550-564,0.11
4U 1543-475,0.12
Swift J1727.8-1613,0.14
XTE J1859+226,0.141
MAXI J0637-430,0.2
MAXI J1744-294,0.27
GRO J1655-40,0.287
XTE J1752-223,0.36
MAXI J1348-630,0.38
MAXI J1728-360,0.39
SAX J1711.6-3808,0.4
XTE J1652-453,0.43
Swift J151857.0-572147,0.5
4U 1755-338,0.55
GRS 1739-278,0.6
Swift J1753.5-0127,0.61
MAXI J1535-571,0.63
MAXI J1803-298,0.66
GX 339-4 ,0.67
EXO 1846-031,0.688
MAXI J1813-095,0.7
GRS 1915+105,0.703
MAXI J1305-704,0.74
4U 1630-472,0.78
XTE J1650-500,0.78
IGR J17454-2919,0.78
GRS 1716-249,0.8
SLX 1746-331,0.8
XTE J2012+381,0.822
MAXI J1631-479,0.83
MAXI J1836-194,0.84
Swift J1658.2-4242,0.87
GS 2023+338,0.92
XTE J1856+053,0.97
