区间,数量,比例(%)
"[-1.0, -0.9)",1,2.380952380952381
"[-0.9, -0.8)",1,2.380952380952381
"[-0.8, -0.7)",0,0.0
"[-0.7, -0.6)",0,0.0
"[-0.6, -0.5)",0,0.0
"[-0.5, -0.4)",0,0.0
"[-0.4, -0.3)",0,0.0
"[-0.3, -0.2)",0,0.0
"[-0.2, -0.1)",1,2.380952380952381
"[-0.1, -0.0)",2,4.761904761904762
"[-0.0, 0.1)",1,2.380952380952381
"[0.1, 0.2)",6,14.285714285714285
"[0.2, 0.3)",3,7.142857142857142
"[0.3, 0.4)",3,7.142857142857142
"[0.4, 0.5)",2,4.761904761904762
"[0.5, 0.6)",2,4.761904761904762
"[0.6, 0.7)",6,14.285714285714285
"[0.7, 0.8)",6,14.285714285714285
"[0.8, 0.9)",6,14.285714285714285
"[0.9, 1.0]",2,4.761904761904762
